service_id -- 2024 -- ,monday ,tuesday ,wednesday ,thursday ,friday ,saturday ,sunday ,start_date ,end_date ,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Daily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
0-2 days/week (May-Oct),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
"2024/03/31-2024/11/03: Mon, Tue, Wed, Thu, Fri, Sun",1.0,1.0,1.0,1.0,1.0,0.0,1.0,20240331.0,20241103.0,,,,,,,,,,,,,,,,
"2024: Mon, Tue, Wed, Thu, Fri",1.0,1.0,1.0,1.0,1.0,0.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"2024: Mon, Tue, Wed, Thu, Sun",1.0,1.0,1.0,1.0,0.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
2024: Daily except Sat,1.0,1.0,1.0,1.0,1.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"2024: 1-5,7",1.0,1.0,1.0,1.0,1.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"Mon, Wed, Fri",1.0,0.0,1.0,0.0,1.0,0.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"2024/07/08-2024/09/22: Mon, Wed, Sat",0.0,1.0,0.0,0.0,1.0,0.0,1.0,20240608.0,20240922.0,,,,,,,,,,,,,,,,
"2024: Tue, Thu",0.0,1.0,0.0,1.0,0.0,0.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"2024: Tue, Sun",0.0,1.0,0.0,0.0,0.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"Tue, Wed, Fri",0.0,1.0,1.0,0.0,1.0,0.0,0.0,20231210.0,20240522.0,,,,,,,,,,,,,,,,
"Tue, Thu, Sat",0.0,1.0,0.0,1.0,0.0,1.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"Tue, Thu, Sun",0.0,1.0,0.0,1.0,0.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"2024/07/07-2024/09/21: Tue, Fri, Sun",0.0,1.0,0.0,0.0,1.0,0.0,1.0,20240607.0,20240921.0,,,,,,,,,,,,,,,,
"Thu, Sat",1.0,0.0,1.0,0.0,0.0,0.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
2023/12/22-2024/03/28: Fri,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20231222.0,20250328.0,,,,,,,,,,,,,,,,
"Fri, Sat",0.0,0.0,0.0,0.0,1.0,1.0,0.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
2023/12/30- 2024/03/30: Sat,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20231230.0,20240330.0,,,,,,,,,,,,,,,,
"2024: Tue, Thu, Sat, Sun",0.0,1.0,0.0,1.0,0.0,1.0,1.0,20231230.0,20240330.0,,,,,,,,,,,,,,,,
2024: 3-4 times per week,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20231230.0,20240330.0,,,,,,,,,,,,,,,,
2024: every 2nd day,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20231230.0,20240330.0,,,,,,,,,,,,,,,,
"Sat, Sun",0.0,0.0,0.0,0.0,0.0,1.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
"Fri, Sun (daily in holidays in région C)",0.0,0.0,0.0,0.0,1.0,0.0,1.0,20231210.0,20241214.0,,,,,,,,,,,,,,,,
Sun (Oct-Jun),1.0,0.0,0.0,0.0,0.0,0.0,1.0,20231001.0,20240612.0,,,,,,,,,,,,,,,,
Fri (May-Oct),0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
