train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
ATC IR 11504:0,ATC IR 11504,0.0,Arad,,19:48,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:1,ATC IR 11504,1.0,Timişoara Nord,,21:11,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:2,ATC IR 11504,2.0,Lugoj,,22:33,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:3,ATC IR 11504,3.0,Caransebeș,,23:25,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:4,ATC IR 11504,4.0,Craiova,04:10,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:5,ATC IR 11504,5.0,Caracal,05:04,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:6,ATC IR 11504,6.0,Roșiori Nord,06:10,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:7,ATC IR 11504,7.0,Videle,07:11,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11504:99,ATC IR 11504,99.0,București Nord,08:16,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:0,ATC IR 11502,0.0,București Nord,,20:30,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:1,ATC IR 11502,1.0,Videle,,21:35,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:2,ATC IR 11502,2.0,Roșiori Nord,,22:29,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:3,ATC IR 11502,3.0,Caracal,,23:56,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:4,ATC IR 11502,4.0,Craiova,,00:57,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:5,ATC IR 11502,5.0,Caransebeș,05:47,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:6,ATC IR 11502,6.0,Lugoj,06:34,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:7,ATC IR 11502,7.0,Timişoara Nord,07:51,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11502:99,ATC IR 11502,99.0,Arad,09:39,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:0,BDŽ 2626,0.0,Varna,,21:55,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:1,BDŽ 2626,1.0,Beloslav,22:12,22:13,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:2,BDŽ 2626,2.0,Poveljanovo,22:18,22:21,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:3,BDŽ 2626,3.0,Sindel,22:28,22:29,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:4,BDŽ 2626,4.0,Dobrina,22:48,22:49,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:5,BDŽ 2626,5.0,Provadiya,22:53,22:54,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:6,BDŽ 2626,6.0,Kaspichan,23:16,23:17,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:7,BDŽ 2626,7.0,Shumen,23:35,23:37,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:8,BDŽ 2626,8.0,Targovishte,00:06,00:07,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:9,BDŽ 2626,9.0,Popovo,00:33,00:34,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:10,BDŽ 2626,10.0,Strazhitsa,01:00,01:01,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:11,BDŽ 2626,11.0,Gorna Oryahovitsa,01:21,01:43,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:12,BDŽ 2626,12.0,Zverino,04:28,04:29,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:13,BDŽ 2626,13.0,Lakatnik,04:49,04:50,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:14,BDŽ 2626,14.0,Svoge,05:07,05:08,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:15,BDŽ 2626,15.0,Kurilo,05:28,05:29,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:16,BDŽ 2626,16.0,Sofia Sever,05:41,05:42,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:99,BDŽ 2626,99.0,Sofia,05:46,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:0,BDŽ 2627,0.0,Sofia,,23:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:1,BDŽ 2627,1.0,Sofia Sever,23:05,23:06,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:2,BDŽ 2627,2.0,Rebrovo,23:27,23:28,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:3,BDŽ 2627,3.0,Svoge,23:37,23:38,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:4,BDŽ 2627,4.0,Cerovo,23:46,23:46,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:5,BDŽ 2627,5.0,Bov,23:50,23:51,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:6,BDŽ 2627,6.0,Lakatnik,23:59,23:59,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:7,BDŽ 2627,7.0,Zverino,00:19,00:20,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:8,BDŽ 2627,8.0,Mezdra,00:37,00:38,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:9,BDŽ 2627,9.0,Roman,00:51,00:52,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:10,BDŽ 2627,10.0,Cherven Bryag,01:11,01:12,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:11,BDŽ 2627,11.0,Telish,01:25,01:26,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:12,BDŽ 2627,12.0,Targovishte,04:34,04:35,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:13,BDŽ 2627,13.0,Shumen,05:05,05:07,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:14,BDŽ 2627,14.0,Kaspichan,05:25,05:26,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:15,BDŽ 2627,15.0,Provadiya,05:51,05:52,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:16,BDŽ 2627,16.0,Dobrina,05:56,05:57,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:17,BDŽ 2627,17.0,Sindel,06:17,06:18,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:18,BDŽ 2627,18.0,Poveljanovo,06:26,06:28,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:19,BDŽ 2627,19.0,Beloslav,06:33,06:34,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2627:99,BDŽ 2627,99.0,Varna,06:52,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:0,BDŽ 2636,0.0,Dobrich,,20:35,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:1,BDŽ 2636,1.0,Donchevo,20:43,20:43,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:2,BDŽ 2636,2.0,Botevo,20:53,20:53,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:3,BDŽ 2636,3.0,Baqël,21:02,21:02,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:4,BDŽ 2636,4.0,General Kiselovo,21:10,21:10,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:5,BDŽ 2636,5.0,Valchi Dol,21:17,21:18,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:6,BDŽ 2636,6.0,Suvorovo,21:29,21:30,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:7,BDŽ 2636,7.0,Chernevo,21:36,21:36,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:8,BDŽ 2636,8.0,Kipra,21:40,21:40,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:9,BDŽ 2636,9.0,Devnya,21:46,21:47,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:10,BDŽ 2636,10.0,Poveljanovo,21:56,22:21,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2636:12,BDŽ 2636,12.0,Zverino,04:28,04:29,0.0,0.0,,,,,,,,,,,,,,,,,,
