trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
ATC IR 11502,Astra Trans Carpatic SRL,IR 11502 = IR 11504,Train régional,National,București Nord,RO,Arad,RO,20:30,09:39,604.0,13:09:00,23.18,14.0,Back-on-Track
ATC IR 11504,Astra Trans Carpatic SRL,IR 11502 = IR 11504,Train régional,National,Arad,RO,București Nord,RO,19:48,08:16,604.0,12:28:00,23.18,14.0,Back-on-Track
BDŽ 2626,БДЖ - Пътнически превози ЕООД,2626 = 2627,Train régional,National,Варна,BG,София,BG,21:55,05:46,533.0,7:51:00,21.39,11.4,Back-on-Track
BDŽ 2627,БДЖ - Пътнически превози ЕООД,2626 = 2627,Train régional,National,София,BG,Варна,BG,23:00,06:52,533.0,7:52:00,21.39,11.4,Back-on-Track
BDŽ 2636,БДЖ - Пътнически превози ЕООД,2636 = 2637,Train régional,National,Добрич,BG,София,BG,20:35,05:46,572.0,9:11:00,17.092615894039735,9.78,Back-on-Track
BDŽ 2637,БДЖ - Пътнически превози ЕООД,2636 = 2637,Train régional,National,София,BG,Добрич,BG,23:00,08:26,572.0,9:26:00,17.092615894039735,9.78,Back-on-Track
BDŽ 3636,БДЖ - Пътнически превози ЕООД,3636 = 3637,Train régional,National,Варна,BG,София,BG,21:40,07:00,513.0,9:20:00,21.44,11.0,Back-on-Track
BDŽ 3637,БДЖ - Пътнически превози ЕООД,3636 = 3637,Train régional,National,София,BG,Варна,BG,23:05,07:16,513.0,8:11:00,21.44,11.0,Back-on-Track
BDŽ 3686,БДЖ - Пътнически превози ЕООД,3686 = 3687,Train régional,National,Бургас,BG,София,BG,22:50,05:13,425.0,6:23:00,21.18,9.0,Back-on-Track
BDŽ 3687,БДЖ - Пътнически превози ЕООД,3686 = 3687,Train régional,National,София,BG,Бургас,BG,23:40,05:55,425.0,6:15:00,21.18,9.0,Back-on-Track
BDŽ 8626,БДЖ - Пътнически превози ЕООД,8626 = 8627,Train régional,National,Бургас,BG,София,BG,21:45,05:20,444.0,7:35:00,20.5,9.1,Back-on-Track
BDŽ 8627,БДЖ - Пътнически превози ЕООД,8626 = 8627,Train régional,National,София,BG,Бургас,BG,22:25,05:50,444.0,7:25:00,20.5,9.1,Back-on-Track
BDŽ 8656,БДЖ - Пътнически превози ЕООД,8656 = 8657,Train régional,National,Варна,BG,София,BG,23:30,09:00,539.0,9:30:00,20.41,11.0,Back-on-Track
BDŽ 8657,БДЖ - Пътнически превози ЕООД,8656 = 8657,Train régional,National,София,BG,Варна,BG,20:55,06:00,539.0,9:05:00,20.41,11.0,Back-on-Track
BDŽ 9646,БДЖ - Пътнически превози ЕООД,9646 = 9647,Train régional,National,Силистра,BG,Русе Товарна,BG,18:20,23:02,605.0,11:26:00,20.5,12.4,Back-on-Track
BDŽ 9647,БДЖ - Пътнически превози ЕООД,9646 = 9647,Train régional,National,София,BG,Межден,BG,20:10,06:09,605.0,11:10:00,20.5,12.4,Back-on-Track
CFM/CFR 401,Opérateur non renseigné,Prietenia,Train régional,International,Chişinău,RO,București Nord,MD,17:05,06:47,584.0,13:42:00,23.12,13.5,Back-on-Track
CFM/CFR 402,Opérateur non renseigné,Prietenia,Train régional,International,București Nord,RO,Chişinău,MD,19:10,08:44,584.0,13:34:00,23.12,13.5,Back-on-Track
CFR 1641 (CN),C.F.R. Călători S.A.,1641 (CN) = 1642 (CN),Train régional,National,București Nord,RO,Cluj-Napoca,RO,21:03,07:02,493.0,9:59:00,20.89,10.3,Back-on-Track
CFR 1641 (SM),C.F.R. Călători S.A.,1641 (SM) = 1642 (SM),Train régional,National,București Nord,RO,Satu Mare,RO,21:01,10:39,758.0,13:38:00,19.53,14.8,Back-on-Track
CFR 1641/R 4112,C.F.R. Călători S.A.,R 4116 = 1641/R 4112,Train régional,National,București Nord,RO,Sighetu Marmației,RO,21:01,10:00,606.0,12:59:00,25.58,15.5,Back-on-Track
