route_id,agency_id,route_short_name,route_long_name,route_type
12-275-s24-1,1,275,Holzkirchen - Föching - Holzkirchen,3
12-276-s24-1,1,276,Bad Aibling - Götting - Bruckmühl - Feldkirchen - Aying,3
12-277-s24-1,1,277,Bad Aibling - Heufeld - Bruckmühl - Feldkirchen - Aying,3
12-278-s24-1,1,278,(Beyharting) - Großhöhenrain - Ginsham - Bruckmühl,3
12-311-s24-1,1,311,Bad Tölz - ZOB Isarkai - Oberfischbach - Kurhaus - ZOB Isarkai - Stadtwerke - Bad Tölz,3
12-312-s24-1,1,312,Bad Tölz - Behördenzentrum - Karwendelsiedlung - ZOB Isarkai - Karwendelsiedlung - Behördenzentrum - Bad Tölz,3
12-313-s24-1,1,313,Bad Tölz - Friedhof - Im Farchet - Friedhof - Bad Tölz,3
12-328-s24-1,1,9608,Garmisch-Partenkirchen - Mittenwald - Walchensee - Kochel,3
12-331-s24-3,1,331,StadtBus Kolbermoor Kolbermoor Bahnhof - Siedlerplatz  - Kolbermoor Bahnhof,3
12-332-s24-3,1,332,Stadtbus Kolbermoor Kolbermoor Bahnhof - Moorkultur - Kolbermoor Bahnhof,3
12-333-s24-3,1,333,Stadtbus Kolbermoor Kolbermoor Bahnhof - Hertopark - Schlarbhofen - Kolbermoor Bahnhof,3
12-334-s24-3,1,334,Stadtbus Kolbermoor Kolbermoor Bahnhof - Schlarbhofen - Hertopark - Kolbermoor Bahnhof,3
12-335-s24-3,1,335,Stadtbus Kolbermoor Kolbermoor Bahnhof - Conradty-Altenheim - Kolbermoor Bahnhof,3
12-336-s24-1,1,336,Brannenburg - Raubling - Rohrdorf - Höhenmoos - Pfraundorf,3
12-337-s24-1,1,337,(Raubling -) Brannenburg - Nußdorf (- Achenmühle),3
12-338-s24-1,1,338,Windshausen - Nußdorf - Brannenburg - Raubling,3
12-339-s24-1,1,339,Brannenburg - Raubling - Altenmarkt (Inn) - Winkl,3
12-340-s24-8,1,340,"(Ellmosen -) Bad Aibling - Kolbermoor - Rosenheim - Rosenheim, Stadtmitte",3
12-341-s24-8,1,341,Moor-Express Bad Aibling Therme - Bahnhof - Kurpark Bf - Harthausen - Bahnhof - Therme,3
12-342-s24-1,1,342,Rosenheim - Kolbermoor - Bad Aibling,3
12-343-s24-1,1,343,Bad Aibling - Au - Bad Feilnbach,3
12-344-s24-1,1,344,Bad Aibling - Kolbermoor - Großkarolinenfeld,3
12-345-s24-1,1,345,Bad Aibling - Maxlrain - Hohenthann - Grafing Bahnhof,3
12-345-s24-3,1,345,Bad Aibling - Maxlrain - Hohenthann - Grafing Bahnhof,3
12-346-s24-1,1,346,Bad Aibling - Beyharting - Ostermünchen - Tattenhausen - Rosenheim,3
12-347-s24-2,1,347,"Kiefersfelden, Grenze - Oberaudorf - Brannenburg - Raubling",3
12-348-s24-1,1,348,(Brannenburg -) Au - Bad Feilnbach - Raubling - Rosenheim,3
