stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code
18129,St. Wolfgang,48.0096536,12.49688613,,1,,
at:47:61055,"Pertisau, Information",47.44152295,11.70087099,,1,,
at:47:61055:0:1,"Pertisau, Information",47.44145004,11.70065539,,,at:47:61055,
at:47:61055:0:2,"Pertisau, Information",47.44158371,11.70114048,,,at:47:61055,
at:47:61063,"Maurach, Sonnalp",47.42800281,11.74293909,,1,,
at:47:61063:0:1,"Maurach, Sonnalp",47.42819121,11.74273248,,,at:47:61063,
at:47:61063:0:2,"Maurach, Sonnalp",47.42787519,11.74302892,,,at:47:61063,
at:47:61065,"Maurach, Prälatenhaus",47.43549553,11.72817079,,1,,
at:47:61065:0:1,"Maurach, Prälatenhaus",47.43545907,11.72835045,,,at:47:61065,
at:47:61065:0:2,"Maurach, Prälatenhaus",47.43557452,11.72796418,,,at:47:61065,
at:47:61066,"Maurach, Gh. Bergkristall",47.44410506,11.71731914,,1,,
at:47:61066:0:1,"Maurach, Gh. Bergkristall",47.44437237,11.71714846,,,at:47:61066,
at:47:61066:0:2,"Maurach, Gh. Bergkristall",47.44389242,11.71742694,,,at:47:61066,
at:47:61067,"Achenkirch, Christlumlifte",47.51266361,11.69806824,,1,,
at:47:61067:0:1,"Achenkirch, Christlumlifte",47.51266361,11.69806824,,,at:47:61067,
at:47:61068,"Pertisau, Hotel Rieser",47.44096399,11.69690043,,1,,
at:47:61068:0:1,"Pertisau, Hotel Rieser",47.44101259,11.6969184,,,at:47:61068,
at:47:61068:0:2,"Pertisau, Hotel Rieser",47.44092753,11.69685552,,,at:47:61068,
at:47:61070,"Achenkirch, Schwarzenau",47.46918435,11.71487572,,1,,
at:47:61070:0:1,"Achenkirch, Schwarzenau",47.4690629,11.71481284,,,at:47:61070,
at:47:61070:0:2,"Achenkirch, Schwarzenau",47.46929366,11.71492064,,,at:47:61070,
at:47:61077,"Pertisau, Karwendeltäler",47.43959692,11.68806999,,1,,
at:47:61077:0:1,"Pertisau, Karwendeltäler",47.43959085,11.68817779,,,at:47:61077,
at:47:61077:0:2,"Pertisau, Karwendeltäler",47.43959692,11.68795321,,,at:47:61077,
at:47:61079,"Pertisau, Marxenhof",47.44058121,11.69465465,,1,,
at:47:61079:0:1,"Pertisau, Marxenhof",47.44056906,11.69479838,,,at:47:61079,
at:47:61079:0:2,"Pertisau, Marxenhof",47.44059336,11.69445702,,,at:47:61079,
at:47:61435,"Pertisau, Bergland",47.4366561,11.70211066,,1,,
at:47:61435:0:1,"Pertisau, Bergland",47.43666218,11.70211066,,,at:47:61435,
at:47:61701,"Achenkirch, MPREIS",47.51826965,11.70829107,,1,,
at:47:61701:0:1,"Achenkirch, MPREIS",47.51827572,11.70822819,,,at:47:61701,
at:47:61701:0:2,"Achenkirch, MPREIS",47.51825752,11.70834497,,,at:47:61701,
at:47:62025,"Achenwald, Klammbachbrücke",47.56690297,11.67022945,,1,,
at:47:62025:0:2,"Achenwald, Klammbachbrücke",47.56690297,11.67022945,,,at:47:62025,
at:47:62100,"Achenkirch, Arzt",47.512069,11.69994572,,1,,
