trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09773:5300:1:1,15,15:27:00,15:23:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09773:5200:3:2,16,15:31:00,15:31:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09773:7350:3:2,17,15:35:00,15:34:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09774:2600:4:4,18,15:50:00,15:44:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09774:2942:3:2,19,15:54:00,15:53:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09775:4801:5:3,20,15:59:00,15:59:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:09775:1711:2:1,21,16:05:00,16:04:00,2,RB 15,
ddb-90-N15-1-1-217-R-54-Special#5811-418-278,de:08421:1008:35:28,22,16:08:00,16:08:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09161:9000:5:6,1,14:11:00,14:11:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:8708:1:2,2,14:20:00,14:20:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:8709:1:1,3,14:24:00,14:24:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:7600:1:3,4,14:29:00,14:28:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:7967:1:2,5,14:33:00,14:33:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:8707:1:1,6,14:37:00,14:36:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09185:7954:1:2,7,14:39:00,14:38:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09779:5451:1:3,8,14:44:00,14:44:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09779:6568:1:1,9,14:47:00,14:46:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09779:5500:14:7,10,15:02:00,14:53:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09779:6567:1:1,11,15:07:00,15:06:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:6569:1:1,12,15:10:00,15:10:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:7450:2:2,13,15:13:00,15:13:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:5400:1:1,14,15:17:00,15:17:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:5300:1:1,15,15:27:00,15:23:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:5200:3:2,16,15:31:00,15:31:00,2,RB 15,
ddb-90-N15-1-1-218-R-55-Special#619-419-279,de:09773:7350:3:2,17,15:35:00,15:34:00,2,RB 15,
