route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
vvs-31-177-1,Special#3,vvs-31-177-1-1-15-H-7-Special#3-72-133,vvs-31-177-1-1-15-H-7,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#20,vvs-31-177-1-1-11-H-8-Special#20-34-134,vvs-31-177-1-1-11-H-8,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#20,vvs-31-177-1-1-11-H-8-Special#20-35-135,vvs-31-177-1-1-11-H-8,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#20,vvs-31-177-1-1-11-H-8-Special#20-36-136,vvs-31-177-1-1-11-H-8,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#648,vvs-31-177-1-1-11-H-8-Special#648-66-137,vvs-31-177-1-1-11-H-8,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#648,vvs-31-177-1-1-11-H-8-Special#648-67-138,vvs-31-177-1-1-11-H-8,Oberl. Nikomödiestr.,,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-23-139,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-24-140,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-25-141,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-26-142,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-27-143,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-28-144,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-4-H-9-Special#7-29-145,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#20,vvs-31-177-1-1-4-H-9-Special#20-27-146,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#20,vvs-31-177-1-1-4-H-9-Special#20-28-147,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#688,vvs-31-177-1-1-4-H-9-Special#688-43-148,vvs-31-177-1-1-4-H-9,Kirchheim (T),,0,,1
vvs-31-177-1,Special#7,vvs-31-177-1-1-9-H-10-Special#7-32-149,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#689,vvs-31-177-1-1-9-H-10-Special#689-33-150,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#689,vvs-31-177-1-1-9-H-10-Special#689-34-151,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#689,vvs-31-177-1-1-9-H-10-Special#689-35-152,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#689,vvs-31-177-1-1-9-H-10-Special#689-36-153,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#689,vvs-31-177-1-1-9-H-10-Special#689-37-154,vvs-31-177-1-1-9-H-10,Oberlenningen,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-48-155,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-62-156,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-37-157,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-41-158,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-42-159,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#543,vvs-31-177-1-1-17-H-11-Special#543-23-160,vvs-31-177-1-1-17-H-11,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-6-H-12-Special#480-3-161,vvs-31-177-1-1-6-H-12,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-6-H-12-Special#480-4-162,vvs-31-177-1-1-6-H-12,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-6-H-12-Special#480-5-163,vvs-31-177-1-1-6-H-12,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-6-H-12-Special#480-6-164,vvs-31-177-1-1-6-H-12,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-6-H-12-Special#480-19-165,vvs-31-177-1-1-6-H-12,Beuren Panorama Therme,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-7-H-13-Special#480-20-166,vvs-31-177-1-1-7-H-13,Oberlenningen,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-7-H-13-Special#480-21-167,vvs-31-177-1-1-7-H-13,Oberlenningen,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-7-H-13-Special#480-22-168,vvs-31-177-1-1-7-H-13,Oberlenningen,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-7-H-13-Special#480-29-169,vvs-31-177-1-1-7-H-13,Oberlenningen,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-7-H-13-Special#480-30-170,vvs-31-177-1-1-7-H-13,Oberlenningen,,0,,1
vvs-31-177-1,Special#480,vvs-31-177-1-1-16-H-14-Special#480-47-171,vvs-31-177-1-1-16-H-14,Beuren Panorama Therme,,0,,1
vvs-31-177a-1,Special#89,vvs-31-177a-1-1-1-H-11-Special#89-121-1,vvs-31-177a-1-1-1-H-11,Weilheim (T) Marktplatz,19,0,,1
vvs-31-177a-1,Special#685,vvs-31-177a-1-1-11-H-6-Special#685-33-2,vvs-31-177a-1-1-11-H-6,Neidlingen Leerwasen,21,0,,1
vvs-31-177a-1,Special#684,vvs-31-177a-1-1-11-H-6-Special#684-33-3,vvs-31-177a-1-1-11-H-6,Neidlingen Leerwasen,21,0,,1
