arrival_time,departure_time,shape_dist_traveled,stop_id,stop_sequence,trip_id
09:35:00,09:35:00,7.857,Les Pradeaux Centre Commercial,0,trip:1:0
09:36:00,09:36:00,1236.468,Les Tourelles,1,trip:1:0
09:38:00,09:38:00,1763.478,Gare,2,trip:1:0
09:40:00,09:40:00,2871.661,La Miolane,3,trip:1:0
09:42:00,09:42:00,3605.552,La Deidiere,4,trip:1:0
09:44:00,09:44:00,4181.198,Square G.Peri,5,trip:1:0
09:45:00,09:45:00,4435.429,Pas de Graine,6,trip:1:0
09:46:00,09:46:00,4903.869,Punta Marina/Banette,7,trip:1:0
09:47:00,09:47:00,5449.967,Avenue de la Mer,8,trip:1:0
09:49:00,09:49:00,6029.17,Allée des Pins,9,trip:1:0
09:50:00,09:50:00,6604.647,Plage des Lecques Poste de Secours,10,trip:1:0
09:51:00,09:51:00,6855.045,Plage des Lecques Baumelles,11,trip:1:0
09:53:00,09:53:00,7703.917,Port de la Madrague,12,trip:1:0
09:55:00,09:55:00,8340.64,Hauts Madrague,13,trip:1:0
09:57:00,09:57:00,9958.843,Nartette,14,trip:1:0
09:59:00,09:59:00,10876.309,Port d'Alon,15,trip:1:0
10:00:00,10:00:00,12402.6,Le Defend,16,trip:1:0
10:35:00,10:35:00,7.857,Les Pradeaux Centre Commercial,0,trip:1:1
10:36:00,10:36:00,1236.468,Les Tourelles,1,trip:1:1
10:38:00,10:38:00,1763.478,Gare,2,trip:1:1
10:40:00,10:40:00,2871.661,La Miolane,3,trip:1:1
10:42:00,10:42:00,3605.552,La Deidiere,4,trip:1:1
10:44:00,10:44:00,4181.198,Square G.Peri,5,trip:1:1
10:45:00,10:45:00,4435.429,Pas de Graine,6,trip:1:1
10:46:00,10:46:00,4903.869,Punta Marina/Banette,7,trip:1:1
10:47:00,10:47:00,5449.967,Avenue de la Mer,8,trip:1:1
10:49:00,10:49:00,6029.17,Allée des Pins,9,trip:1:1
10:50:00,10:50:00,6604.647,Plage des Lecques Poste de Secours,10,trip:1:1
10:51:00,10:51:00,6855.045,Plage des Lecques Baumelles,11,trip:1:1
10:53:00,10:53:00,7703.917,Port de la Madrague,12,trip:1:1
10:55:00,10:55:00,8340.64,Hauts Madrague,13,trip:1:1
10:57:00,10:57:00,9958.843,Nartette,14,trip:1:1
10:59:00,10:59:00,10876.309,Port d'Alon,15,trip:1:1
11:00:00,11:00:00,12402.6,Le Defend,16,trip:1:1
11:35:00,11:35:00,7.857,Les Pradeaux Centre Commercial,0,trip:1:2
11:36:00,11:36:00,1236.468,Les Tourelles,1,trip:1:2
11:38:00,11:38:00,1763.478,Gare,2,trip:1:2
11:40:00,11:40:00,2871.661,La Miolane,3,trip:1:2
11:42:00,11:42:00,3605.552,La Deidiere,4,trip:1:2
11:44:00,11:44:00,4181.198,Square G.Peri,5,trip:1:2
11:45:00,11:45:00,4435.429,Pas de Graine,6,trip:1:2
11:46:00,11:46:00,4903.869,Punta Marina/Banette,7,trip:1:2
11:47:00,11:47:00,5449.967,Avenue de la Mer,8,trip:1:2
11:49:00,11:49:00,6029.17,Allée des Pins,9,trip:1:2
11:50:00,11:50:00,6604.647,Plage des Lecques Poste de Secours,10,trip:1:2
11:51:00,11:51:00,6855.045,Plage des Lecques Baumelles,11,trip:1:2
11:53:00,11:53:00,7703.917,Port de la Madrague,12,trip:1:2
11:55:00,11:55:00,8340.64,Hauts Madrague,13,trip:1:2
11:57:00,11:57:00,9958.843,Nartette,14,trip:1:2
11:59:00,11:59:00,10876.309,Port d'Alon,15,trip:1:2
12:00:00,12:00:00,12402.6,Le Defend,16,trip:1:2
12:35:00,12:35:00,7.857,Les Pradeaux Centre Commercial,0,trip:1:3
12:36:00,12:36:00,1236.468,Les Tourelles,1,trip:1:3
12:38:00,12:38:00,1763.478,Gare,2,trip:1:3
12:40:00,12:40:00,2871.661,La Miolane,3,trip:1:3
12:42:00,12:42:00,3605.552,La Deidiere,4,trip:1:3
12:44:00,12:44:00,4181.198,Square G.Peri,5,trip:1:3
12:45:00,12:45:00,4435.429,Pas de Graine,6,trip:1:3
12:46:00,12:46:00,4903.869,Punta Marina/Banette,7,trip:1:3
12:47:00,12:47:00,5449.967,Avenue de la Mer,8,trip:1:3
