stop_id,stop_lat,stop_lon,stop_name
Allée des Pins,43.179059,5.689878,Allée des Pins
Avenue de la Mer,43.180447,5.695378,Avenue de la Mer
Avenue des Tropiques,43.175347,5.70183,Avenue des Tropiques
Chemin de Sorba,43.182249,5.683915,Chemin de Sorba
Collège,43.184915,5.709672,Collège
Gare,43.185551,5.704205,ST CYR SUR MER - Gare
Hauts Madrague,43.161249,5.697609,Hauts Madrague
La Deidiere,43.184254,5.714355,La Deidiere
La Miolane,43.188956,5.712803,La Miolane
Le Defend,43.14636,5.705038,Le Defend
Le Viguier,43.175904,5.705693,Le Viguier (Aller)
Le Viguier (Retour),43.176233,5.70657,Le Viguier (Retour)
Les Baumelles,43.172618,5.696101,Les Baumelles
Les Pradeaux Centre Commercial,43.183559,5.695762,Les Pradeaux Centre Commercial
Les Tourelles,43.183878,5.700861,Les Tourelles
Mairie,43.180718,5.711283,Mairie
Manon des Sources,43.180011,5.707649,Manon des Sources
Nartette,43.162275,5.714811,Nartette
Office de Tourisme,43.180213,5.687403,Office de Tourisme
Pas de Graine,43.181683,5.706679,Pas de Graine
Plage des Lecques Baumelles,43.173068,5.695023,Plage des Lecques Baumelles
Plage des Lecques Poste de Secours,43.174904,5.69324,Plage des Lecques Poste de Secours
Port d'Alon,43.154094,5.714327,Port d'Alon
Port de la Madrague,43.166328,5.694544,Port de la Madrague
Punta Marina/Banette,43.181645,5.70103,Punta Marina/Banette
Square G.Peri,43.181749,5.709764,Square G.Peri
ZAC des Pradeaux,43.182711,5.69409,ZAC des Pradeaux
