route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,tts_route_short_name,direction0_name,direction1_name,ext_id,ext_id_py7,ext_realtime,ext_type
300,ALEOP_44,300,Grandchamp-des-Fontaines - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,0075BF,FFFFFF,1,1,1,,Grandchamp-des-Fontaines > Treillières > Nantes,Nantes > Treillières > Grandchamp-des-Fontaines,,,1,
301,ALEOP_44,301,Paimboeuf - Saint Père en Retz - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,EE756D,FFFFFF,1,1,1,,Paimboeuf / St Père en Retz > Nantes,Nantes > Paimboeuf / St Père en Retz,,,,
303,ALEOP_44,303,Pornic - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,164194,FFFFFF,1,1,1,,Saint Michel Chef Chef / Pornic > Nantes,Nantes > Saint Michel Chef Chef / Pornic,,,,
309,ALEOP_44,309,Nozay - Nantes (Express),Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,7A7AB9,FFFFFF,1,1,1,,Nozay > Nantes,Nantes > Nozay,,,,
310,ALEOP_44,310,Derval - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,831F82,FFFFFF,1,1,1,,Guémené-Penfao > Derval > Nozay > Nantes,Nantes > Nozay  > Derval > Guémené-Penfao,,,,
311,ALEOP_44,311,Blain - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,C0087F,FFFFFF,1,1,1,,Plessé > Le Gâvre > Blain > Nantes,Nantes > Blain > Le Gâvre > Plessé,,,,
312,ALEOP_44,312,Saint Philbert de Grand Lieu - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,4F304E,FFFFFF,1,1,1,,Saint-Philbert-de-Grand-Lieu > Nantes,Nantes > Saint-Philbert-de-Grand-Lieu,,,1,
313,ALEOP_44,313,Saint Philbert de Grand Lieu - Nantes Express,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,9B567E,FFFFFF,1,1,1,,Saint-Philbert-de-Grand-Lieu > Nantes,Nantes > Saint-Philbert-de-Grand-Lieu,,,1,
315,ALEOP_44,315,Préfailles - Saint Nazaire,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,EE756D,F7F7F7,1,1,1,,Préfailles > Saint-Nazaire,Saint-Nazaire > Préfailles,,,,
316,ALEOP_44,316,Frossay - Saint Nazaire,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,F3975D,FFFFFF,1,1,1,,Frossay > Saint-Nazaire,Saint-Nazaire > Frossay,,,,
317,ALEOP_44,317,Saint Brévin - Saint Nazaire,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,FDC300,000000,1,1,1,,Saint-Brévin > Saint-Nazaire,Saint-Nazaire > Saint-Brévin,,,,
320,ALEOP_44,320,Savenay - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,009E3D,FFFFFF,1,1,1,,Savenay > Nantes,Nantes > Savenay,,,,
322,ALEOP_44,322,Granchamp des Fontaines - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,D3D800,0D0D0D,1,1,1,,Grandchamp-des-Fontaines > Treillières > Nantes,Nantes > Treillières > Grandchamp-des-Fontaines,,,,
330,ALEOP_44,330,La Chapelle Basse Mer - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,A5A756,FFFFFF,1,1,1,,La Chapelle Basse Mer > Nantes (Boulevard de Doulon),Nantes (Boulevard de Doulon) > La Chapelle Basse Mer,,,1,
331,ALEOP_44,331,La Regrippière - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,009E3D,FFFFFF,1,1,1,,La Regrippière > Nantes,Nantes > La Regrippière,,,,
332,ALEOP_44,332,Château Thébaud - Vertou,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,164194,FFFFFF,1,1,1,,Château-Thébaud > Vertou,Vertou > Château-Thébaud,,,,
333,ALEOP_44,333,Divatte sur Loire - Nantes,Allô Aléop 0 969 39 14 14 (avant 16h) ou en ligne sur start.aleopalademande.padam.io,3,,768F53,FFFFFF,1,1,1,,Divatte sur Loire > Nantes,Nantes > Divatte sur Loire,,,1,
347,ALEOP_44,347,Casson  - Sucé-sur-Erdre,Navette vers le Tram-train Chateaubriant-Nantes. Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,F3975D,FFFFFF,1,1,1,,Casson > Sucé-sur-Erdre,Sucé-sur-Erdre > Casson,,,,
348,ALEOP_44,348,Petit Mars - Nantes,Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,E40134,FFFFFF,1,1,1,,Petit-Mars > Nantes,Nantes > Petit-Mars,,,,
349,ALEOP_44,349,Trans-sur-Erdre  -  Nort-sur-Erdre,Navette vers le Tram-train Chateaubriant-Nantes. Allô Aléop 0 969 39 14 14 (appel non surtaxé),3,,831F82,FFFFFF,1,1,1,,Trans-sur-Erdre > Nort-sur-Erdre,Nort-sur-Erdre > Trans-sur-Erdre,,,,
