trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
300|26287730:T1|6:04:00,06:04:00,06:04:00,44FONTcentA,1,,3,3,0.000000,1
300|26287730:T1|6:04:00,06:06:00,06:06:00,44FONTbuttA,2,,3,3,541.334717,1
300|26287730:T1|6:04:00,06:08:00,06:08:00,44FONTmairA,3,,3,3,1112.194336,1
300|26287730:T1|6:04:00,06:10:00,06:10:00,44FONTbellA,4,,3,3,2014.932373,1
300|26287730:T1|6:04:00,06:11:00,06:11:00,44FONTrochA,5,,3,3,3231.410400,1
300|26287730:T1|6:04:00,06:15:00,06:15:00,44TREIetoiA,6,,3,3,5382.643555,1
300|26287730:T1|6:04:00,06:16:00,06:16:00,44TREIgesvA,7,,3,3,5707.038574,1
300|26287730:T1|6:04:00,06:20:00,06:20:00,44TREImenaA,8,,3,3,8130.990723,1
300|26287730:T1|6:04:00,06:24:00,06:24:00,44TREItourA,9,,3,3,11635.724609,1
300|26287730:T1|6:04:00,06:28:00,06:28:00,44ORVAcardA,10,,1,3,14427.645508,1
300|26287730:T1|6:04:00,06:31:00,06:31:00,44ORVApaveA,11,,1,3,15846.975586,1
300|26287730:T1|6:04:00,06:34:00,06:34:00,44NANTberlA,12,,1,3,17432.808594,1
300|26287730:T1|6:04:00,06:35:00,06:35:00,44NANTamerA,13,,1,3,17908.074219,1
300|26287730:T1|6:04:00,06:36:00,06:36:00,44NANTrennA,14,,1,3,18371.939453,1
300|26287730:T1|6:04:00,06:37:00,06:37:00,44NANTgoffA,15,,1,3,18693.705078,1
300|26287730:T1|6:04:00,06:38:00,06:38:00,44NANTairbA,16,,1,3,19236.093750,1
300|26287730:T1|6:04:00,06:39:00,06:39:00,44NANTtaleA,17,,1,3,19778.458984,1
300|26287730:T1|6:04:00,06:41:00,06:41:00,44NANTcirqA,18,,1,3,20416.294922,1
300|26287730:T1|6:04:00,06:45:00,06:45:00,44NANTdieuA,19,,1,3,21021.166016,1
300|26287730:T1|6:04:00,06:49:00,06:49:00,44NANTsncfU,20,,1,3,22206.931641,1
300|26287730:T2|6:04:00,06:04:00,06:04:00,44FONTcentA,1,,3,3,0.000000,1
300|26287730:T2|6:04:00,06:06:00,06:06:00,44FONTbuttA,2,,3,3,541.334717,1
300|26287730:T2|6:04:00,06:08:00,06:08:00,44FONTmairA,3,,3,3,1112.194336,1
300|26287730:T2|6:04:00,06:10:00,06:10:00,44FONTbellA,4,,3,3,2014.932373,1
