stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,tts_stop_name,import_id,ext_id,city_name,direction_id,area_name,ext_aleop_abri,ext_aleop_poteau,ext_bench,ext_bikepark,ext_carcharging,ext_carpark,ext_carpooling,ext_conventionnement,ext_diag_date,ext_gare_conventionnee,ext_gestionnaire,ext_id_py7,ext_id_tad,ext_non_aleop_abri,ext_non_aleop_poteau,ext_photo_url_1,ext_photo_url_2,ext_photo_url_3,ext_photo_url_4,ext_priority,ext_pwd_nooverhang,ext_pwd_pathway,ext_pwd_readability,ext_pwd_slopes,ext_pwd_sound,ext_pwd_tactilpaving,ext_pwd_visualway,ext_pwd_wheelchair_z,ext_quay_height,ext_quay_length,ext_region_insee,ext_region_name,ext_schedule,ext_sec_A13A,ext_sec_C6,ext_sec_bikepark,ext_sec_config,ext_sec_intown,ext_sec_light,ext_sec_pedxing,ext_sec_zebra,ext_sec_zebra_damaged,ext_secure_iti,ext_stop_schedule,ext_trashbin,ext_type_tad,ext_zone_tad,old_id,pegase_code
53FUTAacac,,1 -Acacias,,48.43117050,-1.01752480,ZONE_N/A,,1,,1,,,,,Saint-Mars-sur-la-Futaie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53FOUGauna,,1 -L'aunay,,48.48019760,-0.97382320,ZONE_N/A,,1,,1,,,,,Fougerolles-du-Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53COLObruy,,1 -Lotissement Bruyeres,,48.39020160,-0.84037970,ZONE_N/A,,1,,1,,,,,Colombiers-du-Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49CHERprie,,1 rue Albert Prieur,,47.70957800,-0.56055200,ZONE_N/A,,1,,2,,Cherré,,,Les Hauts-d'Anjou,,Cherré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85GUIBjarc,,1 Rue du Jarc,,46.57995489,-1.23684291,ZONE_N/A,,1,,0,,,,,Château-Guibert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49YVONfleu,,1 rue Fleur de lys,,47.72275900,-0.67291500,ZONE_N/A,,1,,2,,,,,La Jaille-Yvon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49SEICregn,,1 Rue Henri Regnier,,47.57447981,-0.35789418,ZONE_N/A,,1,,2,,,,,Seiches-sur-le-Loir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53AZE1sabl,,10 Route de Sablé,,47.83134280,-0.69001425,ZONE_N/A,,1,,2,,,,,Château-Gontier-sur-Mayenne,,Azé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53LAVAnove,,11 Novembre,,48.07056575,-0.77230761,ZONE_N/A,,1,,1,,,,,Laval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85BEUGrn13,,119-125 RN137,,46.52246353,-1.08385652,ZONE_N/A,,1,,2,,,,,Saint-Jean-d'Hermine,,Saint-Jean-de-Beugné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
