route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,ext_block_id,ext_comments,ext_grid_id,ext_id,ext_id_py7,ext_trip_short_name
300,44-+LMmJV[20260105-20260703],300|26287730:T1|6:04:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-01/V29,,26287730,,,T1-B
300,44-+*LMmJV[20260105-20260703],300|26287730:T2|6:04:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-02/V29,,26287730,,,T2-K
300,44-+LMmJV[20260105-20260703],300|26287730:T3|6:19:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-02/V29,,26287730,,,T3-K
300,44-+*LMmJV[20260105-20260703],300|26287730:T4|6:19:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-04/V29,,26287730,,,T4-K
300,44-+LMmJV[20250926-20260104],300|26288441:T1|6:19:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-01/V29,,26288441,,,T1-B
300,44-+*LMmJV[20250926-20260104],300|26288441:T2|6:19:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-02/V29,,26288441,,,T2-K
300,44-+LMmJV[20250926-20260104],300|26288441:T3|6:29:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-02/V29,,26288441,,,T3-K
300,44-+*LMmJV[20250926-20260104],300|26288441:T4|6:29:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-04/V29,,26288441,,,T4-K
300,44-+LMmJV[20260105-20260703],300|26287730:T5|6:34:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-04/V29,,26287730,,,T5-K
300,44-+LMmJV[20250926-20260104],300|26288441:T5|6:39:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-04/V29,,26288441,,,T5-K
300,44-+LMmJV[20260105-20260703],300|26287730:T6|6:48:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-03/V11,,26287730,,,T6-B
300,44-+*LMmJV[20260105-20260703],300|26287730:T7|6:48:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-01/V29,,26287730,,,T7-B
300,44-+LMmJV[20250926-20260104],300|26288441:T6|6:48:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-03/V11,,26288441,,,T6-B
300,44-+*LMmJV[20250926-20260104],300|26288441:T7|6:48:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-01/V29,,26288441,,,T7-B
300,44-+*LMmJV[20260105-20260703],300|26287730:T10|6:56:00,Casson > Nantes,,0,,44-300:7,1,2,0,K23-06/V29,,26287730,,,T10-K
300,44-+LMmJV[20260105-20260703],300|26287730:T9|6:56:00,Casson > Nantes,,0,,44-300:7,1,2,0,B23-05/V11,,26287730,,,T9-B
300,44-+*LMmJV[20250926-20260104],300|26288441:T10|6:56:00,Casson > Nantes,,0,,44-300:2,1,2,0,K23-06/V29,,26288441,,,T10-K
300,44-+LMmJV[20250926-20260104],300|26288441:T9|6:56:00,Casson > Nantes,,0,,44-300:2,1,2,0,B23-05/V11,,26288441,,,T9-B
300,44-+LMmJV[20260105-20260703],300|26287730:T8|6:58:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-07/V9,,26287730,,,T8-B
300,44-+LMmJV[20250926-20260104],300|26288441:T8|6:58:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-07/V9,,26288441,,,T8-B
300,44-+LMmJV[20260105-20260703],300|26287730:T12|7:08:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-09/V9,,26287730,,,T12-B
300,44-+LMmJV[20250926-20260104],300|26288441:T12|7:08:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-09/V9,,26288441,,,T12-B
300,44-+LMmJV[20260105-20260703],300|26287730:T11|7:10:00,Treillières > Nantes,,0,,44-300:8,1,2,0,K23-08/V29,,26287730,,,T11-K
300,44-+LMmJV[20250926-20260104],300|26288441:T11|7:10:00,Treillières > Nantes,,0,,44-300:3,1,2,0,K23-08/V29,,26288441,,,T11-K
300,44-+LMmJV[20260105-20260703],300|26287730:T14|7:13:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-06/V29,,26287730,,,T14-K
300,44-+LMmJV[20250926-20260104],300|26288441:T14|7:13:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-06/V29,,26288441,,,T14-K
300,44-+LMmJV[20260105-20260703],300|26287730:T15|7:17:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-10/V11,,26287730,,,T15-K
300,44-+*LMmJV[20260105-20260703],300|26287730:T16|7:17:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-05/V11,,26287730,,,T16-B
300,44-+LMmJV[20250926-20260104],300|26288441:T15|7:17:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-10/V11,,26288441,,,T15-K
300,44-+*LMmJV[20250926-20260104],300|26288441:T16|7:17:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-05/V11,,26288441,,,T16-B
300,44-+LMmJV[20260105-20260703],300|26287730:T13|7:20:00,Treillières > Nantes,,0,,44-300:8,1,2,0,B23-11/V9,,26287730,,,T13-B
300,44-+LMmJV[20250926-20260104],300|26288441:T13|7:20:00,Treillières > Nantes,,0,,44-300:3,1,2,0,B23-11/V9,,26288441,,,T13-B
300,44-+LMmJV[20260105-20260703],300|26287730:T17|7:22:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-12/V11,,26287730,,,T17-K
300,44-+LMmJV[20250926-20260104],300|26288441:T17|7:22:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-12/V11,,26288441,,,T17-K
300,44-+LMmJV[20260105-20260703],300|26287730:T18|7:27:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-14/V9,,26287730,,,T18-K
300,44-+LMmJV[20250926-20260104],300|26288441:T18|7:27:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-14/V9,,26288441,,,T18-K
300,44-+*S+S[20260105-20260703],300|26287730:T61|7:29:00,Grandchamp-des-Fontaines > Orvault,,0,,44-300:4,1,2,0,K23-02/V29,,26287730,,,T61-K
300,44-+*S+S[20250926-20260104],300|26288441:T60|7:29:00,Grandchamp-des-Fontaines > Orvault,,0,,44-300:4,1,2,0,K23-02/V29,,26288441,,,T60-K
300,44-+LMmJV[20260105-20260703],300|26287730:T19|7:30:00,Casson > Nantes,,0,,44-300:7,1,2,0,B23-13/V9,,26287730,,,T19-B
300,44-+*LMmJV[20260105-20260703],300|26287730:T20|7:30:00,Casson > Nantes,,0,,44-300:7,1,2,0,B23-03/V11,,26287730,,,T20-B
300,44-+LMmJV[20250926-20260104],300|26288441:T19|7:30:00,Casson > Nantes,,0,,44-300:2,1,2,0,B23-13/V9,,26288441,,,T19-B
300,44-+*LMmJV[20250926-20260104],300|26288441:T20|7:30:00,Casson > Nantes,,0,,44-300:2,1,2,0,B23-03/V11,,26288441,,,T20-B
300,44-+LMmJV[20260105-20260703],300|26287730:T21|7:47:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-16/V9,,26287730,,,T21-K
300,44-+*LMmJV[20260105-20260703],300|26287730:T22|7:47:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,K23-08/V29,,26287730,,,T22-K
300,44-+LMmJV[20250926-20260104],300|26288441:T21|7:47:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-16/V9,,26288441,,,T21-K
300,44-+*LMmJV[20250926-20260104],300|26288441:T22|7:47:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,K23-08/V29,,26288441,,,T22-K
300,44-+LMmJV[20260105-20260703],300|26287730:T23|7:57:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-15/V9,,26287730,,,T23-B
300,44-+*LMmJV[20260105-20260703],300|26287730:T24|7:57:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-07/V9,,26287730,,,T24-B
300,44-+LMmJV[20250926-20260104],300|26288441:T23|7:57:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-15/V9,,26288441,,,T23-B
300,44-+*LMmJV[20250926-20260104],300|26288441:T24|7:57:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:1,1,2,0,B23-07/V9,,26288441,,,T24-B
300,44-+LMmJV[20260105-20260703],300|26287730:T25|8:07:00,Grandchamp-des-Fontaines > Nantes,,0,,44-300:6,1,2,0,B23-01/V29,,26287730,,,T25-B
