trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
596040003:1,07:30:00,07:30:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
596040003:1,07:32:00,07:32:00,zenbus:StopPoint:SP:577620013:LOC,1,,,,368,
596040003:1,07:33:00,07:33:00,zenbus:StopPoint:SP:576190004:LOC,2,,,,575,
596040003:1,07:34:00,07:34:00,zenbus:StopPoint:SP:590980005:LOC,3,,,,756,
596040003:1,07:36:00,07:36:00,zenbus:StopPoint:SP:592890004:LOC,4,,,,876,
596040003:1,07:36:00,07:36:00,zenbus:StopPoint:SP:572340006:LOC,5,,,,1177,
596040003:1,07:37:00,07:37:00,zenbus:StopPoint:SP:566290004:LOC,7,,,,1389,
596040003:1,07:40:00,07:40:00,zenbus:StopPoint:SP:568440003:LOC,8,,,,1902,
596040003:1,07:41:00,07:41:00,zenbus:StopPoint:SP:572310015:LOC,9,,,,2105,
596040003:1,07:42:00,07:42:00,zenbus:StopPoint:SP:576210003:LOC,10,,,,2268,
596040003:1,07:43:00,07:43:00,zenbus:StopPoint:SP:538350020:LOC,11,,,,2766,
596040003:2,07:45:00,07:45:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
596040003:2,07:47:00,07:47:00,zenbus:StopPoint:SP:577620013:LOC,1,,,,368,
596040003:2,07:48:00,07:48:00,zenbus:StopPoint:SP:576190004:LOC,2,,,,575,
596040003:2,07:49:00,07:49:00,zenbus:StopPoint:SP:590980005:LOC,3,,,,756,
596040003:2,07:51:00,07:51:00,zenbus:StopPoint:SP:592890004:LOC,4,,,,876,
596040003:2,07:51:00,07:51:00,zenbus:StopPoint:SP:572340006:LOC,5,,,,1177,
596040003:2,07:52:00,07:52:00,zenbus:StopPoint:SP:566290004:LOC,7,,,,1389,
596040003:2,07:55:00,07:55:00,zenbus:StopPoint:SP:568440003:LOC,8,,,,1902,
596040003:2,07:56:00,07:56:00,zenbus:StopPoint:SP:572310015:LOC,9,,,,2105,
596040003:2,07:57:00,07:57:00,zenbus:StopPoint:SP:576210003:LOC,10,,,,2268,
596040003:2,07:58:00,07:58:00,zenbus:StopPoint:SP:538350020:LOC,11,,,,2766,
596040003:3,08:00:00,08:00:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
596040003:3,08:02:00,08:02:00,zenbus:StopPoint:SP:577620013:LOC,1,,,,368,
596040003:3,08:03:00,08:03:00,zenbus:StopPoint:SP:576190004:LOC,2,,,,575,
596040003:3,08:04:00,08:04:00,zenbus:StopPoint:SP:590980005:LOC,3,,,,756,
596040003:3,08:06:00,08:06:00,zenbus:StopPoint:SP:592890004:LOC,4,,,,876,
596040003:3,08:06:00,08:06:00,zenbus:StopPoint:SP:572340006:LOC,5,,,,1177,
596040003:3,08:07:00,08:07:00,zenbus:StopPoint:SP:566290004:LOC,7,,,,1389,
596040003:3,08:10:00,08:10:00,zenbus:StopPoint:SP:568440003:LOC,8,,,,1902,
596040003:3,08:11:00,08:11:00,zenbus:StopPoint:SP:572310015:LOC,9,,,,2105,
596040003:3,08:12:00,08:12:00,zenbus:StopPoint:SP:576210003:LOC,10,,,,2268,
596040003:3,08:13:00,08:13:00,zenbus:StopPoint:SP:538350020:LOC,11,,,,2766,
596040003:4,08:30:00,08:30:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
596040003:4,08:32:00,08:32:00,zenbus:StopPoint:SP:577620013:LOC,1,,,,368,
596040003:4,08:33:00,08:33:00,zenbus:StopPoint:SP:576190004:LOC,2,,,,575,
596040003:4,08:34:00,08:34:00,zenbus:StopPoint:SP:590980005:LOC,3,,,,756,
596040003:4,08:36:00,08:36:00,zenbus:StopPoint:SP:592890004:LOC,4,,,,876,
596040003:4,08:36:00,08:36:00,zenbus:StopPoint:SP:572340006:LOC,5,,,,1177,
596040003:4,08:37:00,08:37:00,zenbus:StopPoint:SP:566290004:LOC,7,,,,1389,
596040003:4,08:40:00,08:40:00,zenbus:StopPoint:SP:568440003:LOC,8,,,,1902,
596040003:4,08:41:00,08:41:00,zenbus:StopPoint:SP:572310015:LOC,9,,,,2105,
596040003:4,08:42:00,08:42:00,zenbus:StopPoint:SP:576210003:LOC,10,,,,2268,
596040003:4,08:43:00,08:43:00,zenbus:StopPoint:SP:538350020:LOC,11,,,,2766,
596040003:5,08:45:00,08:45:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
596040003:5,08:47:00,08:47:00,zenbus:StopPoint:SP:577620013:LOC,1,,,,368,
596040003:5,08:48:00,08:48:00,zenbus:StopPoint:SP:576190004:LOC,2,,,,575,
596040003:5,08:49:00,08:49:00,zenbus:StopPoint:SP:590980005:LOC,3,,,,756,
596040003:5,08:51:00,08:51:00,zenbus:StopPoint:SP:592890004:LOC,4,,,,876,
596040003:5,08:51:00,08:51:00,zenbus:StopPoint:SP:572340006:LOC,5,,,,1177,
596040003:5,08:52:00,08:52:00,zenbus:StopPoint:SP:566290004:LOC,7,,,,1389,
596040003:5,08:55:00,08:55:00,zenbus:StopPoint:SP:568440003:LOC,8,,,,1902,
596040003:5,08:56:00,08:56:00,zenbus:StopPoint:SP:572310015:LOC,9,,,,2105,
596040003:5,08:57:00,08:57:00,zenbus:StopPoint:SP:576210003:LOC,10,,,,2268,
596040003:5,08:58:00,08:58:00,zenbus:StopPoint:SP:538350020:LOC,11,,,,2766,
596040003:6,09:00:00,09:00:00,zenbus:StopPoint:SP:538350020:LOC,0,,,,0,
