stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:592890004:LOC,poi10476,Gabriel Péri,,44.12117,4.080677,,,0,zenbus:StopArea:SA:345000002:LOC,,0,,
zenbus:StopPoint:SP:572340006:LOC,poi10477,Pont Neuf,,44.121269,4.08444,,,0,zenbus:StopArea:SA:590990001:LOC,,0,,
zenbus:StopPoint:SP:566290004:LOC,poi95510,J.Guesdes,,44.119998,4.084908,,,0,,,0,,
zenbus:StopPoint:SP:538350020:LOC,poi471066,Cinéplanet,,44.126689,4.079294,,,0,,,0,,
zenbus:StopPoint:SP:577620013:LOC,poi224994,Barbusse,,44.124126,4.080267,,,0,zenbus:StopArea:SA:561940001:LOC,,0,,
zenbus:StopPoint:SP:576190004:LOC,poi95512,Beauteville,,44.123096,4.079295,,,0,,,0,,
zenbus:StopPoint:SP:590980005:LOC,poi95513,Ateliers,,44.121536,4.079582,,,0,zenbus:StopArea:SA:576200001:LOC,,0,,
zenbus:StopPoint:SP:568440003:LOC,poi10472,Gabriel Péri,,44.12128,4.08049,,,0,zenbus:StopArea:SA:345000002:LOC,,0,,
zenbus:StopPoint:SP:572310015:LOC,poi598375,Dr Serres,,44.122943,4.080328,,,0,,,0,,
zenbus:StopPoint:SP:576210003:LOC,poi10475,Barbusse,,44.124294,4.080533,,,0,zenbus:StopArea:SA:561940001:LOC,,0,,
zenbus:StopPoint:SP:585470008:LOC,poi224990,Brabo,,44.127311,4.078168,,,0,zenbus:StopArea:SA:364840006:LOC,,0,,
zenbus:StopPoint:SP:589090008:LOC,poi224987,Le Marché,,44.122089,4.07562,,,0,zenbus:StopArea:SA:587160002:LOC,,0,,
zenbus:StopPoint:SP:590990008:LOC,ales887173,Gare Routière - Quai A,,44.127502,4.083208,,,0,zenbus:StopArea:SA:568440001:LOC,,0,,
zenbus:StopPoint:SP:592900006:LOC,poi95519,St Vincent,,44.12379,4.07909,,,0,,,0,,
zenbus:StopPoint:SP:568440006:LOC,poi598372,Mourgues,,44.12363,4.077579,,,0,,,0,,
zenbus:StopPoint:SP:583150020:LOC,poi3039990,Picasso,,44.123458,4.07385,,,0,zenbus:StopArea:SA:32860002:LOC,,0,,
zenbus:StopPoint:SP:577620017:LOC,poi224988,J. Moulin,,44.125358,4.073531,,,0,zenbus:StopArea:SA:570040002:LOC,,0,,
zenbus:StopPoint:SP:527640006:LOC,poi224989,Quai Boissier Sauvage - Orange + L1,,44.126819,4.074648,,,0,zenbus:StopArea:SA:333350005:LOC,,0,,
zenbus:StopPoint:SP:572340008:LOC,poi10473,La Poste,,44.12688,4.081367,,,0,zenbus:StopArea:SA:583150016:LOC,,0,,
zenbus:StopPoint:SP:568440010:LOC,poi1699347,Marché de l'Abbaye,,44.123168,4.07662,,,0,,,0,,
zenbus:StopArea:SA:345000002:LOC,station8xxSnZ3,Gabriel Péri,,44.121223,4.080585,,,1,,,0,,
zenbus:StopArea:SA:590990001:LOC,poi37877,Pont Neuf,,44.12128,4.084774,,,1,,,0,,
zenbus:StopArea:SA:561940001:LOC,stationULJkrew,Barbusse,,44.12421,4.080399,,,1,,,0,,
zenbus:StopArea:SA:576200001:LOC,poi1404203,Ateliers,,44.121528,4.079945,,,1,,,0,,
zenbus:StopArea:SA:364840006:LOC,poi2403546,Brabo,,44.127395,4.078,,,1,,,0,,
zenbus:StopArea:SA:587160002:LOC,poi37876,Le Marché,,44.122005,4.075941,,,1,,,0,,
zenbus:StopArea:SA:568440001:LOC,poi1607295,Gare Routière,,44.127487,4.082821,,,1,,,0,,
zenbus:StopArea:SA:32860002:LOC,poi37875,Picasso,,44.123435,4.073768,,,1,,,0,,
zenbus:StopArea:SA:570040002:LOC,poi37874,J. Moulin,,44.125492,4.073464,,,1,,,0,,
zenbus:StopArea:SA:333350005:LOC,poi37873,Quai Boissier Sauvage,,44.126869,4.07439,,,1,,,0,,
zenbus:StopArea:SA:583150016:LOC,poi432395,La Poste,,44.126808,4.081477,,,1,,,0,,
