trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
4836509524951040:0,07:57:00,07:57:00,zenbus:StopPoint:SP:4810781540483072:LOC,0,,,,0,
4836509524951040:0,07:59:00,07:59:00,zenbus:StopPoint:SP:5367161871663104:LOC,1,,,,457,
4836509524951040:0,08:01:00,08:01:00,zenbus:StopPoint:SP:6010744870010880:LOC,2,,,,993,
4836509524951040:0,08:04:00,08:04:00,zenbus:StopPoint:SP:8070146:LOC,3,,,,2141,
4836509524951040:0,08:05:00,08:05:00,zenbus:StopPoint:SP:4900843246583808:LOC,4,,,,2403,
4836509524951040:0,08:07:00,08:07:00,zenbus:StopPoint:SP:5999215500066816:LOC,5,,,,2795,
4836509524951040:0,08:09:00,08:09:00,zenbus:StopPoint:SP:4786809784500224:LOC,6,,,,3277,
4836509524951040:0,08:11:00,08:11:00,zenbus:StopPoint:SP:4886776893145088:LOC,7,,,,3840,
4836509524951040:0,08:12:00,08:12:00,zenbus:StopPoint:SP:4847446401220608:LOC,8,,,,4452,
4836509524951040:0,08:13:00,08:13:00,zenbus:StopPoint:SP:851790001:LOC,9,,,,4733,
4836509524951040:0,08:15:00,08:15:00,zenbus:StopPoint:SP:4865625185845248:LOC,10,,,,5333,
4836509524951040:0,08:17:00,08:17:00,zenbus:StopPoint:SP:4835319225516032:LOC,11,,,,6174,
4836509524951040:0,08:19:00,08:19:00,zenbus:StopPoint:SP:5966402285469696:LOC,12,,,,6869,
4836509524951040:0,08:20:00,08:20:00,zenbus:StopPoint:SP:5997996064899072:LOC,13,,,,7224,
4836509524951040:0,08:22:00,08:22:00,zenbus:StopPoint:SP:6016392953331712:LOC,14,,,,7915,
4836509524951040:0,08:24:00,08:24:00,zenbus:StopPoint:SP:5447794916589568:LOC,15,,,,8211,
4836509524951040:0,08:26:00,08:26:00,zenbus:StopPoint:SP:6016808357199872:LOC,16,,,,8594,
4836509524951040:0,08:29:00,08:29:00,zenbus:StopPoint:SP:5928302503002112:LOC,17,,,,9203,
