stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:4810781540483072:LOC,BYHOP1,HOPITAL,,49.090549,0.589082,,,0,zenbus:StopArea:SA:5443509210316800:LOC,,0,,
zenbus:StopPoint:SP:5367161871663104:LOC,BYCMC1,COLL MARIE CURIE,,49.0927,0.587678,,,0,zenbus:StopArea:SA:5920181860696064:LOC,,0,,
zenbus:StopPoint:SP:6010744870010880:LOC,BYRMAT1,RUEMATHILDE,,49.094554,0.593427,,,0,zenbus:StopArea:SA:4800178474188800:LOC,,0,,
zenbus:StopPoint:SP:8070146:LOC,BYECLC1,ECOLE BOURG LE COMTE,,49.099544,0.59018,,,0,zenbus:StopArea:SA:4814346564665344:LOC,,0,,
zenbus:StopPoint:SP:4900843246583808:LOC,BYAJFK1,AV JF KENNEDY,,49.099863,0.593536,,,0,zenbus:StopArea:SA:5928265861562368:LOC,,0,,
zenbus:StopPoint:SP:5999215500066816:LOC,BYSTMIC1,SAINT MICHEL,,49.097101,0.595865,,,0,zenbus:StopArea:SA:4793893393530880:LOC,,0,,
zenbus:StopPoint:SP:4786809784500224:LOC,BYCISTE1,CIMETIERE SAINTE CROIX,,49.094196,0.600295,,,0,zenbus:StopArea:SA:5405596393144320:LOC,,0,,
zenbus:StopPoint:SP:4886776893145088:LOC,BYCADER1,CLEM ADER,,49.09707,0.604585,,,0,zenbus:StopArea:SA:4869327783198720:LOC,,0,,
zenbus:StopPoint:SP:4847446401220608:LOC,BYABRIA1,ARISTID BRIAND,,49.100971,0.610145,,,0,zenbus:StopArea:SA:4794281953853440:LOC,,0,,
zenbus:StopPoint:SP:851790001:LOC,BYMMENN1,MAIRIE MENNEVAL,,49.103151,0.612096,,,0,zenbus:StopArea:SA:4872484718379008:LOC,,0,,
zenbus:StopPoint:SP:4865625185845248:LOC,BYRESS1,RESSOURCERIE,,49.107593,0.615749,,,0,zenbus:StopArea:SA:6044170050338816:LOC,,0,,
zenbus:StopPoint:SP:4835319225516032:LOC,BYABRIA2,ARISTID BRIAND,,49.100921,0.610279,,,0,zenbus:StopArea:SA:4794281953853440:LOC,,0,,
zenbus:StopPoint:SP:5966402285469696:LOC,BYMENA1,RUE DES MENAGES,,49.096602,0.604487,,,0,zenbus:StopArea:SA:4872096158056448:LOC,,0,,
zenbus:StopPoint:SP:5997996064899072:LOC,BYLEPRE1,LEPREVOST DE BEAUMONT,,49.094391,0.604962,,,0,zenbus:StopArea:SA:4821068322701312:LOC,,0,,
zenbus:StopPoint:SP:6016392953331712:LOC,BYCMUS1,CONSERVATOIRE DE MUSIQUE,,49.090446,0.604241,,,0,zenbus:StopArea:SA:5972326588874752:LOC,,0,,
zenbus:StopPoint:SP:5447794916589568:LOC,BYJBRET1,RUE JUDITH DE BRETAGNE,,49.090641,0.601063,,,0,zenbus:StopArea:SA:4796072820998144:LOC,,0,,
zenbus:StopPoint:SP:6016808357199872:LOC,BYHDV1,HOTEL DE VILLE,,49.089423,0.597608,,,0,zenbus:StopArea:SA:4845965241483264:LOC,,0,,
zenbus:StopPoint:SP:5928302503002112:LOC,BYPOST1,LA POSTE,,49.088786,0.593797,,,0,zenbus:StopArea:SA:5983672684511232:LOC,,0,,
zenbus:StopPoint:SP:5363128427610112:LOC,BYGARE1,GARE,,49.086668,0.594988,,,0,zenbus:StopArea:SA:5366927930163200:LOC,,0,,
zenbus:StopPoint:SP:5919793300373504:LOC,BYBERGO1,BERNARD GOMBERT,,49.084957,0.597567,,,0,zenbus:StopArea:SA:6010781310124032:LOC,,0,,
zenbus:StopPoint:SP:810750001:LOC,BYRLC1,RESIDENCE LYLIANE CARPENTIER,,49.084589,0.596058,,,0,zenbus:StopArea:SA:5837473876803584:LOC,,0,,
