stop_id,stop_name,location_type,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
ES BIO,Bilbao,0,"Le  port de Bilbao est à 21 km du centre-ville, dans la région du Pays basque espagnol. Après une traversée-croisière d'environ 21 heures, débarquez reposé et prêt à découvrir l' Espagne, le  Portugal ou même le  Sud de la France !",43.35378,-3.07035,Europe/Madrid,1
FR OUI,Caen - Ouistreham,0,"Le  port international de Caen est le plus récent de la Manche. Il se trouve en réalité à Ouistreham, à 15 km au nord de la ville. On y accède facilement depuis le réseau autoroutier français.",49.284013,-0.249698,Europe/Paris,1
FR CER,Cherbourg,0,"Via les lignes Cherbourg-Portsmouth et Cherbourg-Poole, le  port de Cherbourg offre les traversées les plus rapides vers Portsmouth et Poole. Pour rejoindre Poole, vous mettrez environ 4h avec un ferry classique. Le port de Cherbourg est facilement accessible via l'autoroute et des routes nationales et départementales.",49.64485,-1.611565,Europe/Paris,1
IE ORK,Cork,0,"Le port de  Cork se trouve précisément dans le village de Ringaskiddy, à 20 km au sud de Cork. Depuis le port, rejoignez facilement votre destination : le  Connemara, le  Kerry,  Galway,  Dublin, etc.",51.832449,-8.323345,Europe/Dublin,1
FR LEH,Le Havre,0,"Situé au nord de l'embouchure de la Seine, le  port du Havre, est facile d'accès. Le deuxième port français n'est qu'à 15 km du Pont de Normandie et du réseau autoroutier français. La gare maritime dispose d'équipements simples pour votre confort.",49.485412,0.114563,Europe/Paris,1
GB PLY,Plymouth,0,"Situé dans le Sud-Ouest de l'Angleterre, le  port de Plymouth dessert bien le  Sud de l'Angleterre et le  Pays de Galles. On y accède facilement grâce au réseau routier anglais. Londres est à moins de 4 heures de voiture.",50.364711,-4.158544,Europe/London,1
GB POO,Poole,0,"Le  port de Poole est au centre de la côte Sud de l'Angleterre. Via le bon réseau routier, on accède facilement à Londres, au  Sud de l'Angleterre, au  Pays de Galles, à l' Écosse, etc.",50.70945,-1.993272,Europe/London,1
GB PME,Portsmouth,0,"À seulement 2h de route de Londres, le port de Portsmouth est idéal pour des séjours dans la capitale britannique, le Sud-Est du pays ou encore le Pays de Galles, l'Écosse, etc. On y accède rapidement via le réseau routier qui est bien desservi. On rejoint le port de Portsmouth via différentes lignes : Caen/Ouistreham, Cherbourg, Le Havre et St Malo.",50.811823,-1.088367,Europe/London,1
FR ROS,Roscoff,0,"Situé dans le Nord-Ouest de la Bretagne, le port de Roscoff est un bon point d'entrée vers le Royaume-Uni, l' Irlande et l' Espagne. Nous proposons des traversées en ferry de Roscoff à Cork et de Roscoff à Plymouth.",48.721784,-3.967001,Europe/Paris,1
IE ROE,Rosslare,0,"Situé dans le village portuaire de  Rosslare Harbour, à 20 minutes de la ville de  Wexford,  Rosslare Europort est l’un des ports les plus importants du comté. Grâce à sa position géographique centrale sur la  côte Est de l'Irlande, Rosslare est un excellent port de départ si vous souhaitez voyager à travers l’Irlande.",52.2542,-6.3478,Europe/Dublin,1
FR SML,Saint-Malo,0,"Le  port de St Malo est idéalement situé à quelques minutes du centre de St Malo, sur la côte nord de la Bretagne. Il est accessible par le réseau routier régional et national, à seulement 1h de Rennes.",48.642572,-2.024215,Europe/Paris,1
ES SDR,Santander,0,"Après une traversée-croisière de 24 heures dans l'Océan Atlantique, vous entrez dans le  port de Santander. Situé au cœur de la ville, il est proche des lieux touristiques et des boutiques.",43.459083,-3.806087,Europe/Madrid,1
