route_id,service_id,trip_id,wheelchair_accessible,bikes_allowed,cars_allowed
BO,418194,418194,1,1,1
BO,418206,418206,1,1,1
BO,418195,418195,1,1,1
HL,415687,415687,1,1,1
HO,419076,419076,1,1,1
HO,417182,417182,1,1,1
HL,415711,415711,1,1,1
HO,419086,419086,1,1,1
HL,415723,415723,1,1,1
HO,417192,417192,1,1,1
HL,415735,415735,1,1,1
HO,419096,419096,1,1,1
HO,418914,418914,1,1,1
HL,415664,415664,1,1,1
HP,418711,418711,1,1,1
HL,415676,415676,1,1,1
HO,417173,417173,1,1,1
HL,415688,415688,1,1,1
HO,419077,419077,1,1,1
HL,415700,415700,1,1,1
HO,417183,417183,1,1,1
HL,415712,415712,1,1,1
HO,419087,419087,1,1,1
LH,415586,415586,1,1,1
LH,415610,415610,1,1,1
LH,415622,415622,1,1,1
LH,415634,415634,1,1,1
LH,415563,415563,1,1,1
LH,415575,415575,1,1,1
LH,415587,415587,1,1,1
LH,415599,415599,1,1,1
LH,415611,415611,1,1,1
MP,418803,418803,1,1,1
MP,418808,418808,1,1,1
MP,418794,418794,1,1,1
MP,418799,418799,1,1,1
MP,418804,418804,1,1,1
NP,416139,416139,1,1,1
NP,413601,413601,1,1,1
NP,416145,416145,1,1,1
NP,413613,413613,1,1,1
NP,416152,416152,1,1,1
NP,413625,413625,1,1,1
NP,416159,416159,1,1,1
NP,413637,413637,1,1,1
NP,416166,416166,1,1,1
NP,413649,413649,1,1,1
NP,416173,416173,1,1,1
NP,413661,413661,1,1,1
NP,416180,416180,1,1,1
NP,416122,416122,1,1,1
NP,413566,413566,1,1,1
NP,416128,416128,1,1,1
NP,413578,413578,1,1,1
NP,416134,416134,1,1,1
NP,413590,413590,1,1,1
NP,416140,416140,1,1,1
NP,413602,413602,1,1,1
NP,416146,416146,1,1,1
NP,413614,413614,1,1,1
NP,416153,416153,1,1,1
NP,413626,413626,1,1,1
NP,416160,416160,1,1,1
NP,419307,419307,1,1,1
NP,413638,413638,1,1,1
OH,417034,417034,1,1,1
OH,419029,419029,1,1,1
OH,417044,417044,1,1,1
OB,418175,418175,1,1,1
OH,419040,419040,1,1,1
OH,417054,417054,1,1,1
OH,418826,418826,1,1,1
OS,418627,418627,1,1,1
OH,419019,419019,1,1,1
OH,417035,417035,1,1,1
OH,419030,419030,1,1,1
OH,417045,417045,1,1,1
OB,418176,418176,1,1,1
PN,414104,414104,1,1,1
PN,416599,416599,1,1,1
PM,418778,418778,1,1,1
PN,414116,414116,1,1,1
PN,416605,416605,1,1,1
PN,414128,414128,1,1,1
PN,416611,416611,1,1,1
PS,418444,418444,1,1,1
PN,414140,414140,1,1,1
PM,418783,418783,1,1,1
PN,416618,416618,1,1,1
PN,414152,414152,1,1,1
PN,416625,416625,1,1,1
PN,414164,414164,1,1,1
PN,416632,416632,1,1,1
PN,414176,414176,1,1,1
PM,418788,418788,1,1,1
PH,418666,418666,1,1,1
PN,416639,416639,1,1,1
PN,414069,414069,1,1,1
PN,416582,416582,1,1,1
PM,418774,418774,1,1,1
PN,414081,414081,1,1,1
PN,416588,416588,1,1,1
PN,414093,414093,1,1,1
PB,418156,418156,1,1,1
PN,416594,416594,1,1,1
PN,414105,414105,1,1,1
PN,416600,416600,1,1,1
PM,418779,418779,1,1,1
PN,414117,414117,1,1,1
PN,416606,416606,1,1,1
PN,414129,414129,1,1,1
PN,416612,416612,1,1,1
PS,418445,418445,1,1,1
PN,414141,414141,1,1,1
PN,419308,419308,1,1,1
PM,418784,418784,1,1,1
PN,416619,416619,1,1,1
SP,418470,418470,1,1,1
SP,418481,418481,1,1,1
SP,418471,418471,1,1,1
HL,415699,415699,1,1,1
NP,413673,413673,1,1,1
LH,415598,415598,1,1,1
BO,418207,418207,1,1,1
BO,418196,418196,1,1,1
BO,418208,418208,1,1,1
HO,417193,417193,1,1,1
HL,415736,415736,1,1,1
HO,419097,419097,1,1,1
HO,418915,418915,1,1,1
HL,415665,415665,1,1,1
HP,418712,418712,1,1,1
HL,415677,415677,1,1,1
HO,417174,417174,1,1,1
HL,415689,415689,1,1,1
HO,419078,419078,1,1,1
HL,415701,415701,1,1,1
HO,417184,417184,1,1,1
HL,415713,415713,1,1,1
HO,419088,419088,1,1,1
HL,415725,415725,1,1,1
HO,417194,417194,1,1,1
HL,415737,415737,1,1,1
HO,419098,419098,1,1,1
HO,418916,418916,1,1,1
HL,415666,415666,1,1,1
LH,415623,415623,1,1,1
LH,415635,415635,1,1,1
LH,415564,415564,1,1,1
LH,415576,415576,1,1,1
LH,415588,415588,1,1,1
LH,415600,415600,1,1,1
LH,415612,415612,1,1,1
LH,415624,415624,1,1,1
LH,415636,415636,1,1,1
LH,415565,415565,1,1,1
MP,418809,418809,1,1,1
MP,418795,418795,1,1,1
MP,418800,418800,1,1,1
MP,418805,418805,1,1,1
MP,418810,418810,1,1,1
MP,418796,418796,1,1,1
NP,416167,416167,1,1,1
NP,413650,413650,1,1,1
NP,416174,416174,1,1,1
NP,413662,413662,1,1,1
NP,416181,416181,1,1,1
NP,413674,413674,1,1,1
NP,416123,416123,1,1,1
