stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
121,121,8 Mai,43.9595628716,4.7695971206,0,1
137,137,8 Mai,43.9593154394,4.7693997402,0,1
613,613,Chemin du Moulin,43.957605278,4.9268663683,0,1
623,623,Chemin du Moulin,43.957674394,4.9266080258,0,1
164,164,Parking Chartreuse,43.9680643178,4.7987172298,0,1
197,197,Parking Chartreuse,43.9678531156,4.7993058501,0,1
1955,1955,La Rivasse,44.0004970977,4.9203136133,0,1
968,968,La Rivasse,44.0004671867,4.9204368666,0,1
1153,1153,La Rouvette,43.9822058833,4.7049962051,0,
317,317,Lascour,43.9627692134,4.8656581314,0,
343,343,Lascour,43.9626866084,4.8657291691,0,
1927,1927,Lavandières,43.985012405,4.9018432802,0,1
882,882,Lavandières,43.9853744667,4.9017475249,0,1
919,919,Lavandières,43.9845560879,4.9021216426,0,1
787,787,Lavarin,43.9281694486,4.8044549957,0,1
798,798,Lavarin,43.9281079604,4.8043900987,0,1
1211,1211,Le Green,43.9549622582,4.8845227683,0,
1212,1212,Le Green,43.9549245686,4.8845957851,0,
395,395,Le Lavoir,43.9418655004,4.6830491976,0,1
1141,1141,Le Plan,43.980403387,4.7142381434,0,1
2299,2299,Archicote Avi Nord,43.9824275113,4.8832146581,0,1
2301,2301,Archicote Avi Nord,43.9812725218,4.8822160837,0,1
2326,2326,Archicote Avi Nord,43.9816352382,4.8840137383,0,1
1140,1140,Le Vieux Mas,43.9825679592,4.7094333949,0,
2249,2249,Le Carillon,43.9565675796,4.8835737736,0,1
883,883,Le Carillon,43.9567812335,4.8832845162,0,
316,316,Le Lac,43.9600072523,4.8552120736,0,1
344,344,Le Lac,43.9603652932,4.8556762457,0,1
46,46,Le Lac,43.9607265009,4.8560035868,0,
57,57,Le Lac,43.9607265009,4.8560035868,0,
499,499,Léon Blum,43.9416793105,4.8993504796,0,
527,527,Léon Blum,43.941784204,4.8994796992,0,
1966,1966,Les Falaises,43.9794731088,4.7600871673,0,
1978,1978,Les Falaises,43.9794236603,4.7590761097,0,
704,704,L'Epi,43.9425156208,4.8210496192,0,1
723,723,L'Epi,43.9428427948,4.8209021041,0,1
1203,1203,Les Allées du Lac,43.9579873093,4.8970483559,0,1
1204,1204,Les Allées du Lac,43.9579006753,4.8969074755,0,1
1666,1666,Les Barattes,43.9529328669,4.885527377,0,
2253,2253,Les Barattes,43.9530427319,4.8854451527,0,1
109,109,Les Chênes,43.9580563906,4.7802284078,0,
149,149,Les Chênes,43.9579406461,4.7797751714,0,
2270,2270,Les Craoux,43.9368809326,4.9021960307,0,1
496,496,Les Craoux,43.937297188,4.9020903599,0,
1632,1632,Place du Marché,43.8930566209,4.9487259979,0,1
