route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
T1,1-1-15,5820991,St Chamand,1,,,
T1,2-1-31,5820992,St Roch,0,,,
T1,2-1-31,5820993,St Roch,0,,,
T1,2-1-31,5820994,St Chamand,1,,,
T1,2-1-31,5820995,St Roch,0,,,
T1,2-1-31,5820996,St Chamand,1,,,
T1,2-1-31,5820997,St Chamand,1,,,
T1,2-1-31,5821002,St Chamand,1,,,
T1,2-1-31,5821003,St Roch,0,,,
T1,2-1-31,5821004,St Chamand,1,,,
T1,2-1-31,5821005,St Roch,0,,,
T1,2-1-31,5821006,St Chamand,1,,,
T1,2-1-31,5821007,St Chamand,1,,,
T1,2-1-31,5821008,St Chamand,1,,,
T1,2-1-31,5821009,St Chamand,1,,,
T1,2-1-31,5821010,St Roch,0,,,
T1,2-1-31,5821014,St Roch,0,,,
T1,2-1-31,5821015,St Roch,0,,,
T1,2-1-31,5821016,St Roch,0,,,
T1,2-1-31,5821017,St Roch,0,,,
T1,2-1-31,5821018,St Roch,0,,,
T1,2-1-31,5821019,St Roch,0,,,
T1,2-1-31,5821020,St Roch,0,,,
T1,2-1-31,5821021,St Roch,0,,,
T1,2-1-31,5821022,St Roch,0,,,
T1,2-1-31,5821023,St Roch,0,,,
T1,2-1-31,5821024,St Roch,0,,,
T1,2-1-31,5821025,St Roch,0,,,
T1,2-1-31,5821026,St Roch,0,,,
T1,2-1-31,5821027,St Roch,0,,,
T1,2-1-31,5821028,St Roch,0,,,
T1,2-1-31,5821029,St Chamand,1,,,
T1,2-1-31,5821030,St Chamand,1,,,
T1,2-1-31,5821031,St Chamand,1,,,
T1,2-1-31,5821032,St Chamand,1,,,
T1,2-1-31,5821033,St Chamand,1,,,
T1,2-1-31,5821034,St Chamand,1,,,
T1,2-1-31,5821035,St Chamand,1,,,
T1,2-1-31,5821036,St Chamand,1,,,
T1,2-1-31,5821037,St Chamand,1,,,
T1,2-1-31,5821038,St Chamand,1,,,
T1,2-1-31,5821039,St Chamand,1,,,
T1,2-1-31,5821064,St Chamand,1,,,
T1,2-1-31,5821065,St Roch,0,,,
T1,2-1-31,5821066,St Chamand,1,,,
T1,2-1-31,5821067,St Roch,0,,,
T1,2-1-31,5821068,St Roch,0,,,
T1,2-1-31,5821069,St Roch,0,,,
T1,2-1-31,5821070,St Chamand,1,,,
T1,2-1-31,5821071,St Roch,0,,,
T1,1-1-15,5821072,St Chamand,1,,,
T1,2-1-31,5821073,St Roch,0,,,
T1,2-1-31,5821074,St Chamand,1,,,
T1,2-1-31,5821075,St Chamand,1,,,
T1,2-1-31,5821076,St Chamand,1,,,
T1,2-1-31,5821077,St Roch,0,,,
T1,2-1-31,5821078,St Chamand,1,,,
T1,2-1-31,5821079,St Chamand,1,,,
T1,2-1-31,5821080,St Chamand,1,,,
T1,2-1-31,5821081,St Chamand,1,,,
T1,2-1-31,5821082,St Roch,0,,,
T1,2-1-31,5821083,St Roch,0,,,
T1,2-1-31,5821084,St Roch,0,,,
T1,2-1-31,5821085,St Chamand,1,,,
T1,2-1-31,5821086,St Roch,0,,,
T1,2-1-31,5821087,St Roch,0,,,
T1,2-1-31,5821088,St Chamand,1,,,
T1,2-1-31,5821089,St Chamand,1,,,
T1,2-1-31,5821090,St Chamand,1,,,
T1,2-1-31,5821092,St Chamand,1,,,
T1,2-1-31,5821093,St Roch,0,,,
T1,2-1-31,5821094,St Roch,0,,,
T1,2-1-31,5821095,St Roch,0,,,
T1,2-1-31,5821096,St Chamand,1,,,
T1,2-1-31,5821097,St Chamand,1,,,
T1,2-1-31,5821098,St Chamand,1,,,
T1,2-1-31,5821117,St Roch,0,,,
T1,2-1-31,5821118,St Chamand,1,,,
T1,2-1-31,5821119,St Roch,0,,,
T1,2-1-31,5821120,St Roch,0,,,
T1,2-1-31,5821121,St Roch,0,,,
T1,2-1-31,5821122,St Roch,0,,,
T1,2-1-31,5821123,St Chamand,1,,,
T1,2-1-31,5821124,St Roch,0,,,
T1,2-1-31,5821125,St Chamand,1,,,
T1,2-1-31,5821126,St Chamand,1,,,
T1,2-1-31,5821127,St Chamand,1,,,
T1,2-1-31,5821128,St Chamand,1,,,
T1,2-1-31,5821129,St Roch,0,,,
T1,2-1-31,5821130,St Roch,0,,,
T1,2-1-31,5821131,St Roch,0,,,
T1,2-1-31,5821132,St Chamand,1,,,
T1,2-1-31,5821133,St Chamand,1,,,
T1,2-1-31,5821134,St Chamand,1,,,
T1,2-1-31,5821135,St Chamand,1,,,
T1,2-1-31,5821136,St Roch,0,,,
T1,2-1-31,5821137,St Chamand,1,,,
T1,2-1-31,5821138,St Roch,0,,,
T1,2-1-31,5821139,St Chamand,1,,,
T1,2-1-31,5821140,St Roch,0,,,
T1,2-1-31,5821141,St Chamand,1,,,
T1,2-1-31,5821142,St Roch,0,,,
T1,2-1-31,5821143,St Chamand,1,,,
T1,2-1-31,5821144,St Roch,0,,,
T1,2-1-31,5821145,St Roch,0,,,
T1,2-1-31,5821146,St Roch,0,,,
T1,2-1-31,5821147,St Chamand,1,,,
T1,2-1-31,5821148,St Chamand,1,,,
T1,2-1-31,5821149,St Chamand,1,,,
T1,2-1-31,5821150,St Chamand,1,,,
T1,2-1-31,5821155,St Roch,0,,,
T1,2-1-31,5821156,St Roch,0,,,
T1,2-1-31,5821157,St Roch,0,,,
T1,2-1-31,5821158,St Roch,0,,,
T1,2-1-31,5821159,St Chamand,1,,,
T1,2-1-31,5821170,St Chamand,1,,,
T1,2-1-31,5821171,St Chamand,1,,,
T1,2-1-31,5821172,St Chamand,1,,,
T1,2-1-31,5821173,St Chamand,1,,,
T1,2-1-31,5821174,St Chamand,1,,,
T1,2-1-31,5821175,St Chamand,1,,,
T1,2-1-31,5821176,St Chamand,1,,,
T1,2-1-31,5821177,St Chamand,1,,,
T1,2-1-31,5821178,St Roch,0,,,
T1,2-1-31,5821179,St Roch,0,,,
T1,2-1-31,5821180,St Roch,0,,,
T1,2-1-31,5821181,St Chamand,1,,,
T1,2-1-31,5821182,St Chamand,1,,,
T1,2-1-31,5821183,St Chamand,1,,,
T1,2-1-31,5821195,St Roch,0,,,
T1,2-1-31,5821196,St Roch,0,,,
T1,2-1-31,5821197,St Roch,0,,,
T1,2-1-31,5821198,St Roch,0,,,
T1,2-1-31,5821199,St Chamand,1,,,
T1,2-1-31,5821200,St Chamand,1,,,
T1,2-1-31,5821201,St Roch,0,,,
T1,2-1-31,5821202,St Roch,0,,,
T1,2-1-31,5821203,St Chamand,1,,,
T1,2-1-31,5821204,St Roch,0,,,
T1,2-1-31,5821205,St Roch,0,,,
T1,2-1-31,5821206,St Roch,0,,,
T1,2-1-31,5821207,St Roch,0,,,
T1,2-1-31,5821208,St Chamand,1,,,
T1,2-1-31,5821209,St Chamand,1,,,
T1,2-1-31,5821210,St Roch,0,,,
T1,2-1-31,5821211,St Chamand,1,,,
T1,2-1-31,5821212,St Chamand,1,,,
T1,2-1-31,5821213,St Roch,0,,,
T1,2-1-31,5821214,St Chamand,1,,,
T1,2-1-31,5821215,St Roch,0,,,
T1,2-1-31,5821216,St Roch,0,,,
T1,2-1-31,5821217,St Roch,0,,,
T1,2-1-31,5821218,St Roch,0,,,
T1,2-1-31,5821219,St Roch,0,,,
T1,2-1-31,5821220,St Roch,0,,,
T1,2-1-31,5821222,St Roch,0,,,
T1,2-1-31,5821223,St Roch,0,,,
T1,2-1-31,5821224,St Chamand,1,,,
T1,2-1-31,5821225,St Chamand,1,,,
T1,2-1-31,5821226,St Roch,0,,,
T1,2-1-31,5821227,St Chamand,1,,,
T1,2-1-31,5821228,St Chamand,1,,,
T1,2-1-31,5821229,St Roch,0,,,
T1,2-1-31,5821248,St Chamand,1,,,
T1,2-1-31,5821249,St Chamand,1,,,
T1,2-1-31,5821250,St Chamand,1,,,
T1,2-1-31,5821251,St Roch,0,,,
T1,2-1-31,5821252,St Roch,0,,,
T1,2-1-31,5821253,St Roch,0,,,
T1,2-1-31,5821254,St Chamand,1,,,
T1,2-1-31,5821255,St Chamand,1,,,
T1,2-1-31,5821259,St Roch,0,,,
T1,2-1-31,5821260,St Chamand,1,,,
T1,2-1-31,5821261,St Roch,0,,,
T1,2-1-31,5821262,St Chamand,1,,,
T1,2-1-31,5821263,St Chamand,1,,,
T1,2-1-31,5821264,St Roch,0,,,
T1,2-1-31,5821265,St Roch,0,,,
T1,2-1-31,5821266,St Roch,0,,,
T1,2-1-31,5821267,St Chamand,1,,,
T1,1-1-15,5821268,St Chamand,1,,,
T1,2-1-31,5821269,St Roch,0,,,
T1,2-1-31,5821270,St Roch,0,,,
T1,2-1-31,5821271,St Roch,0,,,
T1,2-1-31,5821272,St Chamand,1,,,
T1,2-1-31,5821273,St Chamand,1,,,
T1,2-1-31,5821274,St Roch,0,,,
T1,2-1-31,5821275,St Chamand,1,,,
T1,2-1-31,5821276,St Roch,0,,,
T1,2-1-31,5821277,St Chamand,1,,,
T1,2-1-31,5821278,St Roch,0,,,
T1,2-1-31,5821279,St Chamand,1,,,
T1,2-1-31,5821280,St Roch,0,,,
T1,2-1-31,5821281,St Roch,0,,,
T1,2-1-31,5821282,St Chamand,1,,,
T1,2-1-31,5821283,St Chamand,1,,,
T1,2-1-31,5821284,St Roch,0,,,
T1,2-1-31,5821285,St Chamand,1,,,
T1,2-1-31,5821286,St Roch,0,,,
T1,2-1-31,5821287,St Roch,0,,,
T1,2-1-31,5821288,St Roch,0,,,
T1,2-1-31,5821289,St Chamand,1,,,
T1,2-1-31,5821290,St Chamand,1,,,
T1,2-1-31,5821308,St Roch,0,,,
T1,2-1-31,5821309,St Chamand,1,,,
T1,2-1-31,5821310,St Chamand,1,,,
T1,2-1-31,5821311,St Roch,0,,,
T1,2-1-31,5821312,St Roch,0,,,
T1,2-1-31,5821313,St Roch,0,,,
T1,2-1-31,5821314,St Roch,0,,,
T1,2-1-31,5821315,St Chamand,1,,,
T1,2-1-31,5821316,St Chamand,1,,,
T1,2-1-31,5821317,St Chamand,1,,,
T1,2-1-31,5821321,St Roch,0,,,
T1,2-1-31,5821322,St Roch,0,,,
T1,2-1-31,5821323,St Roch,0,,,
T1,2-1-31,5821324,St Roch,0,,,
T1,2-1-31,5821325,St Roch,0,,,
T1,2-1-31,5821326,St Chamand,1,,,
T1,2-1-31,5821327,St Roch,0,,,
T1,2-1-31,5821328,St Chamand,1,,,
T1,2-1-31,5821329,St Chamand,1,,,
T1,2-1-31,5821330,St Roch,0,,,
T1,2-1-31,5821331,St Chamand,1,,,
T1,2-1-31,5821332,St Chamand,1,,,
T1,2-1-31,5821333,St Chamand,1,,,
T1,2-1-31,5821334,St Roch,0,,,
T1,2-1-31,5821335,St Roch,0,,,
T1,2-1-31,5821336,St Chamand,1,,,
T1,2-1-31,5821337,St Roch,0,,,
T1,2-1-31,5821338,St Roch,0,,,
T1,2-1-31,5821339,St Chamand,1,,,
T1,2-1-31,5821340,St Chamand,1,,,
T1,2-1-31,5821341,St Chamand,1,,,
T1,2-1-31,5821342,St Chamand,1,,,
T1,2-1-31,5821343,St Chamand,1,,,
T1,2-1-31,5821344,St Chamand,1,,,
T1,2-1-31,5821345,St Roch,0,,,
T1,2-1-31,5821346,St Chamand,1,,,
T1,2-1-31,5821347,St Roch,0,,,
T1,2-1-31,5821348,St Roch,0,,,
T1,2-1-31,5821349,St Roch,0,,,
T1,2-1-31,5821350,St Chamand,1,,,
T1,2-1-31,5821351,St Chamand,1,,,
T1,2-1-31,5821356,St Chamand,1,,,
T1,2-1-31,5821357,St Roch,0,,,
T1,2-1-31,5821358,St Roch,0,,,
T1,2-1-31,5821359,St Chamand,1,,,
T1,2-1-31,5821360,St Roch,0,,,
T1,2-1-31,5821361,St Roch,0,,,
T1,3-1-16,5821362,St Roch,0,,,
T1,3-1-16,5821363,St Roch,0,,,
T1,3-1-16,5821364,St Chamand,1,,,
T1,3-1-16,5821365,St Roch,0,,,
T1,3-1-16,5821366,St Chamand,1,,,
T1,3-1-16,5821367,St Roch,0,,,
T1,3-1-16,5821368,St Chamand,1,,,
T1,3-1-16,5821369,St Roch,0,,,
T1,3-1-16,5821370,St Chamand,1,,,
T1,3-1-16,5821371,St Chamand,1,,,
T1,3-1-16,5821372,St Roch,0,,,
T1,3-1-16,5821373,St Roch,0,,,
T1,3-1-16,5821374,St Chamand,1,,,
T1,3-1-16,5821375,St Chamand,1,,,
T1,3-1-16,5821407,St Chamand,1,,,
T1,3-1-16,5821409,St Chamand,1,,,
T1,3-1-16,5821411,St Chamand,1,,,
T1,4-1-32,5821419,St Chamand,1,,,
T1,4-1-32,5821420,St Chamand,1,,,
T1,4-1-32,5821421,St Roch,0,,,
T1,4-1-32,5821423,St Roch,0,,,
T1,4-1-32,5821425,St Chamand,1,,,
T1,4-1-32,5821426,St Chamand,1,,,
T1,4-1-32,5821427,St Roch,0,,,
T1,4-1-32,5821428,St Chamand,1,,,
T1,4-1-32,5821429,St Roch,0,,,
T1,4-1-32,5821433,St Roch,0,,,
T1,4-1-32,5821434,St Chamand,1,,,
T1,4-1-32,5821435,St Roch,0,,,
T1,4-1-32,5821437,St Roch,0,,,
T1,4-1-32,5821438,St Chamand,1,,,
T1,4-1-32,5821439,St Roch,0,,,
T1,4-1-32,5821440,St Chamand,1,,,
T1,4-1-32,5821444,St Roch,0,,,
T1,4-1-32,5821445,St Roch,0,,,
T1,4-1-32,5821446,St Roch,0,,,
T1,4-1-32,5821447,St Chamand,1,,,
T1,4-1-32,5821448,St Chamand,1,,,
T1,4-1-32,5821449,St Chamand,1,,,
T1,4-1-32,5821450,St Chamand,1,,,
T1,4-1-32,5821451,St Chamand,1,,,
T1,4-1-32,5821456,St Roch,0,,,
T1,4-1-32,5821457,St Chamand,1,,,
T1,4-1-32,5821458,St Chamand,1,,,
T1,4-1-32,5821459,St Roch,0,,,
T1,4-1-32,5821460,St Roch,0,,,
T1,4-1-32,5821461,St Chamand,1,,,
T1,4-1-32,5821462,St Roch,0,,,
T1,4-1-32,5821463,St Roch,0,,,
T1,4-1-32,5821464,St Chamand,1,,,
T1,4-1-32,5821465,St Chamand,1,,,
T1,4-1-32,5821466,St Chamand,1,,,
T1,4-1-32,5821475,St Roch,0,,,
T1,4-1-32,5821476,St Roch,0,,,
T1,4-1-32,5821477,St Roch,0,,,
T1,4-1-32,5821478,St Roch,0,,,
T1,4-1-32,5821479,St Chamand,1,,,
T1,4-1-32,5821480,St Roch,0,,,
T1,4-1-32,5821481,St Chamand,1,,,
T1,4-1-32,5821482,St Chamand,1,,,
T1,4-1-32,5821483,St Chamand,1,,,
T1,4-1-32,5821484,St Chamand,1,,,
T1,4-1-32,5821485,St Roch,0,,,
