trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
701c3581-0378-4d53-b6fc-3c678bc40014,05:18:00,05:18:00,STP-,1,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,05:28:00,05:28:00,STP-TAD1,2,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,05:46:00,05:46:00,STP-STP-TAD0012,3,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,05:48:00,05:48:00,STP-STP-TAD0013,4,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,06:01:00,06:01:00,STP-STP-TAD0014,5,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,06:02:00,06:02:00,STP-STP-TAD0015,6,,2,2,,
701c3581-0378-4d53-b6fc-3c678bc40014,06:05:00,06:05:00,STP-STP-TAD0016,7,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,09:50:00,09:50:00,STP-,1,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:00:00,10:00:00,STP-TAD1,2,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:06:00,10:06:00,STP-STP-TAD0012,3,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:08:00,10:08:00,STP-STP-TAD0013,4,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:21:00,10:21:00,STP-STP-TAD0014,5,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:22:00,10:22:00,STP-STP-TAD0015,6,,2,2,,
4488b5c4-7327-4071-aab6-b4f12581aeba,10:25:00,10:25:00,STP-STP-TAD0016,7,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:10:00,14:10:00,STP-,1,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:20:00,14:20:00,STP-TAD1,2,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:26:00,14:26:00,STP-STP-TAD0012,3,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:28:00,14:28:00,STP-STP-TAD0013,4,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:41:00,14:41:00,STP-STP-TAD0014,5,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:42:00,14:42:00,STP-STP-TAD0015,6,,2,2,,
70bae3a7-bce1-4a7e-899b-304689fb8c62,14:45:00,14:45:00,STP-STP-TAD0016,7,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:15:00,12:15:00,STP-STP-TAD0016,1,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:18:00,12:18:00,STP-STP-TAD0015,2,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:19:00,12:19:00,STP-STP-TAD0014,3,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:32:00,12:32:00,STP-STP-TAD0013,4,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:34:00,12:34:00,STP-STP-TAD0012,5,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:40:00,12:40:00,STP-TAD1,6,,2,2,,
dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,12:50:00,12:50:00,STP-,7,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,15:50:00,15:50:00,STP-STP-TAD0016,1,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,15:53:00,15:53:00,STP-STP-TAD0015,2,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,15:54:00,15:54:00,STP-STP-TAD0014,3,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,16:07:00,16:07:00,STP-STP-TAD0013,4,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,16:09:00,16:09:00,STP-STP-TAD0012,5,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,16:15:00,16:15:00,STP-TAD1,6,,2,2,,
87a57818-ee16-4259-90ad-93ba80e4033a,16:25:00,16:25:00,STP-,7,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,19:50:00,19:50:00,STP-STP-TAD0016,1,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,19:53:00,19:53:00,STP-STP-TAD0015,2,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,19:54:00,19:54:00,STP-STP-TAD0014,3,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,20:07:00,20:07:00,STP-STP-TAD0013,4,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,20:09:00,20:09:00,STP-STP-TAD0012,5,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,20:27:00,20:27:00,STP-TAD1,6,,2,2,,
d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,20:37:00,20:37:00,STP-,7,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:00:00,11:00:00,STP-STP-TAD0016,1,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:03:00,11:03:00,STP-STP-TAD0015,2,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:04:00,11:04:00,STP-STP-TAD0014,3,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:17:00,11:17:00,STP-STP-TAD0013,4,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:19:00,11:19:00,STP-STP-TAD0012,5,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:25:00,11:25:00,STP-TAD1,6,,2,2,,
0b762d20-ab98-4ec9-8c83-42281c10573c,11:35:00,11:35:00,STP-,7,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,08:45:00,08:45:00,STP-,1,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,08:55:00,08:55:00,STP-TAD1,2,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,09:01:00,09:01:00,STP-STP-TAD0012,3,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,09:03:00,09:03:00,STP-STP-TAD0013,4,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,09:16:00,09:16:00,STP-STP-TAD0014,5,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,09:17:00,09:17:00,STP-STP-TAD0015,6,,2,2,,
70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,09:20:00,09:20:00,STP-STP-TAD0016,7,,2,2,,
a19c6ab5-bc14-4d49-8d71-5978b5061aee,05:40:00,05:40:00,STP-STP-TAD0018,2,,2,2,,
a19c6ab5-bc14-4d49-8d71-5978b5061aee,06:05:00,06:05:00,STP-STP-TAD0016,7,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,08:45:00,08:45:00,STP-STP-TAD0017,1,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,08:59:00,08:59:00,STP-STP-TAD0018,2,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,09:05:00,09:05:00,STP-STP-TAD0012,3,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,09:07:00,09:07:00,STP-STP-TAD0013,4,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,09:19:00,09:19:00,STP-STP-TAD0014,5,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,09:20:00,09:20:00,STP-STP-TAD0015,6,,2,2,,
5f90f4b5-ebd0-41b6-a73f-bfc49484998c,09:23:00,09:23:00,STP-STP-TAD0016,7,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:00:00,13:00:00,STP-STP-TAD0017,1,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:14:00,13:14:00,STP-STP-TAD0018,2,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:20:00,13:20:00,STP-STP-TAD0012,3,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:22:00,13:22:00,STP-STP-TAD0013,4,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:34:00,13:34:00,STP-STP-TAD0014,5,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:35:00,13:35:00,STP-STP-TAD0015,6,,2,2,,
a9cf55c1-663b-47b8-82e2-60f0e58355b2,13:38:00,13:38:00,STP-STP-TAD0016,7,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,09:45:00,09:45:00,STP-STP-TAD0017,1,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,09:59:00,09:59:00,STP-STP-TAD0018,2,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,10:05:00,10:05:00,STP-STP-TAD0012,3,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,10:07:00,10:07:00,STP-STP-TAD0013,4,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,10:19:00,10:19:00,STP-STP-TAD0014,5,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,10:20:00,10:20:00,STP-STP-TAD0015,6,,2,2,,
2437b9c2-a9c6-4540-a595-2266bfb3b9f4,10:23:00,10:23:00,STP-STP-TAD0016,7,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:00:00,11:00:00,STP-STP-TAD0016,1,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:03:00,11:03:00,STP-STP-TAD0015,2,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:04:00,11:04:00,STP-STP-TAD0014,3,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:16:00,11:16:00,STP-STP-TAD0013,4,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:18:00,11:18:00,STP-STP-TAD0012,5,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:24:00,11:24:00,STP-STP-TAD0018,6,,2,2,,
912cc129-e000-4da5-be20-c2ea572ce5df,11:38:00,11:38:00,STP-STP-TAD0017,7,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,14:45:00,14:45:00,STP-STP-TAD0016,1,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,14:48:00,14:48:00,STP-STP-TAD0015,2,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,14:49:00,14:49:00,STP-STP-TAD0014,3,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,15:01:00,15:01:00,STP-STP-TAD0013,4,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,15:03:00,15:03:00,STP-STP-TAD0012,5,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,15:09:00,15:09:00,STP-STP-TAD0018,6,,2,2,,
062fc010-c537-4580-b8de-0b0e59994f18,15:23:00,15:23:00,STP-STP-TAD0017,7,,2,2,,
af240683-2d30-4300-9bd2-62353b5c225c,19:50:00,19:50:00,STP-STP-TAD0016,1,,2,2,,
af240683-2d30-4300-9bd2-62353b5c225c,20:15:00,20:15:00,STP-STP-TAD0018,6,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:05:00,12:05:00,STP-STP-TAD0016,1,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:08:00,12:08:00,STP-STP-TAD0015,2,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:09:00,12:09:00,STP-STP-TAD0014,3,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:21:00,12:21:00,STP-STP-TAD0013,4,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:23:00,12:23:00,STP-STP-TAD0012,5,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:29:00,12:29:00,STP-STP-TAD0018,6,,2,2,,
a565aef1-a31d-41aa-992f-41911487453a,12:43:00,12:43:00,STP-STP-TAD0017,7,,2,2,,
a14159cc-1246-4dea-877d-19f91238c2a7,05:47:00,05:47:00,STP-STP-TAD0019,1,,0,0,,
a14159cc-1246-4dea-877d-19f91238c2a7,05:53:00,05:53:00,STP-STP-TAD0020,2,,0,0,,
a14159cc-1246-4dea-877d-19f91238c2a7,05:55:00,05:55:00,STP-STP-TAD0021,3,,0,0,,
a14159cc-1246-4dea-877d-19f91238c2a7,05:57:00,05:57:00,STP-STP-TAD0022,4,,0,0,,
a14159cc-1246-4dea-877d-19f91238c2a7,06:00:00,06:00:00,STP-STP-TAD0023,5,,0,0,,
a14159cc-1246-4dea-877d-19f91238c2a7,06:05:00,06:05:00,STP-STP-TAD0016,6,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:40:00,09:40:00,STP-STP-TAD0019,1,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:46:00,09:46:00,STP-STP-TAD0020,2,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:48:00,09:48:00,STP-STP-TAD0021,3,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:50:00,09:50:00,STP-STP-TAD0022,4,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:53:00,09:53:00,STP-STP-TAD0023,5,,0,0,,
34d7ebe4-3513-43f4-adb9-a5053900b206,09:58:00,09:58:00,STP-STP-TAD0016,6,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:00:00,13:00:00,STP-STP-TAD0019,1,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:06:00,13:06:00,STP-STP-TAD0020,2,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:08:00,13:08:00,STP-STP-TAD0021,3,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:10:00,13:10:00,STP-STP-TAD0022,4,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:13:00,13:13:00,STP-STP-TAD0023,5,,0,0,,
902cdde5-8b5c-4a22-a743-a4da6efdd375,13:18:00,13:18:00,STP-STP-TAD0016,6,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:40:00,09:40:00,STP-STP-TAD0019,1,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:46:00,09:46:00,STP-STP-TAD0020,2,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:48:00,09:48:00,STP-STP-TAD0021,3,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:50:00,09:50:00,STP-STP-TAD0022,4,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:53:00,09:53:00,STP-STP-TAD0023,5,,0,0,,
2c1b34c5-b479-4b54-9926-aeeaffc15776,09:58:00,09:58:00,STP-STP-TAD0016,6,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:15:00,12:15:00,STP-STP-TAD0016,1,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:20:00,12:20:00,STP-STP-TAD0023,2,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:23:00,12:23:00,STP-STP-TAD0022,3,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:25:00,12:25:00,STP-STP-TAD0021,4,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:27:00,12:27:00,STP-STP-TAD0020,5,,0,0,,
629bf3a0-4a4c-4960-93b4-690887c30a3e,12:33:00,12:33:00,STP-STP-TAD0019,6,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,14:54:00,14:54:00,STP-STP-TAD0016,1,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,14:59:00,14:59:00,STP-STP-TAD0023,2,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,15:02:00,15:02:00,STP-STP-TAD0022,3,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,15:04:00,15:04:00,STP-STP-TAD0021,4,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,15:06:00,15:06:00,STP-STP-TAD0020,5,,0,0,,
db825fcf-ada0-4d7d-9b36-bcabd5b88203,15:12:00,15:12:00,STP-STP-TAD0019,6,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,19:59:00,19:59:00,STP-STP-TAD0016,1,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,20:04:00,20:04:00,STP-STP-TAD0023,2,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,20:07:00,20:07:00,STP-STP-TAD0022,3,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,20:09:00,20:09:00,STP-STP-TAD0021,4,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,20:11:00,20:11:00,STP-STP-TAD0020,5,,0,0,,
f112a095-26b0-4e5e-a63d-6c4e0bb68400,20:17:00,20:17:00,STP-STP-TAD0019,6,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:05:00,12:05:00,STP-STP-TAD0016,1,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:10:00,12:10:00,STP-STP-TAD0023,2,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:13:00,12:13:00,STP-STP-TAD0022,3,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:15:00,12:15:00,STP-STP-TAD0021,4,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:17:00,12:17:00,STP-STP-TAD0020,5,,0,0,,
98cae3d2-d165-4955-8c5c-4f326cc9806c,12:23:00,12:23:00,STP-STP-TAD0019,6,,0,0,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:25:00,05:25:00,STP-STP-TAD0024,1,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:27:00,05:27:00,STP-STP-TAD0025,2,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:35:00,05:35:00,STP-STP-TAD0026,3,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:37:00,05:37:00,STP-STP-TAD0027,4,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:49:00,05:49:00,STP-STP-TAD0028,5,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:51:00,05:51:00,STP-STP-TAD0029,6,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:58:00,05:58:00,STP-STP-TAD0030,7,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,05:59:00,05:59:00,STP-STP-TAD0031,8,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,06:01:00,06:01:00,STP-STP-TAD0032,9,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,06:03:00,06:03:00,STP-STP-TAD0033,10,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,06:04:00,06:04:00,STP-STP-TAD0034,11,,2,2,,
b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,06:05:00,06:05:00,STP-STP-TAD0016,12,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,08:45:00,08:45:00,STP-STP-TAD0024,1,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,08:47:00,08:47:00,STP-STP-TAD0025,2,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,08:55:00,08:55:00,STP-STP-TAD0026,3,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,08:57:00,08:57:00,STP-STP-TAD0027,4,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:09:00,09:09:00,STP-STP-TAD0028,5,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:11:00,09:11:00,STP-STP-TAD0029,6,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:18:00,09:18:00,STP-STP-TAD0030,7,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:19:00,09:19:00,STP-STP-TAD0031,8,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:21:00,09:21:00,STP-STP-TAD0032,9,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:23:00,09:23:00,STP-STP-TAD0033,10,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:24:00,09:24:00,STP-STP-TAD0034,11,,2,2,,
3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,09:25:00,09:25:00,STP-STP-TAD0016,12,,2,2,,
58ee4d94-6d3d-4c83-9851-e81d0384297a,08:45:00,08:45:00,STP-STP-TAD0024,1,,2,2,,
