stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STA-STP,stp-,Saint-Julien-Vocance,,45.176554,4.503767,,,1,,,
STA-STP-STP-TAD0012,stp-stp-tad0012,Villevocance - Mairie,,45.226161,4.590113,,,1,,,
STA-STP-STP-TAD0013,stp-stp-tad0013,Villevocance - Plat,,45.232988,4.601705,,,1,,,
STA-STP-STP-TAD0014,stp-stp-tad0014,Annonay - La Rotonde,,45.23984,4.665279,,,1,,,
STA-STP-STP-TAD0015,stp-stp-tad0015,Annonay - Champ de Mars,,45.242465,4.668379,,,1,,,
STA-STP-STP-TAD0016,stp-stp-tad0016,Annonay - Gare routière,,45.243991,4.668546,,,1,,,
STA-STP-STP-TAD0017,stp-stp-tad0017,Le Monestier,,45.198535,4.531769,,,1,,,
STA-STP-STP-TAD0018,stp-stp-tad0018,Vanosc,,45.224272,4.5504,,,1,,,
STA-STP-STP-TAD0019,stp-stp-tad0019,Savas,,45.296909,4.692916,,,1,,,
STA-STP-STP-TAD0020,stp-stp-tad0020,Saint-Clair,,45.278276,4.679489,,,1,,,
STA-STP-STP-TAD0021,stp-stp-tad0021,Boulieu-les-Annonay - Place des Ecoles,,45.271194,4.665531,,,1,,,
STA-STP-STP-TAD0022,stp-stp-tad0022,Boulieu-les-Annonay,,45.268068,4.669168,,,1,,,
STA-STP-STP-TAD0023,stp-stp-tad0023,Annonay - Varagnes,,45.260698,4.668342,,,1,,,
STA-STP-STP-TAD0024,stp-stp-tad0024,Talencieux - Centre,,45.222314,4.777379,,,1,,,
STA-STP-STP-TAD0025,stp-stp-tad0025,Talencieux - La Madonne,,45.221891,4.769928,,,1,,,
STA-STP-STP-TAD0026,stp-stp-tad0026,Thorrenc - Mairie,,45.236229,4.761908,,,1,,,
STA-STP-STP-TAD0027,stp-stp-tad0027,Thorrenc - Ozas,,45.226078,4.759001,,,1,,,
STA-STP-STP-TAD0028,stp-stp-tad0028,Vernosc-les-Annonay - Mairie,,45.218683,4.714637,,,1,,,
STA-STP-STP-TAD0029,stp-stp-tad0029,Vernosc-les-Annonay - Mourio,,45.234163,4.715506,,,1,,,
STA-STP-STP-TAD0030,stp-stp-tad0030,Annonay - Clair Logis,,45.236376,4.685041,,,1,,,
STA-STP-STP-TAD0031,stp-stp-tad0031,Annonay - Vissenty,,45.230098,4.684081,,,1,,,
STA-STP-STP-TAD0032,stp-stp-tad0032,Annonay - Pont Arnaud,,45.235742,4.672607,,,1,,,
STA-STP-STP-TAD0033,stp-stp-tad0033,Annonay - Pont Montgolfier,,45.239689,4.672666,,,1,,,
STA-STP-STP-TAD0034,stp-stp-tad0034,Annonay - Cordeliers,,45.241136,4.671625,,,1,,,
STA-STP-TAD1,stp-tad1,Vocance,,45.202005,4.55328,,,1,,,
STP-,stp-,Saint-Julien-Vocance,,45.176554,4.503767,,,0,STA-STP,,
STP-STP-TAD0012,stp-stp-tad0012,Villevocance - Mairie,,45.226161,4.590113,,,0,STA-STP-STP-TAD0012,,
STP-STP-TAD0013,stp-stp-tad0013,Villevocance - Plat,,45.232988,4.601705,,,0,STA-STP-STP-TAD0013,,
STP-STP-TAD0014,stp-stp-tad0014,Annonay - La Rotonde,,45.23984,4.665279,,,0,STA-STP-STP-TAD0014,,
STP-STP-TAD0015,stp-stp-tad0015,Annonay - Champ de Mars,,45.242465,4.668379,,,0,STA-STP-STP-TAD0015,,
STP-STP-TAD0016,stp-stp-tad0016,Annonay - Gare routière,,45.243991,4.668546,,,0,STA-STP-STP-TAD0016,,
STP-STP-TAD0017,stp-stp-tad0017,Le Monestier,,45.198535,4.531769,,,0,STA-STP-STP-TAD0017,,
STP-STP-TAD0018,stp-stp-tad0018,Vanosc,,45.224272,4.5504,,,0,STA-STP-STP-TAD0018,,
STP-STP-TAD0019,stp-stp-tad0019,Savas,,45.296909,4.692916,,,0,STA-STP-STP-TAD0019,,
STP-STP-TAD0020,stp-stp-tad0020,Saint-Clair,,45.278276,4.679489,,,0,STA-STP-STP-TAD0020,,
STP-STP-TAD0021,stp-stp-tad0021,Boulieu-les-Annonay - Place des Ecoles,,45.271194,4.665531,,,0,STA-STP-STP-TAD0021,,
STP-STP-TAD0022,stp-stp-tad0022,Boulieu-les-Annonay - Chemin de la Gare,,45.268068,4.669168,,,0,STA-STP-STP-TAD0022,,
STP-STP-TAD0023,stp-stp-tad0023,Annonay - Varagnes,,45.260698,4.668342,,,0,STA-STP-STP-TAD0023,,
STP-STP-TAD0024,stp-stp-tad0024,Talencieux - Centre,,45.222314,4.777379,,,0,STA-STP-STP-TAD0024,,
STP-STP-TAD0025,stp-stp-tad0025,Talencieux - La Madonne,,45.221891,4.769928,,,0,STA-STP-STP-TAD0025,,
STP-STP-TAD0026,stp-stp-tad0026,Thorrenc - Mairie,,45.236229,4.761908,,,0,STA-STP-STP-TAD0026,,
STP-STP-TAD0027,stp-stp-tad0027,Thorrenc - Ozas,,45.226078,4.759001,,,0,STA-STP-STP-TAD0027,,
STP-STP-TAD0028,stp-stp-tad0028,Vernosc-les-Annonay - Mairie,,45.218683,4.714637,,,0,STA-STP-STP-TAD0028,,
STP-STP-TAD0029,stp-stp-tad0029,Vernosc-les-Annonay - Mourio,,45.234163,4.715506,,,0,STA-STP-STP-TAD0029,,
STP-STP-TAD0030,stp-stp-tad0030,Annonay - Clair Logis,,45.236376,4.685041,,,0,STA-STP-STP-TAD0030,,
STP-STP-TAD0031,stp-stp-tad0031,Annonay - Vissenty,,45.230098,4.684081,,,0,STA-STP-STP-TAD0031,,
STP-STP-TAD0032,stp-stp-tad0032,Annonay - Pont Arnaud,,45.235742,4.672607,,,0,STA-STP-STP-TAD0032,,
STP-STP-TAD0033,stp-stp-tad0033,Annonay - Pont Montgolfier,,45.239689,4.672666,,,0,STA-STP-STP-TAD0033,,
STP-STP-TAD0034,stp-stp-tad0034,Annonay - Cordeliers,,45.241136,4.671625,,,0,STA-STP-STP-TAD0034,,
STP-TAD1,stp-tad0011,Vocance,,45.202005,4.55328,,,0,STA-STP-TAD1,,
