route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TAD-1,L TAD,701c3581-0378-4d53-b6fc-3c678bc40014,TAD 0101A,TAD 0518,0,,701c3581-0378-4d53-b6fc-3c678bc40014,,
TAD-1,LMMeJV TAD,4488b5c4-7327-4071-aab6-b4f12581aeba,TAD 0103A,TAD 0519,0,,4488b5c4-7327-4071-aab6-b4f12581aeba,,
TAD-1,LMMeJV TAD,70bae3a7-bce1-4a7e-899b-304689fb8c62,TAD 0104A,TAD 0520,0,,70bae3a7-bce1-4a7e-899b-304689fb8c62,,
TAD-1,LMMeJV TAD,dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,TAD 0102R,TAD 0518,1,,dec4f4b7-f6e7-43ce-9149-1f0b6a57bcb8,,
TAD-1,LMMeJV TAD,87a57818-ee16-4259-90ad-93ba80e4033a,TAD 0103R,TAD 0519,1,,87a57818-ee16-4259-90ad-93ba80e4033a,,
TAD-1,V TAD,d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,TAD 0104R,TAD 0520,1,,d1ffc9a4-c66d-4875-8c7f-56aec43d3e49,,
TAD-1,S TAD,0b762d20-ab98-4ec9-8c83-42281c10573c,TAD 0101R,TAD 0521,1,,0b762d20-ab98-4ec9-8c83-42281c10573c,,
TAD-1,S TAD,70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,TAD 0102A,TAD 0521,0,,70e2781a-9cc2-4fde-ad5b-b66d3b4999ce,,
TAD-2,L TAD,a19c6ab5-bc14-4d49-8d71-5978b5061aee,TAD 0201A,TAD 0601,0,,a19c6ab5-bc14-4d49-8d71-5978b5061aee,,
TAD-2,LMMeJV TAD,5f90f4b5-ebd0-41b6-a73f-bfc49484998c,TAD 0202A,TAD 0602,0,,5f90f4b5-ebd0-41b6-a73f-bfc49484998c,,
TAD-2,LMMeJV TAD,a9cf55c1-663b-47b8-82e2-60f0e58355b2,TAD 0203A,TAD 0603,0,,a9cf55c1-663b-47b8-82e2-60f0e58355b2,,
TAD-2,S TAD,2437b9c2-a9c6-4540-a595-2266bfb3b9f4,TAD 0204A,TAD 0604,0,,2437b9c2-a9c6-4540-a595-2266bfb3b9f4,,
TAD-2,LMMeJV TAD,912cc129-e000-4da5-be20-c2ea572ce5df,TAD 0201R,TAD 0701,1,,912cc129-e000-4da5-be20-c2ea572ce5df,,
TAD-2,LMMeJV TAD,062fc010-c537-4580-b8de-0b0e59994f18,TAD 0202R,TAD 0702,1,,062fc010-c537-4580-b8de-0b0e59994f18,,
TAD-2,V TAD,af240683-2d30-4300-9bd2-62353b5c225c,TAD 0203R,TAD 0703,1,,af240683-2d30-4300-9bd2-62353b5c225c,,
TAD-2,S TAD,a565aef1-a31d-41aa-992f-41911487453a,TAD 0204R,TAD 0704,1,,a565aef1-a31d-41aa-992f-41911487453a,,
TAD-3,L TAD,a14159cc-1246-4dea-877d-19f91238c2a7,TAD 0301A,TAD 0801,0,,a14159cc-1246-4dea-877d-19f91238c2a7,,
TAD-3,LMMeJV TAD,34d7ebe4-3513-43f4-adb9-a5053900b206,TAD 0302A,TAD 0802,0,,34d7ebe4-3513-43f4-adb9-a5053900b206,,
TAD-3,LMMeJV TAD,902cdde5-8b5c-4a22-a743-a4da6efdd375,TAD 0304A,TAD 0803,0,,902cdde5-8b5c-4a22-a743-a4da6efdd375,,
TAD-3,S TAD,2c1b34c5-b479-4b54-9926-aeeaffc15776,TAD 0303A,TAD 0804,0,,2c1b34c5-b479-4b54-9926-aeeaffc15776,,
TAD-3,LMMeJV TAD,629bf3a0-4a4c-4960-93b4-690887c30a3e,TAD 0302R,TAD 0301R,1,,629bf3a0-4a4c-4960-93b4-690887c30a3e,,
TAD-3,LMMeJV TAD,db825fcf-ada0-4d7d-9b36-bcabd5b88203,TAD 0303R,TAD 0302R,1,,db825fcf-ada0-4d7d-9b36-bcabd5b88203,,
TAD-3,V TAD,f112a095-26b0-4e5e-a63d-6c4e0bb68400,TAD 0304R,TAD 0303R,1,,f112a095-26b0-4e5e-a63d-6c4e0bb68400,,
TAD-3,S TAD,98cae3d2-d165-4955-8c5c-4f326cc9806c,TAD 0101R,TAD 0304R,1,,98cae3d2-d165-4955-8c5c-4f326cc9806c,,
TAD-4,L TAD,b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,TAD 0401A,TAD 0401A,0,,b18af674-dbd5-41c7-a3aa-8c5f1883bdd0,,
TAD-4,LMMeJV TAD,3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,TAD 0402A,TAD 0402A,0,,3b6f9994-90dd-4ca9-a5a9-70ae886b93c8,,
TAD-4,S TAD,58ee4d94-6d3d-4c83-9851-e81d0384297a,TAD 0403A,TAD 0403A,0,,58ee4d94-6d3d-4c83-9851-e81d0384297a,,
TAD-4,LMMeJV TAD,9c985f70-4b3f-4452-8a8f-d37a418cdfaa,TAD 0404A,TAD 0404A,0,,9c985f70-4b3f-4452-8a8f-d37a418cdfaa,,
TAD-4,S TAD,82b82c05-666d-4afc-8103-c644594ddc81,TAD 0401R,TAD 0401R,1,,82b82c05-666d-4afc-8103-c644594ddc81,,
TAD-4,LMMeJV TAD,dbf1dbd7-4f3d-4985-bb15-54365c496bfd,TAD 0402R,TAD 0402R,1,,dbf1dbd7-4f3d-4985-bb15-54365c496bfd,,
TAD-4,LMMeJV TAD,64ab6779-aefa-48cc-84b5-8f8e4dfb850c,TAD 0403R,TAD 0403R,1,,64ab6779-aefa-48cc-84b5-8f8e4dfb850c,,
TAD-4,V TAD,17f2c5bc-061f-4131-9645-3908eb847758,TAD 0404R,TAD 0404R,1,,17f2c5bc-061f-4131-9645-3908eb847758,,
