route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
A,RESEAU-URBAIN,A,Ligne A : Saint-Vallier Centre - Maison d'Arrêt - Avenue Thiers - Grasse SNCF - La Paoûte - Mouans-sartoux Centre - Jardins du M.I.P,,3,,00a3c9,ffffff
B,RESEAU-URBAIN,B,Ligne B : P-A des HAUTS DE GRASSE - Saint-Cézaire Centre - Le Tignet Village - Mairie de Spéracèdes - Cabris Centre - Le Cours H.Cresp - Les Chasseurs Alpins - Grasse SNCF - Moulin de Brun - Axe 85 - Stade de la Paoûte,,3,,ed6b6a,ffffff
C,RESEAU-URBAIN,C,Ligne C : Pont de Siagne - Mossello - Peymeinade Centre Centenaire - La Halte - Chasseurs Alpins - Grasse SNCF - Moulin de Brun,,3,,54b263,ffffff
CENTIFOLIA,RESEAU-URBAIN,Centifolia,Ligne Centifolia : Grasse SNCF - Espace Chiris - Les Casernes - Grasse Centre Ville - Fragonard - Les Casernes - Espace Chiris - Grasse SNCF,,3,,6dc6da,ffffff
D,RESEAU-URBAIN,D,Ligne D : Carignan - Jardins du M.I.P - La Roquette Village - Rond-point des Bastides - Mairie de la Roquette - Pégomas Centre - La Siagne d'Auribeau - Auribeau Village,,3,,e94884,ffffff
E,RESEAU-URBAIN,E,Ligne E : Grasse SNCF - Axe 85 - Jardins du M.I.P,,3,,956393,ffffff
F,RESEAU-URBAIN,F,Ligne F : Place Frédéric Mistral - Les Marronniers Bas - Chasseurs Alpins - Les 4 Chemins - Les Fleurs de Grasse - La Paoûte - Le Plan,,3,,fdcb68,141212
G,RESEAU-URBAIN,G,Ligne G : Pégomas Centre - Auribeau Village - La Halte - Les Chasseurs Alpins - Grasse SNCF - Moulin de Brun,,3,,312783,ffffff
5,RESEAU-URBAIN,5,Ligne 5 : Hôpital - Place de la Buanderie - Hôpital,,3,,c5d97f,050505
6,RESEAU-URBAIN,6,Ligne 6 : Grasse SNCF - Ecole Saint-Antoine - Grasse Centre ville - Grasse SNCF,,3,,b13f47,ffffff
7,RESEAU-URBAIN,7,Ligne 7 : Square du 11 Novembre - Bon Marché - Piscine Harjès - Square du 11 Novembre,,3,,b81a5d,ffffff
8,RESEAU-URBAIN,8,Ligne 8 : Square du 11 Novembre - Jardins de Grasse - Square du 11 Novembre,,3,,ab8d75,ffffff
9,RESEAU-URBAIN,9,Ligne 9 : Square du 11 Novembre - Bel Air - Ecole St François - Square du 11 Novembre,,3,,715e57,ffffff
11,RESEAU-URBAIN,11,Ligne 11 : Parking Mairie de Le Tignet - Mairie de Spéracedes - Ecole Saint-Exupery - Peymeinade Centre Centenaire - Rond-point des Termes - Peymeinade Centre Boutiny - Ecole Saint-Exupery - Mairie de Spéracedes - Parking Mairie de Le Tignet,,3,,f29ac2,ffffff
40,RESEAU-URBAIN,40,Ligne 40 : St Auban - Logis du Pin - Caille - Andon - Séranon - Escragnolles - St Vallier - Grasse Centre - Grasse SNCF- Moulin de Brun,,3,,f4971a,ffffff
