stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STA-STP-0001,0001,11 NOVEMBRE,,43.6629932,6.9264904,,,1,,,
STA-STP-0002,0002,LES 2 CYPRES,,43.6388071,6.8710398,,,1,,,
STA-STP-0003,0003,LES 2 CYPRES,,43.6389255,6.8712374,,,1,,,
STA-STP-0004,0004,LES 3 PONTS,,43.6600994,6.8810015,,,1,,,
STA-STP-0005,0005,LES 3 PONTS,,43.6602064,6.8806437,,,1,,,
STA-STP-0006,0006,LES 4 CHEMINS,,43.6454195,6.9396857,,,1,,,
STA-STP-0007,0007,LES 4 CHEMINS,,43.6449814,6.9410164,,,1,,,
STA-STP-0008,0008,LES ABATTOIRS,,43.6477047,6.9361897,,,1,,,
STA-STP-0009,0009,LES ABATTOIRS,,43.6479709,6.9363603,,,1,,,
STA-STP-0010,0010,ADRIEN REY,,43.6081647,6.914665,,,1,,,
STA-STP-0011,0011,ADRIEN REY,,43.6080092,6.9144637,,,1,,,
STA-STP-0012,0012,AIRE DE TIRAGON,,43.6154013,6.9577066,,,1,,,
STA-STP-0013,0013,AIRE DE TIRAGON,,43.6154344,6.9580403,,,1,,,
STA-STP-0014,0014,AIRE DE VIDAL,,43.6289534,6.8703777,,,1,,,
STA-STP-0015,0015,AIRE DE VIDAL,,43.6286867,6.8704657,,,1,,,
STA-STP-0016,0016,ALICE DE ROTSCHILD,,43.6641407,6.9308306,,,1,,,
STA-STP-0017,0017,ALICE DE ROTSCHILD,,43.663943,6.929843,,,1,,,
STA-STP-0018,0018,PARKING MAIRIE DE LA TIGNET,,43.63068522,6.84392954,,,1,,,
STA-STP-0019,0019,ALTIRAMA,,43.649286,6.9198334,,,1,,,
STA-STP-0020,0020,ALTIRAMA,,43.6492053,6.919418,,,1,,,
STA-STP-0022,0022,LES AMANDIERS,,43.6358741,6.8391233,,,1,,,
STA-STP-0023,0023,GRANGE NEUVE,,43.6738492,6.7974002,,,1,,,
STA-STP-0024,0024,GRANGE NEUVE,,43.6742041,6.797475,,,1,,,
STA-STP-0026,0026,LES ARNAUDS,,43.5962524,6.92606,,,1,,,
STA-STP-0027,0027,LES ARNAUDS,,43.5984808,6.9244004,,,1,,,
STA-STP-0028,0028,LES ASPRES,,43.6426353,6.9420781,,,1,,,
STA-STP-0029,0029,LES ASPRES,,43.6420253,6.9424784,,,1,,,
STA-STP-0030,0030,AURIBEAU VILLAGE,,43.60141712,6.90966159,,,1,,,
STA-STP-0031,0031,AVENUE AMIRAL DE GRASSE,,43.6440679,6.8871606,,,1,,,
STA-STP-0033,0033,AVENUE DE CANNES,,43.6161677,6.9728471,,,1,,,
