route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
M009-02,POR-GAL-du 01/05 au 30/09,1f7f39c8-bcc1-4760-98da-6b7f5a79d7f8,PORTO/GALERIA,R1,1,,1f7f39c8-bcc1-4760-98da-6b7f5a79d7f8,,
M009-01,Gi-Po-mmjvs du 01/04 au 30/09,f3aea14a-ead5-4501-a0be-4ffe59826718,GIROLATA/PORTO,M009-01R1,1,,f3aea14a-ead5-4501-a0be-4ffe59826718,,
M009-01,Gi-Po-MAR-VE 01/04 au 30/09,c701f05d-b237-460b-a122-87f3b0ce31f5,GIROLATA/PORTO,M009-01R3,1,,c701f05d-b237-460b-a122-87f3b0ce31f5,,
M009-01,Gi-Po- LUNDI 01/04 au 30/09,4a2540dc-d17f-46e0-88f3-c120a2a79287,GIROLATA/PORTO,M009-01R2,1,,4a2540dc-d17f-46e0-88f3-c120a2a79287,,
M009-01,G-P-G LMMJVSD 01/10 31/03,81bacd6d-f6ba-4692-aca0-5abc762f0afe,GIROLATA/PORTO,M009-01R4,1,,81bacd6d-f6ba-4692-aca0-5abc762f0afe,,
M009-01,Gi-Po-MAR-VE 01/04 au 30/09,7f503c97-e63f-443a-888f-785138503581,GIROLATA/PORTO,M009-01A3,0,,7f503c97-e63f-443a-888f-785138503581,,
M009-01,Gi-Po-mmjvs du 01/04 au 30/09,050d0fb3-f72b-4bec-8fcf-3f21a0efb1ac,GIROLATA/PORTO,M009-01A1,0,,050d0fb3-f72b-4bec-8fcf-3f21a0efb1ac,,
M009-01,Gi-Po- LUNDI 01/04 au 30/09,9c9534b0-97dd-4976-aaba-1ccf5b6e7be1,GIROLATA/PORTO,M009-01A2,0,,9c9534b0-97dd-4976-aaba-1ccf5b6e7be1,,
M009-03,Gi-Ga- du 01/04 au 30/09,ccc12ea7-ed3d-4672-b309-ff8965cba2b4,GIROLATA/GALERIA,R2,1,,ccc12ea7-ed3d-4672-b309-ff8965cba2b4,,
M009-03,Gi-Ga- du 01/04 au 30/09,f7859602-c19b-4e81-a1dd-1df9803abdec,GIROLATA/GALERIA,A2,0,,f7859602-c19b-4e81-a1dd-1df9803abdec,,
M009-02,POR-GAL-du 01/05 au 30/09,89a4004e-1916-43bc-94df-f7f6ddb97c99,PORTO/GALERIA,A1,0,,89a4004e-1916-43bc-94df-f7f6ddb97c99,,
M009-01,G-P-G LMMJVSD 01/10 31/03,f57804ec-98d4-4f65-a9e7-b9d860cf79af,GIROLATA/PORTO,M009-01A4,0,,f57804ec-98d4-4f65-a9e7-b9d860cf79af,,
VIGGIRM9,V-G-01-04 AU 30-09,VIGGIRM9-A-M009L13,GIROLATA/VIGNOLA/GIROLATA,Course 12,0,,VIGGIRM9-A-M009L13,,
