trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:00:00,07:00:00,STP-CORTEGARE,1,,0,0,,
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:04:00,07:04:00,STP-FAUBOURGSA,2,,0,0,,
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:16:00,07:16:00,STP-CHJARASGIOLU,3,,0,0,,
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:31:00,07:31:00,STP-TUANI,4,,0,0,,
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:38:00,07:38:00,STP-RIVISECCU,5,,0,0,,
fc59a504-edcd-4b14-b02d-fa08967e6ecf,07:43:00,07:43:00,STP-FRASSETA,6,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:00:00,08:00:00,STP-CORTEGARE,1,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:04:00,08:04:00,STP-FAUBOURGSA,2,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:16:00,08:16:00,STP-CHJARASGIOLU,3,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:31:00,08:31:00,STP-TUANI,4,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:38:00,08:38:00,STP-RIVISECCU,5,,0,0,,
ae9fc289-96f5-46bf-b3f0-b2260fd06252,08:43:00,08:43:00,STP-FRASSETA,6,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,08:30:00,08:30:00,STP-CORTEGARE,1,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,08:34:00,08:34:00,STP-FAUBOURGSA,2,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,08:46:00,08:46:00,STP-CHJARASGIOLU,3,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,09:01:00,09:01:00,STP-TUANI,4,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,09:08:00,09:08:00,STP-RIVISECCU,5,,0,0,,
54b46d6c-4783-4b61-8e99-12cf0dead1fa,09:13:00,09:13:00,STP-FRASSETA,6,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:00:00,09:00:00,STP-CORTEGARE,1,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:04:00,09:04:00,STP-FAUBOURGSA,2,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:16:00,09:16:00,STP-CHJARASGIOLU,3,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:31:00,09:31:00,STP-TUANI,4,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:38:00,09:38:00,STP-RIVISECCU,5,,0,0,,
5d84f62f-df5e-4e02-8faf-78e546ed25f9,09:43:00,09:43:00,STP-FRASSETA,6,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,09:30:00,09:30:00,STP-CORTEGARE,1,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,09:34:00,09:34:00,STP-FAUBOURGSA,2,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,09:46:00,09:46:00,STP-CHJARASGIOLU,3,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,10:01:00,10:01:00,STP-TUANI,4,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,10:08:00,10:08:00,STP-RIVISECCU,5,,0,0,,
410ff34e-9816-433a-a7c6-81de51b76338,10:13:00,10:13:00,STP-FRASSETA,6,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:00:00,10:00:00,STP-CORTEGARE,1,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:04:00,10:04:00,STP-FAUBOURGSA,2,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:16:00,10:16:00,STP-CHJARASGIOLU,3,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:31:00,10:31:00,STP-TUANI,4,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:38:00,10:38:00,STP-RIVISECCU,5,,0,0,,
e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,10:43:00,10:43:00,STP-FRASSETA,6,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:00:00,11:00:00,STP-CORTEGARE,1,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:04:00,11:04:00,STP-FAUBOURGSA,2,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:16:00,11:16:00,STP-CHJARASGIOLU,3,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:31:00,11:31:00,STP-TUANI,4,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:38:00,11:38:00,STP-RIVISECCU,5,,0,0,,
ec3859d2-7fda-49b0-9983-e4a9d7937dbf,11:43:00,11:43:00,STP-FRASSETA,6,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:00:00,12:00:00,STP-CORTEGARE,1,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:04:00,12:04:00,STP-FAUBOURGSA,2,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:16:00,12:16:00,STP-CHJARASGIOLU,3,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:31:00,12:31:00,STP-TUANI,4,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:38:00,12:38:00,STP-RIVISECCU,5,,0,0,,
2ee13024-eda2-4c35-9a4d-824a61d2fe45,12:43:00,12:43:00,STP-FRASSETA,6,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:00:00,13:00:00,STP-CORTEGARE,1,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:04:00,13:04:00,STP-FAUBOURGSA,2,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:16:00,13:16:00,STP-CHJARASGIOLU,3,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:31:00,13:31:00,STP-TUANI,4,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:38:00,13:38:00,STP-RIVISECCU,5,,0,0,,
1e628fb9-5267-44ba-add0-0780363ef832,13:43:00,13:43:00,STP-FRASSETA,6,,0,0,,
98fbb626-45f8-42bc-8cd4-27f973eea951,14:00:00,14:00:00,STP-CORTEGARE,1,,0,0,,
98fbb626-45f8-42bc-8cd4-27f973eea951,14:04:00,14:04:00,STP-FAUBOURGSA,2,,0,0,,
