route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
C13,C13 - P1,fc59a504-edcd-4b14-b02d-fa08967e6ecf,C13 - Service 1A - P1,C13 - Service 1A - P1,0,,fc59a504-edcd-4b14-b02d-fa08967e6ecf,,
C13,C13 - P1,ae9fc289-96f5-46bf-b3f0-b2260fd06252,C13 - Service 2A - P1,C13 - Service 2A - P1,0,,ae9fc289-96f5-46bf-b3f0-b2260fd06252,,
C13,C13 - P1,54b46d6c-4783-4b61-8e99-12cf0dead1fa,C13 - Service 3A - P1,C13 - Service 3A - P1,0,,54b46d6c-4783-4b61-8e99-12cf0dead1fa,,
C13,C13 - P1,5d84f62f-df5e-4e02-8faf-78e546ed25f9,C13 - Service 4A - P1,C13 - Service 4A - P1,0,,5d84f62f-df5e-4e02-8faf-78e546ed25f9,,
C13,C13 - P1,410ff34e-9816-433a-a7c6-81de51b76338,C13 - Service 5A - P1,C13 - Service 5A - P1,0,,410ff34e-9816-433a-a7c6-81de51b76338,,
C13,C13 - P1,e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,C13 - Service 6A - P1,C13 - Service 6A - P1,0,,e426b6fc-b0bd-4247-b5da-2ede6ec9f33d,,
C13,C13 - P1,ec3859d2-7fda-49b0-9983-e4a9d7937dbf,C13 - Service 7A - P1,C13 - Service 7A - P1,0,,ec3859d2-7fda-49b0-9983-e4a9d7937dbf,,
C13,C13 - P1,2ee13024-eda2-4c35-9a4d-824a61d2fe45,C13 - Service 8A - P1,C13 - Service 8A - P1,0,,2ee13024-eda2-4c35-9a4d-824a61d2fe45,,
C13,C13 - P1,1e628fb9-5267-44ba-add0-0780363ef832,C13 - Service 9A - P1,C13 - Service 9A - P1,0,,1e628fb9-5267-44ba-add0-0780363ef832,,
C13,C13 - P1,98fbb626-45f8-42bc-8cd4-27f973eea951,C13 - Service 10A - P1,C13 - Service 10A - P1,0,,98fbb626-45f8-42bc-8cd4-27f973eea951,,
C13,C13 - P1,19f60b76-66d4-457d-b4d9-c2f152efee21,C13 - Service 11A - P1,C13 - Service 11A - P1,0,,19f60b76-66d4-457d-b4d9-c2f152efee21,,
C13,C13 - P1,5c62da6e-0584-4d64-b240-48662b4de5ae,C13 - Service 12A - P1,C13 - Service 12A - P1,0,,5c62da6e-0584-4d64-b240-48662b4de5ae,,
C13,C13 - P1,4aa9c990-c0f9-4e13-ad59-c2d8dc147916,C13 - Service 13A - P1,C13 - Service 13A - P1,0,,4aa9c990-c0f9-4e13-ad59-c2d8dc147916,,
C13,C13 - P1,8c04e678-6e2f-4f79-9dbf-87990205049a,C13 - Service 14A - P1,C13 - Service 14A - P1,0,,8c04e678-6e2f-4f79-9dbf-87990205049a,,
C13,C13 - P1,d45ced11-0065-4831-a005-6c8b8fefa9e2,C13 - Service 15A - P1,C13 - Service 15A - P1,0,,d45ced11-0065-4831-a005-6c8b8fefa9e2,,
C13,C13 - P1,c5d71a1d-0985-4521-906c-2e40c5ff85bd,C13 - Service 1R - P1,C13 - Service 1R - P1,1,,c5d71a1d-0985-4521-906c-2e40c5ff85bd,,
C13,C13 - P1,159b0c79-d8f8-4298-8580-c46ba45060f4,C13 - Service 2R - P1,C13 - Service 2R - P1,1,,159b0c79-d8f8-4298-8580-c46ba45060f4,,
C13,C13 - P1,e07e6f39-f10f-40e9-a4b5-cea6db9c55fe,C13 - Service 3R - P1,C13 - Service 3R - P1,1,,e07e6f39-f10f-40e9-a4b5-cea6db9c55fe,,
C13,C13 - P1,63abb37f-e969-4ae7-8069-d9f32eca1d01,C13 - Service 4R - P1,C13 - Service 4R - P1,1,,63abb37f-e969-4ae7-8069-d9f32eca1d01,,
