route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
GNV-ITGOA-ITOLB,GNV,ITGOA-ITOLB,GENOVA-OLBIA,,1000,,,
GNV-ITGOA-ITPTO,GNV,ITGOA-ITPTO,GENOVA-PORTO TORRES,,1000,,,
GNV-ITOLB-ITGOA,GNV,ITOLB-ITGOA,OLBIA-GENOVA,,1000,,,
GNV-ITPTO-ITGOA,GNV,ITPTO-ITGOA,PORTO TORRES-GENOVA,,1000,,,
GNV-ITCVV-ITOLB,GNV,ITCVV-ITOLB,CIVITAVECCHIA-OLBIA,,1000,,,
GNV-ITCVV-ITPMO,GNV,ITCVV-ITPMO,CIVITAVECCHIA-PALERMO,,1000,,,
GNV-ITCVV-ITTRI,GNV,ITCVV-ITTRI,CIVITAVECCHIA-TERMINI IMERESE,,1000,,,
GNV-TNLGN-ITPMO,GNV,TNLGN-ITPMO,LA GOLETTA-PALERMO,,1000,,,
GNV-ITNAP-ITTRI,GNV,ITNAP-ITTRI,NAPOLI-TERMINI IMERESE,,1000,,,
GNV-ITOLB-ITCVV,GNV,ITOLB-ITCVV,OLBIA-CIVITAVECCHIA,,1000,,,
GNV-ITPMO-ITCVV,GNV,ITPMO-ITCVV,PALERMO-CIVITAVECCHIA,,1000,,,
GNV-ITPMO-TNLGN,GNV,ITPMO-TNLGN,PALERMO-LA GOLETTA,,1000,,,
GNV-ITTRI-ITCVV,GNV,ITTRI-ITCVV,TERMINI IMERESE-CIVITAVECCHIA,,1000,,,
GNV-ITTRI-ITNAP,GNV,ITTRI-ITNAP,TERMINI IMERESE-NAPOLI,,1000,,,
