route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
GNV-ITGOA-ITOLB,ITGOA-ITOLB-18:00-05:30,GNV-ITGOA-ITOLB-18:00-05:30,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-19:30-07:00,GNV-ITGOA-ITOLB-19:30-07:00,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-23:30-11:00,GNV-ITGOA-ITOLB-23:30-11:00,,,0,,,1,2
GNV-ITGOA-ITPTO,ITGOA-ITPTO-10:00-22:00,GNV-ITGOA-ITPTO-10:00-22:00,,,0,,,1,2
GNV-ITGOA-ITPTO,ITGOA-ITPTO-19:30-07:30,GNV-ITGOA-ITPTO-19:30-07:30,,,0,,,1,2
GNV-ITGOA-ITPTO,ITGOA-ITPTO-23:00-11:00,GNV-ITGOA-ITPTO-23:00-11:00,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-08:45-20:15,GNV-ITOLB-ITGOA-08:45-20:15,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-19:30-07:00,GNV-ITOLB-ITGOA-19:30-07:00,,,0,,,1,2
GNV-ITPTO-ITGOA,ITPTO-ITGOA-19:30-07:30,GNV-ITPTO-ITGOA-19:30-07:30,,,0,,,1,2
GNV-ITPTO-ITGOA,ITPTO-ITGOA-23:30-11:30,GNV-ITPTO-ITGOA-23:30-11:30,,,0,,,1,2
GNV-ITCVV-ITOLB,ITCVV-ITOLB-10:00-21:30,GNV-ITCVV-ITOLB-10:00-21:30,,,0,,,1,2
GNV-ITCVV-ITOLB,ITCVV-ITOLB-14:00-01:30,GNV-ITCVV-ITOLB-14:00-01:30,,,0,,,1,2
GNV-ITCVV-ITPMO,ITCVV-ITPMO-19:00-07:00,GNV-ITCVV-ITPMO-19:00-07:00,,,0,,,1,2
GNV-ITCVV-ITTRI,ITCVV-ITTRI-09:00-21:00,GNV-ITCVV-ITTRI-09:00-21:00,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-08:45-20:15,GNV-ITGOA-ITOLB-08:45-20:15,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-19:00-06:30,GNV-ITGOA-ITOLB-19:00-06:30,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-22:30-10:00,GNV-ITGOA-ITOLB-22:30-10:00,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-23:59-11:29,GNV-ITGOA-ITOLB-23:59-11:29,,,0,,,1,2
GNV-ITGOA-ITPTO,ITGOA-ITPTO-19:00-07:00,GNV-ITGOA-ITPTO-19:00-07:00,,,0,,,1,2
GNV-ITGOA-ITPTO,ITGOA-ITPTO-23:30-11:30,GNV-ITGOA-ITPTO-23:30-11:30,,,0,,,1,2
GNV-TNLGN-ITPMO,TNLGN-ITPMO-23:00-11:00,GNV-TNLGN-ITPMO-23:00-11:00,,,0,,,1,2
GNV-ITNAP-ITTRI,ITNAP-ITTRI-13:30-01:30,GNV-ITNAP-ITTRI-13:30-01:30,,,0,,,1,2
GNV-ITOLB-ITCVV,ITOLB-ITCVV-09:00-20:30,GNV-ITOLB-ITCVV-09:00-20:30,,,0,,,1,2
GNV-ITOLB-ITCVV,ITOLB-ITCVV-21:00-08:30,GNV-ITOLB-ITCVV-21:00-08:30,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-10:00-21:30,GNV-ITOLB-ITGOA-10:00-21:30,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-18:00-05:30,GNV-ITOLB-ITGOA-18:00-05:30,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-21:00-08:30,GNV-ITOLB-ITGOA-21:00-08:30,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-23:30-11:00,GNV-ITOLB-ITGOA-23:30-11:00,,,0,,,1,2
GNV-ITOLB-ITGOA,ITOLB-ITGOA-23:59-11:29,GNV-ITOLB-ITGOA-23:59-11:29,,,0,,,1,2
GNV-ITPMO-ITCVV,ITPMO-ITCVV-18:00-06:00,GNV-ITPMO-ITCVV-18:00-06:00,,,0,,,1,2
GNV-ITPMO-TNLGN,ITPMO-TNLGN-11:00-23:00,GNV-ITPMO-TNLGN-11:00-23:00,,,0,,,1,2
GNV-ITPTO-ITGOA,ITPTO-ITGOA-09:30-21:30,GNV-ITPTO-ITGOA-09:30-21:30,,,0,,,1,2
GNV-ITPTO-ITGOA,ITPTO-ITGOA-10:00-22:00,GNV-ITPTO-ITGOA-10:00-22:00,,,0,,,1,2
GNV-ITTRI-ITCVV,ITTRI-ITCVV-02:00-14:00,GNV-ITTRI-ITCVV-02:00-14:00,,,0,,,1,2
GNV-ITTRI-ITCVV,ITTRI-ITCVV-23:59-11:59,GNV-ITTRI-ITCVV-23:59-11:59,,,0,,,1,2
GNV-ITTRI-ITNAP,ITTRI-ITNAP-02:00-14:00,GNV-ITTRI-ITNAP-02:00-14:00,,,0,,,1,2
GNV-ITOLB-ITCVV,ITOLB-ITCVV-23:59-11:29,GNV-ITOLB-ITCVV-23:59-11:29,,,0,,,1,2
GNV-ITTRI-ITCVV,ITTRI-ITCVV-01:30-13:30,GNV-ITTRI-ITCVV-01:30-13:30,,,0,,,1,2
GNV-ITTRI-ITNAP,ITTRI-ITNAP-00:30-12:30,GNV-ITTRI-ITNAP-00:30-12:30,,,0,,,1,2
GNV-ITCVV-ITTRI,ITCVV-ITTRI-21:00-09:00,GNV-ITCVV-ITTRI-21:00-09:00,,,0,,,1,2
GNV-ITGOA-ITOLB,ITGOA-ITOLB-09:00-20:30,GNV-ITGOA-ITOLB-09:00-20:30,,,0,,,1,2
GNV-ITOLB-ITCVV,ITOLB-ITCVV-22:30-10:00,GNV-ITOLB-ITCVV-22:30-10:00,,,0,,,1,2
