route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BCNCVV,GRIMALDI,ESBCN - ITCVV,BARCELLONA - CIVITAVECCHIA,,1000,,,
BCNPTO,GRIMALDI,ITPTO - ESBCN,PORTO TORRES - BARCELLONA,,1000,,,
CAGSAL,GRIMALDI,ITCAG - ITSAL,CAGLIARI - SALERNO,,1000,,,
CVVBCN,GRIMALDI,ITCVV - ESBCN,CIVITAVECCHIA - BARCELLONA,,1000,,,
CVVOLB,GRIMALDI,ITCVV - ITOLB,CIVITAVECCHIA - OLBIA,,1000,,,
CVVPTO,GRIMALDI,ITCVV - ITPTO,CIVITAVECCHIA - PORTO TORRES,,1000,,,
LIVOLB,GRIMALDI,ITOLB - ITLIV,OLBIA - LIVORNO,,1000,,,
NAPCAG,GRIMALDI,ITNAP - ITCAG,NAPOLI - CAGLIARI,,1000,,,
OLBCVV,GRIMALDI,ITCVV - ITOLB,CIVITAVECCHIA - OLBIA,,1000,,,
OLBLIV,GRIMALDI,ITLIV - ITOLB,LIVORNO - OLBIA,,1000,,,
PMOCAG,GRIMALDI,ITPMO - ITCAG,PALERMO - CAGLIARI,,1000,,,
PTOBCN,GRIMALDI,ESBCN - ITPTO,BARCELLONA - CIVITAVECCHIA,,1000,,,
PTOCVV,GRIMALDI,ITCVV - ITPTO,CIVITAVECCHIA - PORTO TORRES,,1000,,,
SALCAG,GRIMALDI,ITSAL - ITCAG,SALERNO - CAGLIARI,,1000,,,
