trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
BCNCVV-00:45-20:45:00,00:45:00,00:45:00,ESBCN,1,,0,1,,
BCNCVV-00:45-20:45:00,20:45:00,20:45:00,ITCVV,2,,1,0,,
BCNCVV-22:15-42:15:00,22:15:00,22:15:00,ESBCN,1,,0,1,,
BCNCVV-22:15-42:15:00,42:15:00,42:15:00,ITCVV,2,,1,0,,
BCNCVV-22:30-42:30:00,22:30:00,22:30:00,ESBCN,1,,0,1,,
BCNCVV-22:30-42:30:00,42:30:00,42:30:00,ITCVV,2,,1,0,,
BCNCVV-23:00-43:00:00,23:00:00,23:00:00,ESBCN,1,,0,1,,
BCNCVV-23:00-43:00:00,43:00:00,43:00:00,ITCVV,2,,1,0,,
BCNCVV-23:59-43:59:00,23:59:00,23:59:00,ESBCN,1,,0,1,,
BCNCVV-23:59-43:59:00,43:59:00,43:59:00,ITCVV,2,,1,0,,
BCNPTO-22:15-34:30:00,22:15:00,22:15:00,ITPTO,1,,0,1,,
BCNPTO-22:15-34:30:00,34:30:00,34:30:00,ESBCN,2,,1,0,,
BCNPTO-22:30-34:45:00,22:30:00,22:30:00,ITPTO,1,,0,1,,
BCNPTO-22:30-34:45:00,34:45:00,34:45:00,ESBCN,2,,1,0,,
BCNPTO-23:00-35:15:00,23:00:00,23:00:00,ITPTO,1,,0,1,,
BCNPTO-23:00-35:15:00,35:15:00,35:15:00,ESBCN,2,,1,0,,
CAGSAL-22:00-39:00:00,22:00:00,22:00:00,ITCAG,1,,0,1,,
CAGSAL-22:00-39:00:00,39:00:00,39:00:00,ITSAL,2,,1,0,,
CVVBCN-04:00-24:00:00,04:00:00,04:00:00,ITCVV,1,,0,1,,
CVVBCN-04:00-24:00:00,24:00:00,24:00:00,ESBCN,2,,1,0,,
CVVBCN-22:15-42:15:00,22:15:00,22:15:00,ITCVV,1,,0,1,,
CVVBCN-22:15-42:15:00,42:15:00,42:15:00,ESBCN,2,,1,0,,
CVVBCN-23:00-43:00:00,23:00:00,23:00:00,ITCVV,1,,0,1,,
CVVBCN-23:00-43:00:00,43:00:00,43:00:00,ESBCN,2,,1,0,,
CVVBCN-23:59-43:59:00,23:59:00,23:59:00,ITCVV,1,,0,1,,
CVVBCN-23:59-43:59:00,43:59:00,43:59:00,ESBCN,2,,1,0,,
CVVPTO-22:15-29:30:00,22:15:00,22:15:00,ITCVV,1,,0,1,,
CVVPTO-22:15-29:30:00,29:30:00,29:30:00,ITPTO,2,,1,0,,
CVVPTO-23:00-30:15:00,23:00:00,23:00:00,ITCVV,1,,0,1,,
CVVPTO-23:00-30:15:00,30:15:00,30:15:00,ITPTO,2,,1,0,,
LIVOLB-10:30-18:30:00,10:30:00,10:30:00,ITOLB,1,,0,1,,
LIVOLB-10:30-18:30:00,18:30:00,18:30:00,ITLIV,2,,1,0,,
LIVOLB-21:30-29:30:00,21:30:00,21:30:00,ITOLB,1,,0,1,,
LIVOLB-21:30-29:30:00,29:30:00,29:30:00,ITLIV,2,,1,0,,
LIVOLB-22:30-30:30:00,22:30:00,22:30:00,ITOLB,1,,0,1,,
LIVOLB-22:30-30:30:00,30:30:00,30:30:00,ITLIV,2,,1,0,,
NAPCAG-19:00-32:00:00,19:00:00,19:00:00,ITNAP,1,,0,1,,
NAPCAG-19:00-32:00:00,32:00:00,32:00:00,ITCAG,2,,1,0,,
OLBCVV-12:30-18:35:00,12:30:00,12:30:00,ITCVV,1,,0,1,,
OLBCVV-12:30-18:35:00,18:35:00,18:35:00,ITOLB,2,,1,0,,
OLBLIV-10:30-19:30:00,10:30:00,10:30:00,ITLIV,1,,0,1,,
OLBLIV-10:30-19:30:00,19:30:00,19:30:00,ITOLB,2,,1,0,,
OLBLIV-21:30-30:30:00,21:30:00,21:30:00,ITLIV,1,,0,1,,
OLBLIV-21:30-30:30:00,30:30:00,30:30:00,ITOLB,2,,1,0,,
OLBLIV-22:30-31:30:00,22:30:00,22:30:00,ITLIV,1,,0,1,,
OLBLIV-22:30-31:30:00,31:30:00,31:30:00,ITOLB,2,,1,0,,
PMOCAG-09:00-22:05:00,09:00:00,09:00:00,ITPMO,1,,0,1,,
PMOCAG-09:00-22:05:00,22:05:00,22:05:00,ITCAG,2,,1,0,,
PMOCAG-19:00-32:05:00,19:00:00,19:00:00,ITPMO,1,,0,1,,
PMOCAG-19:00-32:05:00,32:05:00,32:05:00,ITCAG,2,,1,0,,
PTOBCN-06:30-18:45:00,06:30:00,06:30:00,ESBCN,1,,0,1,,
PTOBCN-06:30-18:45:00,18:45:00,18:45:00,ITPTO,2,,1,0,,
PTOBCN-07:15-19:30:00,07:15:00,07:15:00,ESBCN,1,,0,1,,
PTOBCN-07:15-19:30:00,19:30:00,19:30:00,ITPTO,2,,1,0,,
PTOCVV-11:45-19:00:00,11:45:00,11:45:00,ITCVV,1,,0,1,,
PTOCVV-11:45-19:00:00,19:00:00,19:00:00,ITPTO,2,,1,0,,
PTOCVV-12:15-19:30:00,12:15:00,12:15:00,ITCVV,1,,0,1,,
PTOCVV-12:15-19:30:00,19:30:00,19:30:00,ITPTO,2,,1,0,,
SALCAG-22:00-39:00:00,22:00:00,22:00:00,ITSAL,1,,0,1,,
SALCAG-22:00-39:00:00,39:00:00,39:00:00,ITCAG,2,,1,0,,
