stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ESBCN,,Barcellona,PORTO DI BARCELLONA,41.3722839925891,2.17838299981634,,,,,,
ESVLC,,Valencia,PORTO DI VALENCIA,39.4403612162965,-0.337931391547199,,,,,,
FRAJA,,Ajaccio,PORTO DI AJACCIO,41.9023472020499,8.81115601966423,,,,,,
FRBIA,,Bastia,PORTO DI BASTIA,42.7020338783316,9.451694798857407,,,,,,
FRBON,,Bonifacio,PORTO DI BONIFACIO,41.3892049999134,9.16535499951473,,,,,,
FRMRS,,Marsiglia,PORTO DI MARSIGLIA,43.3042879994355,5.36407499978494,,,,,,
FRNCE,,Nice,PORTO DI NICE,43.6488327371235,7.13533324788991,,,,,,
FRPRP,,Propriano,PORTO DI PROPRIANO,41.6773990003085,8.89853600014111,,,,,,
FRPVO,,Porto Vecchio,PORTO DI PORTO VECCHIO,41.5875202266901,9.25398464522601,,,,,,
FRTLN,,Tolone,PORTO DI TOLONE,43.3323401432506,6.19011489647816,,,,,,
ITATX,,Arbatax,PORTO DI ARBATAX,39.93899385649037,9.708022576260573,,,,,,
ITCAG,,Cagliari,PORTO DI CAGLIARI,39.213259292018805,9.105379374339044,,,,,,
ITCLF,,Carloforte,PORTO DI CARLOFORTE,39.14536757060777,8.307690674563391,,,,,,
ITCLS,,Calasetta,PORTO DI CALASETTA,39.11196813106475,8.372707462630538,,,,,,
ITCTA,,Catania,PORTO DI CATANIA,37.4915762,15.0918573,,,,,,
ITCVV,,Civitavecchia,PORTO DI CIVITAVECCHIA,42.0982220002809,11.781094999686,,,,,,
ITGAI,,Golfo Aranci,PORTO DI GOLFO ARANCI,40.99521884267832,9.625668831740192,,,,,,
ITGOA,,Genova,PORTO DI GENOVA,44.411405000188,8.91557300020585,,,,,,
ITISN,,Asinara,PORTO DI ASINARA,41.0609580000795,8.29403400025795,,,,,,
ITLIV,,Livorno,PORTO DI LIVORNO,43.549994000336,10.3004550001881,,,,,,
ITMDA,,La Maddalena,PORTO DI LA MADDALENA,41.21212583198746,9.405830465763488,,,,,,
ITNAP,,Napoli,PORTO DI NAPOLI,40.8410219988677,14.2609190009997,,,,,,
ITOLB,,Olbia,PORTO DI OLBIA,40.92382150774183,9.51898177812601,,,,,,
ITPAU,,Palau,PORTO DI PALAU,41.18088862355793,9.385375586568895,,,,,,
ITPIO,,Piombino,PORTO DI PIOMBINO,42.9314010001806,10.5086339995374,,,,,,
ITPMO,,Palermo,PORTO DI PALERMO,38.1290879992713,13.3662410008546,,,,,,
ITPTO,,Porto Torres,PORTO DI PORTO TORRES,40.83899498636864,8.400983513895286,,,,,,
ITPVE,,Portovesme,PORTO DI PORTOVESME,39.199042051347135,8.39076472893844,,,,,,
ITSTE,,Santa Teresa di Gallura,PORTO DI SANTA TERESA DI GALLURA,41.23866968523399,9.193460723287437,,,,,,
ITSVN,,Savona,PORTO DI SAVONA,44.3123498,8.4901713,,,,,,
ITTPS,,Trapani,PORTO DI TRAPANI,38.010644000248,12.5101320003094,,,,,,
ITVDL,,Vado Ligure,PORTO DI VADO LIGURE,44.2600769995917,8.45522399947553,,,,,,
MATNG,,Tangeri,PORTO DI TANGERI,35.78928874574407,-5.803751351906152,,,,,,
ITTRI,,Termini Imerese,PORTO DI TERMINI IMERESE,37.986217960337015,13.70422189599734,,,,,,
TNLGN,,La Goletta,PORTO DI LA GOLETTA,36.812510624700586,10.303346294676102,,,,,,
ITSAL,,Salerno,PORTO DI SALERNO,40.67808761204457,14.761684770659622,,,,,,
