route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
BCNCVV,BCNCVV-00:45-20:45:00,BCNCVV-00:45-20:45:00,,,,,ESBCN-ITCVV,1,
CVVBCN,CVVBCN-04:00-24:00:00,CVVBCN-04:00-24:00:00,,,,,ITCVV-ESBCN,1,
PMOCAG,PMOCAG-09:00-22:05:00,PMOCAG-09:00-22:05:00,,,,,ITPMO-ITCAG,1,
OLBLIV,OLBLIV-10:30-19:30:00,OLBLIV-10:30-19:30:00,,,,,ITLIV-ITOLB,1,
LIVOLB,LIVOLB-10:30-18:30:00,LIVOLB-10:30-18:30:00,,,,,ITOLB-ITLIV,1,
OLBCVV,OLBCVV-12:30-18:35:00,OLBCVV-12:30-18:35:00,,,,,ITCVV-ITOLB,1,
LIVOLB,LIVOLB-22:30-30:30:00,LIVOLB-22:30-30:30:00,,,,,ITOLB-ITLIV,1,
OLBLIV,OLBLIV-22:30-31:30:00,OLBLIV-22:30-31:30:00,,,,,ITLIV-ITOLB,1,
NAPCAG,NAPCAG-19:00-32:00:00,NAPCAG-19:00-32:00:00,,,,,ITNAP-ITCAG,1,
SALCAG,SALCAG-22:00-39:00:00,SALCAG-22:00-39:00:00,,,,,ITSAL-ITCAG,1,
BCNCVV,BCNCVV-22:15-42:15:00,BCNCVV-22:15-42:15:00,,,,,ESBCN-ITCVV,1,
CVVPTO,CVVPTO-22:15-29:30:00,CVVPTO-22:15-29:30:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-22:15-42:15:00,CVVBCN-22:15-42:15:00,,,,,ITCVV-ESBCN,1,
PTOBCN,PTOBCN-06:30-18:45:00,PTOBCN-06:30-18:45:00,,,,,ESBCN-ITPTO,1,
CAGSAL,CAGSAL-22:00-39:00:00,CAGSAL-22:00-39:00:00,,,,,ITCAG-ITSAL,1,
BCNCVV,BCNCVV-22:30-42:30:00,BCNCVV-22:30-42:30:00,,,,,ESBCN-ITCVV,1,
BCNPTO,BCNPTO-22:30-34:45:00,BCNPTO-22:30-34:45:00,,,,,ITPTO-ESBCN,1,
PTOCVV,PTOCVV-11:45-19:00:00,PTOCVV-11:45-19:00:00,,,,,ITCVV-ITPTO,1,
PMOCAG,PMOCAG-19:00-32:05:00,PMOCAG-19:00-32:05:00,,,,,ITPMO-ITCAG,1,
CVVBCN,CVVBCN-23:00-43:00:00,CVVBCN-23:00-43:00:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-23:00-43:00:00,BCNCVV-23:00-43:00:00,,,,,ESBCN-ITCVV,1,
CVVPTO,CVVPTO-23:00-30:15:00,CVVPTO-23:00-30:15:00,,,,,ITCVV-ITPTO,1,
BCNPTO,BCNPTO-23:00-35:15:00,BCNPTO-23:00-35:15:00,,,,,ITPTO-ESBCN,1,
PTOBCN,PTOBCN-07:15-19:30:00,PTOBCN-07:15-19:30:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-12:15-19:30:00,PTOCVV-12:15-19:30:00,,,,,ITCVV-ITPTO,1,
LIVOLB,LIVOLB-21:30-29:30:00,LIVOLB-21:30-29:30:00,,,,,ITOLB-ITLIV,1,
OLBLIV,OLBLIV-21:30-30:30:00,OLBLIV-21:30-30:30:00,,,,,ITLIV-ITOLB,1,
BCNCVV,BCNCVV-23:59-43:59:00,BCNCVV-23:59-43:59:00,,,,,ESBCN-ITCVV,1,
CVVBCN,CVVBCN-23:59-43:59:00,CVVBCN-23:59-43:59:00,,,,,ITCVV-ESBCN,1,
BCNPTO,BCNPTO-22:15-34:30:00,BCNPTO-22:15-34:30:00,,,,,ITPTO-ESBCN,1,
