trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
PTOCVV-16:00-23:15:00,23:15:00,23:15:00,ITPTO,2,,1,0,,,,
PTOCVV-16:00-23:15:00,16:00:00,16:00:00,ITCVV,1,,0,1,,,,
PTOCVV-14:45-22:00:00,22:00:00,22:00:00,ITPTO,2,,1,0,,,,
PTOCVV-14:45-22:00:00,14:45:00,14:45:00,ITCVV,1,,0,1,,,,
PTOCVV-13:00-20:15:00,20:15:00,20:15:00,ITPTO,2,,1,0,,,,
PTOCVV-13:00-20:15:00,13:00:00,13:00:00,ITCVV,1,,0,1,,,,
PTOCVV-12:45-20:00:00,20:00:00,20:00:00,ITPTO,2,,1,0,,,,
PTOCVV-12:45-20:00:00,12:45:00,12:45:00,ITCVV,1,,0,1,,,,
PTOCVV-11:00-18:15:00,18:15:00,18:15:00,ITPTO,2,,1,0,,,,
PTOCVV-11:00-18:15:00,11:00:00,11:00:00,ITCVV,1,,0,1,,,,
PTOCVV-10:45-18:00:00,18:00:00,18:00:00,ITPTO,2,,1,0,,,,
PTOCVV-10:45-18:00:00,10:45:00,10:45:00,ITCVV,1,,0,1,,,,
PTOBCN-10:00-22:15:00,22:15:00,22:15:00,ITPTO,2,,1,0,,,,
PTOBCN-10:00-22:15:00,10:00:00,10:00:00,ESBCN,1,,0,1,,,,
PTOBCN-09:45-22:00:00,22:00:00,22:00:00,ITPTO,2,,1,0,,,,
PTOBCN-09:45-22:00:00,09:45:00,09:45:00,ESBCN,1,,0,1,,,,
PTOBCN-08:45-21:00:00,21:00:00,21:00:00,ITPTO,2,,1,0,,,,
PTOBCN-08:45-21:00:00,08:45:00,08:45:00,ESBCN,1,,0,1,,,,
PTOBCN-08:00-20:15:00,20:15:00,20:15:00,ITPTO,2,,1,0,,,,
PTOBCN-08:00-20:15:00,08:00:00,08:00:00,ESBCN,1,,0,1,,,,
PTOBCN-07:45-20:00:00,20:00:00,20:00:00,ITPTO,2,,1,0,,,,
PTOBCN-07:45-20:00:00,07:45:00,07:45:00,ESBCN,1,,0,1,,,,
PTOBCN-06:45-19:00:00,19:00:00,19:00:00,ITPTO,2,,1,0,,,,
PTOBCN-06:45-19:00:00,06:45:00,06:45:00,ESBCN,1,,0,1,,,,
PTOBCN-06:15-18:30:00,18:30:00,18:30:00,ITPTO,2,,1,0,,,,
PTOBCN-06:15-18:30:00,06:15:00,06:15:00,ESBCN,1,,0,1,,,,
PTOBCN-06:00-18:15:00,18:15:00,18:15:00,ITPTO,2,,1,0,,,,
PTOBCN-06:00-18:15:00,06:00:00,06:00:00,ESBCN,1,,0,1,,,,
PMOCAG-09:00-22:05:00,22:05:00,22:05:00,ITCAG,2,,1,0,,,,
PMOCAG-09:00-22:05:00,09:00:00,09:00:00,ITPMO,1,,0,1,,,,
OLBLIV-22:30-31:30:00,31:30:00,31:30:00,ITOLB,2,,1,0,,,,
OLBLIV-22:30-31:30:00,22:30:00,22:30:00,ITLIV,1,,0,1,,,,
OLBLIV-22:00-31:00:00,31:00:00,31:00:00,ITOLB,2,,1,0,,,,
OLBLIV-22:00-31:00:00,22:00:00,22:00:00,ITLIV,1,,0,1,,,,
OLBLIV-21:30-30:30:00,30:30:00,30:30:00,ITOLB,2,,1,0,,,,
OLBLIV-21:30-30:30:00,21:30:00,21:30:00,ITLIV,1,,0,1,,,,
OLBLIV-10:30-19:30:00,19:30:00,19:30:00,ITOLB,2,,1,0,,,,
OLBLIV-10:30-19:30:00,10:30:00,10:30:00,ITLIV,1,,0,1,,,,
OLBCVV-12:30-18:35:00,18:35:00,18:35:00,ITOLB,2,,1,0,,,,
OLBCVV-12:30-18:35:00,12:30:00,12:30:00,ITCVV,1,,0,1,,,,
NAPCAG-19:00-32:00:00,32:00:00,32:00:00,ITCAG,2,,1,0,,,,
NAPCAG-19:00-32:00:00,19:00:00,19:00:00,ITNAP,1,,0,1,,,,
LIVOLB-22:30-30:30:00,30:30:00,30:30:00,ITLIV,2,,1,0,,,,
LIVOLB-22:30-30:30:00,22:30:00,22:30:00,ITOLB,1,,0,1,,,,
LIVOLB-22:00-30:00:00,30:00:00,30:00:00,ITLIV,2,,1,0,,,,
LIVOLB-22:00-30:00:00,22:00:00,22:00:00,ITOLB,1,,0,1,,,,
LIVOLB-21:30-29:30:00,29:30:00,29:30:00,ITLIV,2,,1,0,,,,
LIVOLB-21:30-29:30:00,21:30:00,21:30:00,ITOLB,1,,0,1,,,,
LIVOLB-10:30-18:30:00,18:30:00,18:30:00,ITLIV,2,,1,0,,,,
LIVOLB-10:30-18:30:00,10:30:00,10:30:00,ITOLB,1,,0,1,,,,
LIVOLB-10:00-18:00:00,18:00:00,18:00:00,ITLIV,2,,1,0,,,,
LIVOLB-10:00-18:00:00,10:00:00,10:00:00,ITOLB,1,,0,1,,,,
CVVPTO-23:59-31:14:00,31:14:00,31:14:00,ITPTO,2,,1,0,,,,
CVVPTO-23:59-31:14:00,23:59:00,23:59:00,ITCVV,1,,0,1,,,,
CVVPTO-22:30-29:45:00,29:45:00,29:45:00,ITPTO,2,,1,0,,,,
CVVPTO-22:30-29:45:00,22:30:00,22:30:00,ITCVV,1,,0,1,,,,
CVVPTO-22:00-29:15:00,29:15:00,29:15:00,ITPTO,2,,1,0,,,,
CVVPTO-22:00-29:15:00,22:00:00,22:00:00,ITCVV,1,,0,1,,,,
CVVPTO-21:00-28:15:00,28:15:00,28:15:00,ITPTO,2,,1,0,,,,
CVVPTO-21:00-28:15:00,21:00:00,21:00:00,ITCVV,1,,0,1,,,,
CVVPTO-20:30-27:45:00,27:45:00,27:45:00,ITPTO,2,,1,0,,,,
CVVPTO-20:30-27:45:00,20:30:00,20:30:00,ITCVV,1,,0,1,,,,
CVVPTO-00:30-07:45:00,07:45:00,07:45:00,ITPTO,2,,1,0,,,,
CVVPTO-00:30-07:45:00,00:30:00,00:30:00,ITCVV,1,,0,1,,,,
CVVOLB-22:45-29:50:00,29:50:00,29:50:00,ITOLB,2,,1,0,,,,
CVVOLB-22:45-29:50:00,22:45:00,22:45:00,ITCVV,1,,0,1,,,,
CVVCAG-20:00-35:00:00,35:00:00,35:00:00,ITCAG,2,,1,0,,,,
CVVCAG-20:00-35:00:00,20:00:00,20:00:00,ITCVV,1,,0,1,,,,
CVVBCN-23:59-43:59:00,43:59:00,43:59:00,ESBCN,2,,1,0,,,,
CVVBCN-23:59-43:59:00,23:59:00,23:59:00,ITCVV,1,,0,1,,,,
CVVBCN-23:30-43:30:00,43:30:00,43:30:00,ESBCN,2,,1,0,,,,
CVVBCN-23:30-43:30:00,23:30:00,23:30:00,ITCVV,1,,0,1,,,,
CVVBCN-23:00-43:00:00,43:00:00,43:00:00,ESBCN,2,,1,0,,,,
CVVBCN-23:00-43:00:00,23:00:00,23:00:00,ITCVV,1,,0,1,,,,
CVVBCN-22:30-42:30:00,42:30:00,42:30:00,ESBCN,2,,1,0,,,,
CVVBCN-22:30-42:30:00,22:30:00,22:30:00,ITCVV,1,,0,1,,,,
CVVBCN-22:00-42:00:00,42:00:00,42:00:00,ESBCN,2,,1,0,,,,
CVVBCN-22:00-42:00:00,22:00:00,22:00:00,ITCVV,1,,0,1,,,,
CVVBCN-21:45-41:45:00,41:45:00,41:45:00,ESBCN,2,,1,0,,,,
CVVBCN-21:45-41:45:00,21:45:00,21:45:00,ITCVV,1,,0,1,,,,
CVVBCN-21:30-41:30:00,41:30:00,41:30:00,ESBCN,2,,1,0,,,,
CVVBCN-21:30-41:30:00,21:30:00,21:30:00,ITCVV,1,,0,1,,,,
CVVBCN-21:15-41:15:00,41:15:00,41:15:00,ESBCN,2,,1,0,,,,
CVVBCN-21:15-41:15:00,21:15:00,21:15:00,ITCVV,1,,0,1,,,,
CVVBCN-21:00-41:00:00,41:00:00,41:00:00,ESBCN,2,,1,0,,,,
CVVBCN-21:00-41:00:00,21:00:00,21:00:00,ITCVV,1,,0,1,,,,
CVVBCN-20:30-40:30:00,40:30:00,40:30:00,ESBCN,2,,1,0,,,,
CVVBCN-20:30-40:30:00,20:30:00,20:30:00,ITCVV,1,,0,1,,,,
CVVBCN-02:00-22:00:00,22:00:00,22:00:00,ESBCN,2,,1,0,,,,
CVVBCN-02:00-22:00:00,02:00:00,02:00:00,ITCVV,1,,0,1,,,,
CVVBCN-01:30-21:30:00,21:30:00,21:30:00,ESBCN,2,,1,0,,,,
CVVBCN-01:30-21:30:00,01:30:00,01:30:00,ITCVV,1,,0,1,,,,
CVVBCN-00:30-20:30:00,20:30:00,20:30:00,ESBCN,2,,1,0,,,,
