stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ITSTE,,Porto di Santa Teresa di Gallura (SANTA TERESA GALLURA),PORTO DI SANTA TERESA DI GALLURA,41.23866968523399,9.193460723287437,354,,,,,,,
ITISN,,Porto di Asinara (PORTO TORRES),PORTO DI ASINARA,41.0609580000795,8.29403400025795,,,,,,,,
ITATX,,Porto di Arbatax (TORTOLI'),PORTO DI ARBATAX,39.93899385649037,9.708022576260573,207,,,,,,,
ITCVV,,Porto di Civitavecchia,PORTO DI CIVITAVECCHIA,42.0982220002809,11.781094999686,,,,,,,,
ITLIV,,Porto di Livorno,PORTO DI LIVORNO,43.549994000336,10.3004550001881,,,,,,,,
ITNAP,,Porto di Napoli,PORTO DI NAPOLI,40.8410219988677,14.2609190009997,,,,,,,,
ITPTO,,Porto di Porto Torres,PORTO DI PORTO TORRES,40.83899498636864,8.400983513895286,413,,,,,,,
MATNG,,Porto di Tangeri,PORTO DI TANGERI,35.78928874574407,-5.803751351906152,,,,,,,,
ITVDL,,Porto di Vado Ligure,PORTO DI VADO LIGURE,44.2600769995917,8.45522399947553,,,,,,,,
ITTPS,,Porto di Trapani,PORTO DI TRAPANI,38.010644000248,12.5101320003094,,,,,,,,
ITSVN,,Porto di Savona,PORTO DI SAVONA,44.3123498,8.4901713,,,,,,,,
ITPIO,,Porto di Piombino,PORTO DI PIOMBINO,42.9314010001806,10.5086339995374,,,,,,,,
ITGOA,,Porto di Genova,PORTO DI GENOVA,44.411405000188,8.91557300020585,,,,,,,,
ITCTA,,Porto di Catania,PORTO DI CATANIA,37.4915762,15.0918573,,,,,,,,
ITMDA,,Porto di La Maddalena,PORTO DI LA MADDALENA,41.21212583198746,9.405830465763488,,,,,,,,
ITCAG,,Porto di Cagliari,PORTO DI CAGLIARI,39.213259292018805,9.105379374339044,6,,,,,,,
ITPVE,,Porto di Portovesme (PORTOSCUSO),PORTO DI PORTOVESME,39.199042051347135,8.39076472893844,120,,,,,,,
ITCLS,,Porto di Calasetta,PORTO DI CALASETTA,39.11196813106475,8.372707462630538,96,,,,,,,
ITGAI,,Porto di Golfo Aranci,PORTO DI GOLFO ARANCI,40.99521884267832,9.625668831740192,328,,,,,,,
ITPAU,,Porto di Palau,PORTO DI PALAU,41.18088862355793,9.385375586568895,341,,,,,,,
ITCLF,,Porto di Carloforte,PORTO DI CARLOFORTE,39.14536757060777,8.307690674563391,487,,,,,,,
FRBON,,Porto di Bonifacio,PORTO DI BONIFACIO,41.3892049999134,9.16535499951473,,,,,,,,
FRMRS,,Porto di Marsiglia,PORTO DI MARSIGLIA,43.3042879994355,5.36407499978494,,,,,,,,
FRNCE,,Porto di Nice,PORTO DI NICE,43.6488327371235,7.13533324788991,,,,,,,,
FRPRP,,Porto di Propriano,PORTO DI PROPRIANO,41.6773990003085,8.89853600014111,,,,,,,,
FRPVO,,Porto di Porto Vecchio,PORTO DI PORTO VECCHIO,41.5875202266901,9.25398464522601,,,,,,,,
FRTLN,,Porto di Tolone,PORTO DI TOLONE,43.3323401432506,6.19011489647816,,,,,,,,
ITPMO,,Porto di Palermo,PORTO DI PALERMO,38.1290879992713,13.3662410008546,,,,,,,,
ITOLB,,Porto di Olbia,PORTO DI OLBIA,40.92382150774183,9.51898177812601,335,,,,,,,
ITSAL,,Porto di Salerno,PORTO DI SALERNO,40.67808761204457,14.761684770659622,,,,,,,,
TNLGN,,Porto di La Goletta,PORTO DI LA GOLETTA,36.812510624700586,10.303346294676102,,,,,,,,
ITTRI,,Porto di Termini Imerese,PORTO DI TERMINI IMERESE,37.986217960337015,13.70422189599734,,,,,,,,
FRBIA,,Porto di Bastia,PORTO DI BASTIA,42.7020338783316,9.451694798857407,,,,,,,,
FRAJA,,Porto di Ajaccio,PORTO DI AJACCIO,41.9023472020499,8.81115601966423,,,,,,,,
ESVLC,,Porto di Valencia,PORTO DI VALENCIA,39.4403612162965,-0.337931391547199,,,,,,,,
ESBCN,,Porto di Barcellona,PORTO DI BARCELLONA,41.3722839925891,2.17838299981634,,,,,,,,
