route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Sardinia_Ferries-FRAJA-ITPTO,Sardinia_Ferries,FRAJA-ITPTO,Ajaccio - Porto Torres,,1000,,,
Sardinia_Ferries-FRAJA-FRTLN,Sardinia_Ferries,FRAJA-FRTLN,Ajaccio - Tolone,,1000,,,
Sardinia_Ferries-ESALD-FRTLN,Sardinia_Ferries,ESALD-FRTLN,Alcudia - Tolone,,1000,,,
Sardinia_Ferries-FRBIA-ITLIV,Sardinia_Ferries,FRBIA-ITLIV,Bastia - Livorno,,1000,,,
Sardinia_Ferries-FRBIA-FRNCE,Sardinia_Ferries,FRBIA-FRNCE,Bastia - Nizza,,1000,,,
Sardinia_Ferries-FRBIA-ITSVN,Sardinia_Ferries,FRBIA-ITSVN,Bastia - Savona,,1000,,,
Sardinia_Ferries-FRBIA-FRTLN,Sardinia_Ferries,FRBIA-FRTLN,Bastia - Tolone,,1000,,,
Sardinia_Ferries-ITGAI-ITLIV,Sardinia_Ferries,ITGAI-ITLIV,Golfo Aranci - Livorno,,1000,,,
Sardinia_Ferries-FRILR-FRNCE,Sardinia_Ferries,FRILR-FRNCE,L'Ile Rousse - Nizza,,1000,,,
Sardinia_Ferries-FRILR-FRTLN,Sardinia_Ferries,FRILR-FRTLN,L'Ile Rousse - Tolone,,1000,,,
Sardinia_Ferries-ITLIV-FRBIA,Sardinia_Ferries,ITLIV-FRBIA,Livorno - Bastia,,1000,,,
Sardinia_Ferries-ITLIV-ITGAI,Sardinia_Ferries,ITLIV-ITGAI,Livorno - Golfo Aranci,,1000,,,
Sardinia_Ferries-ESCMC-ESALD,Sardinia_Ferries,ESCMC-ESALD,Minorque - Alcudia,,1000,,,
Sardinia_Ferries-ESCMC-FRTLN,Sardinia_Ferries,ESCMC-FRTLN,Minorque - Tolone,,1000,,,
Sardinia_Ferries-FRNCE-FRBIA,Sardinia_Ferries,FRNCE-FRBIA,Nizza - Bastia,,1000,,,
Sardinia_Ferries-FRNCE-ITPTO,Sardinia_Ferries,FRNCE-ITPTO,Nizza - Porto Torres,,1000,,,
Sardinia_Ferries-ITPTO-FRAJA,Sardinia_Ferries,ITPTO-FRAJA,Porto Torres - Ajaccio,,1000,,,
Sardinia_Ferries-ITPTO-FRTLN,Sardinia_Ferries,ITPTO-FRTLN,Porto Torres - Tolone,,1000,,,
Sardinia_Ferries-FRPVO-FRTLN,Sardinia_Ferries,FRPVO-FRTLN,Porto Vecchio - Tolone,,1000,,,
Sardinia_Ferries-ITSVN-FRBIA,Sardinia_Ferries,ITSVN-FRBIA,Savona - Bastia,,1000,,,
Sardinia_Ferries-ITSVN-ITGAI,Sardinia_Ferries,ITSVN-ITGAI,Savona - Golfo Aranci,,1000,,,
Sardinia_Ferries-FRTLN-FRAJA,Sardinia_Ferries,FRTLN-FRAJA,Tolone - Ajaccio,,1000,,,
Sardinia_Ferries-FRTLN-ESALD,Sardinia_Ferries,FRTLN-ESALD,Tolone - Alcudia,,1000,,,
Sardinia_Ferries-FRTLN-FRBIA,Sardinia_Ferries,FRTLN-FRBIA,Tolone - Bastia,,1000,,,
Sardinia_Ferries-FRTLN-FRILR,Sardinia_Ferries,FRTLN-FRILR,Tolone - L'Ile Rousse,,1000,,,
Sardinia_Ferries-FRTLN-ESCMC,Sardinia_Ferries,FRTLN-ESCMC,Tolone - Minorque,,1000,,,
Sardinia_Ferries-FRTLN-ITPTO,Sardinia_Ferries,FRTLN-ITPTO,Tolone - Porto Torres,,1000,,,
Sardinia_Ferries-FRTLN-FRPVO,Sardinia_Ferries,FRTLN-FRPVO,Tolone - Porto Vecchio,,1000,,,
Sardinia_Ferries-ESALD-ESCMC,Sardinia_Ferries,ESALD-ESCMC,Alcudia - Minorque,,1000,,,
Sardinia_Ferries-FRBIA-ITPAU,Sardinia_Ferries,FRBIA-ITPAU,Bastia - Palau,,1000,,,
