stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
FRAJA,,Ajaccio,,41.92102,8.74003,,,,,,1
FRBIA,,Bastia,,42.70080,9.45265,,,,,,1
FRNCE,,Nice,,43.63391,7.13850,,,,,,1
FRPVO,,Porto Vecchio,,41.58720,9.29113,,,,,,1
FRTLN,,Tolone,,43.12059,5.93116,,,,,,1
ITATX,,Arbatax,,39.94169,9.70478,,,,,,1
ITCAG,,Cagliari,,39.20826,9.1062,,,,,,1
ITCVV,,Civitavecchia,,42.09822,11.78109,,,,,,1
ITGAI,,Golfo Aranci,,40.99428,9.62357,,,,,,1
ITGOA,,Genova,,44.4114,8.91557,,,,,,1
ITLIV,,Livorno,,43.54999,10.30045,,,,,,1
ITNAP,,Napoli,,40.84102,14.26091,,,,,,1
ITOLB,,Olbia,,40.92256,9.52415,,,,,,1
ITPIO,,Piombino,,42.9314,10.50863,,,,,,1
ITPTO,,Porto Torres,,40.84059,8.39973,,,,,,1
ITSVN,,Savona,,44.31315,8.49111,,,,,,1
ESBCN,,Barcellona,,41.3384,2.1541,,,,,,1
ITTPS,,Trapani,,38.01064,12.51013,,,,,,1
FRILR,,L'Ile Rousse,,42.64171,8.93809,,,,,,1
ITPFE,,Portoferraio,,42.81356,10.32685,,,,,,1
ESALD,,Alcudia,,39.8369,3.137472,,,,,,1
ESCMC,,Minorca,,40.000465,3.8331395,,,,,,1
ITPAU,,Palau,,41.1821629,9.3859919,,,,,,1
