trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Sardinia_Ferries-FRTLN-FRPVO-19:00-12:00,36:00:00,36:00:00,FRPVO,2,,1,0,,,,
Sardinia_Ferries-ITLIV-ITGAI-21:01-07:00,21:01:00,21:01:00,ITLIV,1,,0,1,,,,
Sardinia_Ferries-ITLIV-ITGAI-21:01-07:00,31:00:00,31:00:00,ITGAI,2,,1,0,,,,
Sardinia_Ferries-ITLIV-ITGAI-21:02-07:00,21:02:00,21:02:00,ITLIV,1,,0,1,,,,
Sardinia_Ferries-ITLIV-ITGAI-21:02-07:00,31:00:00,31:00:00,ITGAI,2,,1,0,,,,
Sardinia_Ferries-ESCMC-ESALD-06:31-08:30,06:31:00,06:31:00,ESCMC,1,,0,1,,,,
Sardinia_Ferries-ESCMC-ESALD-06:31-08:30,08:30:00,08:30:00,ESALD,2,,1,0,,,,
Sardinia_Ferries-FRBIA-FRNCE-07:30-13:45,13:45:00,13:45:00,FRNCE,2,,1,0,,,,
Sardinia_Ferries-FRBIA-ITSVN-08:15-21:45,08:15:00,08:15:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-ITSVN-08:15-21:45,21:45:00,21:45:00,ITSVN,2,,1,0,,,,
Sardinia_Ferries-FRBIA-ITSVN-20:00-06:15,20:00:00,20:00:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-ITSVN-20:00-06:15,30:15:00,30:15:00,ITSVN,2,,1,0,,,,
Sardinia_Ferries-FRBIA-ITSVN-20:00-12:00,20:00:00,20:00:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-ITSVN-20:00-12:00,36:00:00,36:00:00,ITSVN,2,,1,0,,,,
Sardinia_Ferries-FRBIA-FRTLN-07:15-20:15,07:15:00,07:15:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-FRTLN-07:15-20:15,20:15:00,20:15:00,FRTLN,2,,1,0,,,,
Sardinia_Ferries-FRBIA-FRTLN-21:30-08:30,21:30:00,21:30:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-FRTLN-21:30-08:30,32:30:00,32:30:00,FRTLN,2,,1,0,,,,
Sardinia_Ferries-FRBIA-FRTLN-22:30-09:30,22:30:00,22:30:00,FRBIA,1,,0,1,,,,
Sardinia_Ferries-FRBIA-FRTLN-22:30-09:30,33:30:00,33:30:00,FRTLN,2,,1,0,,,,
Sardinia_Ferries-ITGAI-FRBIA-11:00-18:45,11:00:00,11:00:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-FRBIA-11:00-18:45,18:45:00,18:45:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-ITGAI-FRBIA-08:15-14:30,08:15:00,08:15:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-FRBIA-08:15-14:30,14:30:00,14:30:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-ITGAI-FRBIA-08:45-15:00,08:45:00,08:45:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-FRBIA-08:45-15:00,15:00:00,15:00:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-ITGAI-ITLIV-09:00-18:30,09:00:00,09:00:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-ITLIV-09:00-18:30,18:30:00,18:30:00,ITLIV,2,,1,0,,,,
Sardinia_Ferries-ITGAI-ITLIV-08:15-19:15,08:15:00,08:15:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-ITLIV-08:15-19:15,19:15:00,19:15:00,ITLIV,2,,1,0,,,,
Sardinia_Ferries-ITGAI-ITLIV-08:45-19:45,08:45:00,08:45:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-ITLIV-08:45-19:45,19:45:00,19:45:00,ITLIV,2,,1,0,,,,
Sardinia_Ferries-ITGAI-FRNCE-11:00-12:00,11:00:00,11:00:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-FRNCE-11:00-12:00,12:00:00,12:00:00,FRNCE,2,,1,0,,,,
Sardinia_Ferries-ITGAI-ITSVN-11:00-06:15,11:00:00,11:00:00,ITGAI,1,,0,1,,,,
Sardinia_Ferries-ITGAI-ITSVN-11:00-06:15,30:15:00,30:15:00,ITSVN,2,,1,0,,,,
Sardinia_Ferries-ITLIV-FRBIA-12:30-17:30,12:30:00,12:30:00,ITLIV,1,,0,1,,,,
Sardinia_Ferries-ITLIV-FRBIA-12:30-17:30,17:30:00,17:30:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-ITLIV-ITGAI-08:30-16:30,08:30:00,08:30:00,ITLIV,1,,0,1,,,,
Sardinia_Ferries-ITLIV-ITGAI-08:30-16:30,16:30:00,16:30:00,ITGAI,2,,1,0,,,,
Sardinia_Ferries-ITLIV-ITGAI-20:00-07:00,20:00:00,20:00:00,ITLIV,1,,0,1,,,,
Sardinia_Ferries-ITLIV-ITGAI-20:00-07:00,31:00:00,31:00:00,ITGAI,2,,1,0,,,,
Sardinia_Ferries-FRNCE-FRBIA-21:00-07:00,21:00:00,21:00:00,FRNCE,1,,0,1,,,,
Sardinia_Ferries-FRNCE-FRBIA-21:00-07:00,31:00:00,31:00:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-FRNCE-FRBIA-17:00-08:00,17:00:00,17:00:00,FRNCE,1,,0,1,,,,
Sardinia_Ferries-FRNCE-FRBIA-17:00-08:00,32:00:00,32:00:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-FRNCE-FRBIA-17:00-07:00,17:00:00,17:00:00,FRNCE,1,,0,1,,,,
Sardinia_Ferries-FRNCE-FRBIA-17:00-07:00,31:00:00,31:00:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-FRNCE-FRBIA-15:00-21:15,15:00:00,15:00:00,FRNCE,1,,0,1,,,,
Sardinia_Ferries-FRNCE-FRBIA-15:00-21:15,21:15:00,21:15:00,FRBIA,2,,1,0,,,,
Sardinia_Ferries-ITPTO-FRAJA-17:00-21:15,17:00:00,17:00:00,ITPTO,1,,0,1,,,,
Sardinia_Ferries-ITPTO-FRAJA-17:00-21:15,21:15:00,21:15:00,FRAJA,2,,1,0,,,,
Sardinia_Ferries-ITPTO-FRTLN-17:00-07:30,17:00:00,17:00:00,ITPTO,1,,0,1,,,,
Sardinia_Ferries-ITPTO-FRTLN-17:00-07:30,31:30:00,31:30:00,FRTLN,2,,1,0,,,,
