stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ITGAI,,Porto di Golfo Aranci,,40.99428,9.62357,,,,,,1,,
ITGOA,,Porto di Genova,,44.4114,8.91557,,,,,,1,,
ITLIV,,Porto di Livorno,,43.54999,10.30045,,,,,,1,,
ITNAP,,Porto di Napoli,,40.84102,14.26091,,,,,,1,,
ITOLB,,Porto di Olbia,,40.92256,9.52415,,,,,,1,,
ITPIO,,Porto di Piombino,,42.9314,10.50863,,,,,,1,,
ITPTO,,Porto di Porto Torres,,40.84059,8.39973,,,,,,1,,
ITSVN,,Porto di Savona,,44.31315,8.49111,,,,,,1,,
ESBCN,,Porto di Barcellona,,41.3384,2.1541,,,,,,1,,
ITTPS,,Porto di Trapani,,38.01064,12.51013,,,,,,1,,
ITPAU,,Porto di Palau,,41.1821629,9.3859919,,,,,,1,,
ESCMC,,Porto di Minorca,,40.000465,3.8331395,,,,,,1,,
ESALD,,Porto di Alcudia,,39.8369,3.137472,,,,,,1,,
ITPFE,,Porto di Portoferraio,,42.81356,10.32685,,,,,,1,,
FRILR,,Porto di L'Ile Rousse,,42.64171,8.93809,,,,,,1,,
ITCVV,,Porto di Civitavecchia,,42.09822,11.78109,,,,,,1,,
ITCAG,,Porto di Cagliari,,39.20826,9.1062,,,,,,1,,
ITATX,,Porto di Arbatax (TORTOLI'),,39.94169,9.70478,,,,,,1,,
FRTLN,,Porto di Tolone,,43.12059,5.93116,,,,,,1,,
FRPVO,,Porto di Porto Vecchio,,41.58720,9.29113,,,,,,1,,
FRNCE,,Porto di Nice,,43.63391,7.13850,,,,,,1,,
FRBIA,,Porto di Bastia,,42.70080,9.45265,,,,,,1,,
FRAJA,,Porto di Ajaccio,,41.92102,8.74003,,,,,,1,,
