route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Sardinia_Ferries-FRAJA-ITPTO,FRAJA-ITPTO-07:45-12:30,Sardinia_Ferries-FRAJA-ITPTO-07:45-12:30,,,0,,,1,2
Sardinia_Ferries-FRAJA-FRTLN,FRAJA-FRTLN-20:00-07:00,Sardinia_Ferries-FRAJA-FRTLN-20:00-07:00,,,0,,,1,2
Sardinia_Ferries-FRAJA-FRTLN,FRAJA-FRTLN-08:15-17:45,Sardinia_Ferries-FRAJA-FRTLN-08:15-17:45,,,0,,,1,2
Sardinia_Ferries-FRAJA-FRTLN,FRAJA-FRTLN-21:00-07:00,Sardinia_Ferries-FRAJA-FRTLN-21:00-07:00,,,0,,,1,2
Sardinia_Ferries-FRAJA-FRTLN,FRAJA-FRTLN-19:00-05:00,Sardinia_Ferries-FRAJA-FRTLN-19:00-05:00,,,0,,,1,2
Sardinia_Ferries-ESALD-FRTLN,ESALD-FRTLN-09:00-23:00,Sardinia_Ferries-ESALD-FRTLN-09:00-23:00,,,0,,,1,2
Sardinia_Ferries-ESALD-FRTLN,ESALD-FRTLN-09:30-22:45,Sardinia_Ferries-ESALD-FRTLN-09:30-22:45,,,0,,,1,2
Sardinia_Ferries-ESALD-FRTLN,ESALD-FRTLN-16:00-10:00,Sardinia_Ferries-ESALD-FRTLN-16:00-10:00,,,0,,,1,2
Sardinia_Ferries-ESALD-FRTLN,ESALD-FRTLN-09:30-23:00,Sardinia_Ferries-ESALD-FRTLN-09:30-23:00,,,0,,,1,2
Sardinia_Ferries-ESALD-FRTLN,ESALD-FRTLN-15:00-09:00,Sardinia_Ferries-ESALD-FRTLN-15:00-09:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITLIV,FRBIA-ITLIV-08:00-13:15,Sardinia_Ferries-FRBIA-ITLIV-08:00-13:15,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITLIV,FRBIA-ITLIV-14:30-19:00,Sardinia_Ferries-FRBIA-ITLIV-14:30-19:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITLIV,FRBIA-ITLIV-12:30-17:00,Sardinia_Ferries-FRBIA-ITLIV-12:30-17:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITLIV,FRBIA-ITLIV-08:15-12:45,Sardinia_Ferries-FRBIA-ITLIV-08:15-12:45,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITLIV,FRBIA-ITLIV-08:00-12:30,Sardinia_Ferries-FRBIA-ITLIV-08:00-12:30,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRNCE,FRBIA-FRNCE-20:00-11:30,Sardinia_Ferries-FRBIA-FRNCE-20:00-11:30,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRNCE,FRBIA-FRNCE-07:00-14:45,Sardinia_Ferries-FRBIA-FRNCE-07:00-14:45,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRNCE,FRBIA-FRNCE-07:00-15:45,Sardinia_Ferries-FRBIA-FRNCE-07:00-15:45,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRNCE,FRBIA-FRNCE-07:00-14:30,Sardinia_Ferries-FRBIA-FRNCE-07:00-14:30,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRNCE,FRBIA-FRNCE-15:45-23:30,Sardinia_Ferries-FRBIA-FRNCE-15:45-23:30,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-20:00-06:00,Sardinia_Ferries-FRBIA-ITSVN-20:00-06:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-08:15-15:30,Sardinia_Ferries-FRBIA-ITSVN-08:15-15:30,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-20:00-07:00,Sardinia_Ferries-FRBIA-ITSVN-20:00-07:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-07:00-22:00,Sardinia_Ferries-FRBIA-ITSVN-07:00-22:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-23:55-07:00,Sardinia_Ferries-FRBIA-ITSVN-23:55-07:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-ITSVN,FRBIA-ITSVN-15:45-06:00,Sardinia_Ferries-FRBIA-ITSVN-15:45-06:00,,,0,,,1,2
Sardinia_Ferries-FRBIA-FRTLN,FRBIA-FRTLN-19:00-07:00,Sardinia_Ferries-FRBIA-FRTLN-19:00-07:00,,,0,,,1,2
