route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
AC,TIRRENIA,ITCAG - ITCVV,Cagliari - Civitavecchia,,1000,,,,,,
AG,TIRRENIA,ITCAG - ITGOA,Cagliari - Genova,,1000,,,,,,
AL,TIRRENIA,ITCAG - ITLIV,Cagliari - Livorno,,1000,,,,,,
AN,TIRRENIA,ITCAG - ITNAP,Cagliari - Napoli,,1000,,,,,,
AO,TIRRENIA,ITCAG - ITOLB,Cagliari - Olbia,,1000,,,,,,
AP,TIRRENIA,ITCAG - ITPMO,Cagliari - Palermo,,1000,,,,,,
AQ,TIRRENIA,ITCAG - ITCTA,Cagliari - Catania,,1000,,,,,,
AX,TIRRENIA,ITCAG - ITATX,Cagliari - Arbatax,,1000,,,,,,
CA,TIRRENIA,ITCVV - ITCAG,Civitavecchia - Cagliari,,1000,,,,,,
CO,TIRRENIA,ITCVV - ITOLB,Civitavecchia - Olbia,,1000,,,,,,
CX,TIRRENIA,ITCVV - ITATX,Civitavecchia - Arbatax,,1000,,,,,,
GA,TIRRENIA,ITGOA - ITCAG,Genova - Cagliari,,1000,,,,,,
GO,TIRRENIA,ITGOA - ITOLB,Genova - Olbia,,1000,,,,,,
GT,TIRRENIA,ITGOA - ITPTO,Genova - Porto Torres,,1000,,,,,,
GX,TIRRENIA,ITGOA - ITATX,Genova - Arbatax,,1000,,,,,,
LA,TIRRENIA,ITLIV - ITCAG,Livorno - Cagliari,,1000,,,,,,
LO,TIRRENIA,ITLIV - ITOLB,Livorno - Olbia,,1000,,,,,,
NA,TIRRENIA,ITNAP - ITCAG,Napoli - Cagliari,,1000,,,,,,
NO,TIRRENIA,ITNAP - ITOLB,Napoli - Olbia,,1000,,,,,,
OA,TIRRENIA,ITOLB - ITCAG,Olbia - Cagliari,,1000,,,,,,
OC,TIRRENIA,ITOLB - ITCVV,Olbia - Civitavecchia,,1000,,,,,,
OG,TIRRENIA,ITOLB - ITGOA,Olbia - Genova,,1000,,,,,,
OL,TIRRENIA,ITOLB - ITLIV,Olbia - Livorno,,1000,,,,,,
ON,TIRRENIA,ITOLB - ITNAP,Olbia - Napoli,,1000,,,,,,
OQ,TIRRENIA,ITOLB - ITCTA,Olbia - Catania,,1000,,,,,,
OX,TIRRENIA,ITOLB - ITATX,Olbia - Arbatax,,1000,,,,,,
PA,TIRRENIA,ITPMO - ITCAG,Palermo - Cagliari,,1000,,,,,,
QA,TIRRENIA,ITCTA - ITCAG,Catania - Cagliari,,1000,,,,,,
QO,TIRRENIA,ITCTA - ITOLB,Catania - Olbia,,1000,,,,,,
TG,TIRRENIA,ITPTO - ITGOA,Porto Torres - Genova,,1000,,,,,,
XA,TIRRENIA,ITATX - ITCAG,Arbatax - Cagliari,,1000,,,,,,
XC,TIRRENIA,ITATX - ITCVV,Arbatax - Civitavecchia,,1000,,,,,,
XG,TIRRENIA,ITATX - ITGOA,Arbatax - Genova,,1000,,,,,,
XO,TIRRENIA,ITATX - ITOLB,Arbatax - Olbia,,1000,,,,,,
