trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
CO-08:30-14:30,08:30:00,08:30:00,ITCVV,1,,0,1,,,,
CO-08:30-14:30,14:30:00,14:30:00,ITOLB,2,,1,0,,,,
CO-22:30-30:30,22:30:00,22:30:00,ITCVV,1,,0,1,,,,
CO-22:30-30:30,30:30:00,30:30:00,ITOLB,2,,1,0,,,,
CO-23:00-30:00,23:00:00,23:00:00,ITCVV,1,,0,1,,,,
CO-23:00-30:00,30:00:00,30:00:00,ITOLB,2,,1,0,,,,
GT-09:30-19:00,09:30:00,09:30:00,ITGOA,1,,0,1,,,,
GT-09:30-19:00,19:00:00,19:00:00,ITPTO,2,,1,0,,,,
GT-20:30-30:30,20:30:00,20:30:00,ITGOA,1,,0,1,,,,
GT-20:30-30:30,30:30:00,30:30:00,ITPTO,2,,1,0,,,,
GT-21:30-31:30,21:30:00,21:30:00,ITGOA,1,,0,1,,,,
GT-21:30-31:30,31:30:00,31:30:00,ITPTO,2,,1,0,,,,
OC-13:00-19:00,13:00:00,13:00:00,ITOLB,1,,0,1,,,,
OC-13:00-19:00,19:00:00,19:00:00,ITCVV,2,,1,0,,,,
OC-15:30-21:00,15:30:00,15:30:00,ITOLB,1,,0,1,,,,
OC-15:30-21:00,21:00:00,21:00:00,ITCVV,2,,1,0,,,,
OC-22:30-30:30,22:30:00,22:30:00,ITOLB,1,,0,1,,,,
OC-22:30-30:30,30:30:00,30:30:00,ITCVV,2,,1,0,,,,
OC-23:00-30:00,23:00:00,23:00:00,ITOLB,1,,0,1,,,,
OC-23:00-30:00,30:00:00,30:00:00,ITCVV,2,,1,0,,,,
TG-09:30-19:00,09:30:00,09:30:00,ITPTO,1,,0,1,,,,
TG-09:30-19:00,19:00:00,19:00:00,ITGOA,2,,1,0,,,,
TG-20:30-30:30,20:30:00,20:30:00,ITPTO,1,,0,1,,,,
TG-20:30-30:30,30:30:00,30:30:00,ITGOA,2,,1,0,,,,
TG-21:30-31:30,21:30:00,21:30:00,ITPTO,1,,0,1,,,,
TG-21:30-31:30,31:30:00,31:30:00,ITGOA,2,,1,0,,,,
