route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TG,TG-20:30-30:30,TG-20:30-30:30,,,,,ITPTO-ITGOA,1,
GT,GT-20:30-30:30,GT-20:30-30:30,,,,,ITGOA-ITPTO,1,
CO,CO-22:30-30:30,CO-22:30-30:30,,,,,ITCVV-ITOLB,1,
OC,OC-22:30-30:30,OC-22:30-30:30,,,,,ITOLB-ITCVV,1,
CO,CO-08:30-14:30,CO-08:30-14:30,,,,,ITCVV-ITOLB,1,
OC,OC-13:00-19:00,OC-13:00-19:00,,,,,ITOLB-ITCVV,1,
GT,GT-21:30-31:30,GT-21:30-31:30,,,,,ITGOA-ITPTO,1,
TG,TG-21:30-31:30,TG-21:30-31:30,,,,,ITPTO-ITGOA,1,
OC,OC-23:00-30:00,OC-23:00-30:00,,,,,ITOLB-ITCVV,1,
CO,CO-23:00-30:00,CO-23:00-30:00,,,,,ITCVV-ITOLB,1,
GT,GT-09:30-19:00,GT-09:30-19:00,,,,,ITGOA-ITPTO,1,
TG,TG-09:30-19:00,TG-09:30-19:00,,,,,ITPTO-ITGOA,1,
OC,OC-15:30-21:00,OC-15:30-21:00,,,,,ITOLB-ITCVV,1,
