route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
01_3,leo,01,LES CLAIRIONS <> LA ROUE,dk 01v03 - màj TP L1,3,,E30613,000000,
02_2,leo,02,AUGE <> BATARDEAU,dk 02V.1 - Sept24,3,,007EC3,000000,
03_4,leo,03,GRANDES HAIES <> CARRIERES,dk 03 v03 - Modification TP sens aller entre Gdes Haies et PdP (HP MAT),3,,F18700,000000,
04_2,leo,04,LES CLARIONS <> BREANDES,dk 04V.1 - Sept24,3,,13A538,000000,
05_3,leo,05,APPOIGNY <> UNIVERSITE,dk 05 v02 - Modification TP sens aller/retour au niv. Gare SNCF (boucle de retournement),3,,831F82,000000,
A12_1,leo,A12,AUXERRE <> LINDRY,,3,,A88FB5,000000,
A14_2,leo,A14,AUXERRE <> ESCAMPS,,3,,A88FB5,000000,
A20_1,leo,A20,ST GEORGES / BAULCHE <> APPOIGNY,,3,,A88FB5,000000,
A23_1,leo,A23,CHARBUY <> ST-GEORGES,,3,,A88FB5,000000,
B11_2,leo,B11,AUXERRE <> IRANCY,dk B11 v1 - Modif TP Vaux > Auxerre,3,,5D2570,000000,
B20_2,leo,B20,AUXERRE <> COULANGES,dk B20 v1 - Modif TP VALLAN Abri > AUXERRE Clg P Bert,3,,5D2570,000000,
C10_1,leo,C10,VENOY <> AUXERRE,,3,,C42458,000000,
C11_1,leo,C11,VENOY <> AUXERRE,,3,,C42458,000000,
C12_1,leo,C12,BLEIGNY LE CARREAU <> AUXERRE,,3,,C42458,000000,
C13_1,leo,C13,MONTIGNY LA RESLE <> AUXERRE,,3,,C42458,000000,
C14_1,leo,C14,MONETEAU <> AUXERRE,,3,,C42458,000000,
C15_1,leo,C15,GURGY <> AUXERRE,,3,,C42458,000000,
C20_2,leo,C20,MONETEAU <> AUXERRE,dk C20.1 - modif itinéraire + TP,3,,C42458,000000,
C21_1,leo,C21,GURGY <> AUXERRE,,3,,C42458,000000,
C30_1,leo,C30,VENOY <> MONTALLERY,,3,,C42458,000000,
C31_1,leo,C31,BLEIGNY LE CARREAU <> VENOY,,3,,C42458,000000,
C32_1,leo,C32,MONTIGNY LA RESLE <> VILLENEUVE,,3,,C42458,000000,
C33_1,leo,C33,AUXERRE <> LABORDE,,3,,C42458,000000,
C34_1,leo,C34,SOUGERES <> MONETEAU,,3,,C42458,000000,
D1_1,leo,D1,Doublage ligne 1,,3,,E30613,000000,
DIM1_2,leo,DIM1,LES CLAIRIONS <> GARE SNCF,dk DIM1.1 - Sept24,3,,31B7BC,000000,
DIM2_2,leo,DIM2,LES CLAIRIONS <> TURGOTINE,dk DIM2.1 - Sept24,3,,AEBD14,000000,
N_1,leo,N,la navette,,3,,E5006D,000000,
N1_2,leo,N1,GR <> LYCEE SCHWEITZER,,3,,F9BF8F,000000,
N2_1,leo,N2,GR <> LYCEE LA BROSSE,,3,,F9BF8F,000000,
N3_1,leo,N3,GR <> LYCEE ST JOSEPH,,3,,F9BF8F,000000,
N4_1,leo,N4,GR <> LYCEE FOURIER,,3,,F9BF8F,000000,
N5_1,leo,N5,GR <> COLLEGE DENFERT ROCHEREAU,,3,,F9BF8F,000000,
N6_1,leo,N6,GR <> COLLEGE PAUL BERT,,3,,F9BF8F,000000,
N7_1,leo,N7,GR <> CIFA,,3,,F9BF8F,000000,
N8_1,leo,N8,GR <> COLLEGE ALBERT CAMUS,,3,,F9BF8F,000000,
