route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
10,11_L-MA-J-V,11-10-1-A-061001,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-13-A-061701,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-3-A-065801,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-1-A-070101,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-13-A-071600,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-10-A-074401,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-2-A-075601,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-3-A-081401,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-10-A-084200,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-11-A-084301,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-3-A-091300,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-2-A-092001,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-11-A-093800,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-14-A-095001,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-14-A-104400,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-11-A-104501,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-11-A-115400,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-13-A-115401,BOVES M. BARBIER,,1
10,11_L-MA-J-V,11-10-11-A-124901,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-13-A-130800,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-13-A-140001,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-7-A-140900,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-7-A-150001,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-13-A-151900,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-6-A-154501,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-4-A-161000,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-6-A-164000,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-5-A-164901,C. CIAL. GLISY,,1
10,11_L-MA-J-V,11-10-9-A-171000,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-4-A-171301,BOVES M. BARBIER,,1
10,11_L-MA-J-V,11-10-12-A-174000,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-6-A-174801,BOVES M. BARBIER,,1
10,11_L-MA-J-V,11-10-5-A-181200,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-9-A-181401,BOVES M. BARBIER,,1
10,11_L-MA-J-V,11-10-9-A-192500,CHU A. PICARDIE,,0
10,11_L-MA-J-V,11-10-8-A-192501,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-1-2-061001,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-17-2-061701,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-5-2-065801,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-1-2-070101,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-17-2-071600,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-10-2-074401,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-2-2-075601,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-5-2-081401,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-10-2-084200,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-13-2-084301,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-5-2-091300,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-2-2-092001,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-13-2-093800,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-14-2-095001,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-14-2-104400,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-13-2-104501,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-13-2-115400,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-17-2-115401,BOVES M. BARBIER,,1
10,11_MERCREDI,11-10-13-2-124901,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-17-2-130800,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-17-2-140000,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-8-2-140900,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-8-2-150001,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-17-2-151900,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-3-2-154501,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-7-2-161000,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-3-2-164000,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-4-2-164901,C. CIAL. GLISY,,1
10,11_MERCREDI,11-10-6-2-171001,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-7-2-171301,BOVES M. BARBIER,,1
10,11_MERCREDI,11-10-9-2-174000,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-3-2-174801,BOVES M. BARBIER,,1
10,11_MERCREDI,11-10-4-2-181200,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-6-2-181401,BOVES M. BARBIER,,1
10,11_MERCREDI,11-10-6-2-192500,CHU A. PICARDIE,,0
10,11_MERCREDI,11-10-11-2-192501,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-11-5-074101,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-9-5-074701,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-9-5-084100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-3-5-084701,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-3-5-094100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-2-5-094601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-2-5-104100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-11-5-104601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-11-5-114100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-9-5-114601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-9-5-124000,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-3-5-124601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-3-5-134100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-2-5-134601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-2-5-144000,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-11-5-144601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-11-5-154000,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-9-5-154601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-9-5-163800,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-11-5-164501,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-11-5-173800,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-9-5-174501,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-9-5-184100,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-11-5-184601,C. CIAL. GLISY,,1
10,11_SAMEDI,11-10-11-5-194200,CHU A. PICARDIE,,0
10,11_SAMEDI,11-10-4-5-194701,C. CIAL. GLISY,,1
10,12_SEMAINE,12-10-2-B-061001,CHU A. PICARDIE,,0
10,12_SEMAINE,12-10-1-B-061701,C. CIAL. GLISY,,1
