id,ident,category,airport_name,aero_lat,aero_long,elevation_ft,continent,country_code,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
341813,IN-0227,heliport,Saily Police Training School Heliport,20.252858,73.035821,,AS,IN,IN-DH,Alok,no,,,,,,,
341814,IN-0228,heliport,Haveli Grounds Heliport,20.268076,72.984833,,AS,IN,IN-DH,Silvassa,no,,,,,,,
341816,IN-0229,heliport,CQAV Heliport,19.11263,74.740041,,AS,IN,IN-MM,Ahmednagar,no,,,,,,,
341817,IN-0230,heliport,Ahmednagar Police Heliport,19.100453,74.73498,,AS,IN,IN-MM,Ahmednagar,no,,,,,,,
341818,IN-0231,heliport,DMR Area Heliport,19.070711,74.787925,,AS,IN,IN-MM,Ahmednagar,no,,,,,,,
341819,IN-0232,heliport,ACC&S Heliport,19.084887,74.777932,,AS,IN,IN-MM,Ahmednagar,no,,,,,,,
341820,IN-0233,heliport,MIRC Heliport,19.05024,74.767188,,AS,IN,IN-MM,Wakodi,no,,,,,,,
341836,IN-0234,heliport,Mizoram University Heliport,23.732843,92.65553,,AS,IN,IN-MZ,Aizawl,no,,,,,,,
341837,IN-0235,heliport,Mualpui Helipot,23.715285,92.736057,,AS,IN,IN-MZ,Aizawl,no,,,,,,,
341838,IN-0236,heliport,Luangpawl Heliport,23.894013,92.497234,,AS,IN,IN-MZ,Mamit,no,,,,,,,
341839,IN-0237,heliport,Kawrtethawveng Heliport,23.873867,92.372788,,AS,IN,IN-MZ,Kawrtethawveng,no,,,,,,,
341840,IN-0238,heliport,Kawnpui Helipad,24.046672,92.671347,,AS,IN,IN-MZ,Kawnpui,no,,,,,,,
341841,IN-0239,heliport,Sialsuk Heliport,23.394918,92.753586,,AS,IN,IN-MZ,Sialsuk,no,,,,,,,
341842,IN-0240,heliport,Saitual Heliport,23.693488,92.978364,,AS,IN,IN-MZ,Saitual,no,,,,,,,
341843,IN-0241,heliport,Darlawn Chhimveng Heliport,24.010327,92.148375,,AS,IN,IN-MZ,Darlawn,no,,,,,,,
341844,IN-0242,heliport,Tuipuibari Heliport,23.71351,92.327704,,AS,IN,IN-MZ,Tuipuibari,no,,,,,,,
341845,IN-0243,heliport,Suangpuilawn Heliport,23.94864,93.032695,,AS,IN,IN-MZ,Suangpuilawn,no,,,,,,,
341846,IN-0244,heliport,Champhai Heliport,23.469998,93.34356,,AS,IN,IN-MZ,Champhai,no,,,,,,,
341886,IN-0245,heliport,Ghooghra Heliport Ajmer,26.509349,74.704718,,AS,IN,IN-RJ,Ghooghra,no,,,,,,,
341887,IN-0246,heliport,Pushkar Heliport,26.485927,74.543235,,AS,IN,IN-RJ,Pushkar,no,,,,,,,
341888,IN-0247,heliport,Kishanpura Goyla Heliport,26.476022,74.519229,,AS,IN,IN-RJ,Kishanpura Goyla,no,,,,,,,
341889,IN-0248,heliport,Tiloniya Heliport,26.646926,74.938877,,AS,IN,IN-RJ,Tiloniya,no,,,,,,,
341890,IN-0249,heliport,Pushkar Hotel Heliport,26.479509,74.518667,,AS,IN,IN-RJ,Kishanpura Goyla,no,,,,,,,
341891,IN-0250,heliport,Central University of Rajasthan Heliport,26.628069,75.028541,,AS,IN,IN-RJ,Bandar Seendri,no,,,,,,,
341898,IN-0251,heliport,HAL Heliport,26.21757,81.817293,,AS,IN,IN-UP,Korwa,no,,,,,,,
341899,IN-0252,heliport,Mau Heliport,25.913982,83.561476,,AS,IN,IN-UP,Mau,no,,,,,,,
341900,IN-0253,heliport,MMMUT Heliport,26.731111,83.435293,,AS,IN,IN-UP,Gorakhpur,no,,,,,,,
341901,IN-0254,heliport,Prayagraj Army Helipad,25.486483,81.850521,,AS,IN,IN-UP,Prayagraj,no,,,,,,,
341902,IN-0255,heliport,Fertilizer Colony Helipad,26.82455,83.376899,,AS,IN,IN-UP,Gorakhpur,no,,,,,,,
341912,IN-0256,heliport,Shegaon Heliport,20.779141,76.692378,,AS,IN,IN-MM,Shegaon,no,,,,,,,
