route_id,agency_id,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,vehicule_type,version,is_active,origin_trip_0,destination_trip_0,distance,emissions,classes,countries,source,source_interrail,picture,emissions_relation
24,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604.0,14.0,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
133,BDŽ,BDŽ,,,2626 = 2627,,2626: Varna - Beloslav - Poveljanovo - Sindel - Dobrina - Provadiya - Kaspichan - Shumen - Targovishte - Popovo - Strazhitsa - Gorna Oryahovitsa - Zverino - Svoge - Kurilo - Sofia Sever - Sofia // 2627: Sofia - Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Pleven - Targovishte - Shumen - Kaspichan - Provadiya - Dobrina - Sindel - Poveljanovo - Beloslav - Varna,2,,Y,Varna,Sofia,533.0,11.4,"seat, sleeper",BG,https://razpisanie.bdz.bg/en,,,2026-03-16 01:18:00
142,BDŽ,BDŽ,,,2636 = 2637,,2636: Dobrich - Donchevo - Botevo - Oborishte - General Kiselovo - Valchi Dol - Suvorovo - Chernevo - Kipra - Devnya - Poveljanovo - Zverino - Svoge - Kurilo - Sofia Sever - Sofia // 2637: Sofia - Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Pleven - Poveljanovo - Devnya - Kipra - Chernevo - Suvorovo - Valchi Dol - General Kiselovo - Oborishte - Botevo - Donchevo - Dobrich,2,,Y,Dobrich,Sofia,572.0,12.1,sleeper,BG,https://razpisanie.bdz.bg/en,,,
132,BDŽ,BDŽ,,,3636 = 3637,,3636: Varna - Beloslav - Sindel - Dalgopol - Komunari - Karnobat - Straldzha - Jambol - Nova Zagora - Stara Zagora - Dimitrovgrad - Krumovo - Plovdiv - Todor Kableshkov - Stambolijski - Pazardzhik - Septemvri - Belovo - Ihtiman - Vakarel - Elin Pelin - Kazichene - Iskar - Sofia // 3637: Sofia - Poduiane - Iskar - Kazichene - Zlatica - Pirdop - Klisura - Karlovo - Straldzha - Karnobat - Asparuhovo - Komunari - Dalgopol - Sindel - Poveljanovo - Beloslav - Varna,2,,Y,Varna,Sofia,513.0,11.0,"seat, sleeper",BG,https://razpisanie.bdz.bg/en,,,2026-03-16 01:18:00
139,BDŽ,BDŽ,,,3686 = 3687,,3686: Burgas - Sliven - Sofia // 3687: Sofia - Pirdop - Sliven - Burgas,2,,Y,Burgas,Sofia,425.0,9.0,"seat, sleeper",BG,https://razpisanie.bdz.bg/en,,,
134,BDŽ,BDŽ,,,8626 = 8627,,8626: Burgas - Vladimir Pavlov - Aytos - Karnobat - Straldzha - Zimnitsa - Jambol - Nova Zagora - Stara Zagora - Elin Pelin - Kazichene - Iskar - Poduiane Patnicheska - Sofia // 8627: Sofia - Poduiane Patnicheska - Iskar - Kazichene - Elin Pelin - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Nova Zagora - Jambol - Straldzha - Karnobat - Aytos - Vladimir Pavlov - Burgas,2,,Y,Burgas,Sofia,444.0,9.1,"seat, sleeper",BG,https://razpisanie.bdz.bg/en,,,2026-03-16 01:19:00
131,BDŽ,BDŽ,,,8656 = 8657,,8656: Varna - Beloslav - Sindel - Dalgopol - Komunari - Dimitrovgrad - Jabalkovo - Parvomai - Popovitsa - Cheshnegirovo - Sadov - Katunitsa - Krumovo - Plovdiv - Proslav - Todor Kableshkov - Kadievo - Stambolijski - Pazardzhik - Septemvri - Belovo - Kostenets - Ihtiman - Sofia // 8657: Sofia - Poduiane - Iskar - Kazichene - Vakarel - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Krumovo - Parvomai - Dimitrovgrad - Komunari - Dalgopol - Sindel - Beloslav - Varna,2,,Y,Varna,Sofia,539.0,11.0,"seat, sleeper",BG,https://razpisanie.bdz.bg/en,,,2026-03-16 01:19:00
135,BDŽ,BDŽ,,,9646 = 9647,,9646: Silistra - Alfatar - Dulovo - Todorovo - Isperih - Samuil - Razgrad - Senovo - Vetovo - Yastrebovo - Ruse Razpredelitel - Ruse - Ivanovo - Dve Mogili - Borovo - Byala - Polski Trambesh - Petko Karavelovo - Gorna Oryahovitsa - Zverino - Lakatnik - Svoge - Kurilo - Sofia // 9647: Sofia - Sofia Sever - Kumarica - Kurilo - Romcha - Vlado Trickov - Lukovo - Rebrovo - Tompsan - Svoge - Gelen - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Telish - Dolni Dabnik - Pleven - Levski - Pavlikeni - Silistra,2,,Y,Silistra,Sofia,605.0,12.4,couchette,BG,https://razpisanie.bdz.bg/en,,,2026-03-16 01:19:00
120,ČD,ČD,,,EC 458 = EN 40459,Canopus,EC 458: Praha hl.n. - Ústí nad Labem hl.n. - Dresden Hbf - Riesa - Freiburg (Breisgau) Hbf - Basel SBB - Zürich HB // EN 40459: Zürich HB - Basel SBB - Basel Bad Bf - Freiburg (Breisgau) Hbf - Offenburg - Karlsruhe Hbf - Mannheim Hbf - Frankfurt (Main) Süd - Leipzig Hbf - Riesa - Dresden Neustadt - Dresden Hbf - Bad Schandau - Děčín hl.n. - Ústí nad Labem hl.n. - Praha-Holešovice - Praha hl.n.,2,,Y,Praha,Zürich,915.0,18.8,sleeper,"CH, DE, CZ",https://www.cd.cz/en/spojeni-a-jizdenka/,,,2026-03-16 01:19:00
4,ČD,ČD,,,EN 40476 = EN 40457,Metropol,EN 40476: Budapest-Nyugati - Vac - Štúrovo - Nové Zámky - Bratislava hl.st. - Kúty - Břeclav - Brno hl.n. - Pardubice hl.n. - Praha hl.n. - Praha-Holešovice - Ústí nad Labem hl.n. - Děčín hl.n. - Bad Schandau - Dresden Hbf - Dresden Neustadt - Berlin Südkreuz - Berlin Hbf // EN 40457: Praha hl.n. - Pardubice hl.n. - Brno hl.n. - Břeclav - Bratislava hl.st. - Nové Zámky - Vac - Budapest Nyugati,2,,Y,,Berlin,608.0,10.5,sleeper,"HU, CZ",https://www.cd.cz/en/spojeni-a-jizdenka/,,,2026-03-16 01:23:00
