stop_id,station_name,stop_country,stop_timezone,station_lat,station_long,location_type,stop_name_romanized,stop_name_alt,stop_cityname,stop_cityname_romanized,stop_cityname_alt,stop_tariffname,stop_charge,stop_uic_code,stop_code,stop_region,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29
Baqël,Baqël,AL,CET,41.89464,19.64756,1.0,,,,,,,,,,,,,,,,,,,,,,,
Bishqem,Bishqem,AL,CET,41.06186,19.86611,1.0,,,,,,,,,,,,,,,,,,,,,,,
Budull,Budull,AL,CET,41.4534,19.66691,1.0,,,,,,,,,,,,,,,,,,,,,,,
Durrës,Durrës,AL,CET,41.31783,19.45461,1.0,,,,,,,,,,,,,,,,,,,,,,,
Elbasan,Elbasan,AL,CET,41.11138,20.08226,1.0,,,,,,,,,,,,,,,,,,,,,,,
Fushë-Krujë,Fushë-Krujë,AL,CET,41.47759,19.72048,1.0,,,,,,,,,,,,,,,,,,,,,,,
Golem,Golem,AL,CET,41.25707,19.52678,1.0,,,,,,,,,,,,,,,,,,,,,,,
Han i Hotit,Han i Hotit,AL,CET,42.33728,19.43446,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ishëm,Ishëm,AL,CET,41.53321,19.61037,1.0,,,,,,,,,,,,,,,,,,,,,,,
Kashar,Kashar,AL,CET,41.35836,19.74121,1.0,,,,,,,,,,,,,,,,,,,,,,,
Kavajë,Kavajë,AL,CET,41.18432,19.56136,1.0,,,,,,,,,,,,,,,,,,,,,,,
Krastë,Krastë,AL,CET,41.42326,20.20876,1.0,,,,,,,,,,,,,,,,,,,,,,,
Laç,Laç,AL,CET,41.63625,19.71151,1.0,,,,,,,,,,,,,,,,,,,,,,,
Lekaj,Lekaj,AL,CET,41.11445,19.61014,1.0,,,,,,,,,,,,,,,,,,,,,,,
Lezhë,Lezhë,AL,CET,41.78607,19.64608,1.0,,,,,,,,,,,,,,,,,,,,,,,
Librazhd,Librazhd,AL,CET,41.18292,20.31748,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mamurras,Mamurras,AL,CET,41.57801,19.69667,1.0,,,,,,,,,,,,,,,,,,,,,,,
Milot,Milot,AL,CET,41.6842,19.72048,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mirakë,Mirakë,AL,CET,41.17312,20.25567,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mjedë,Mjedë,AL,CET,42.00309,19.61483,1.0,,,,,,,,,,,,,,,,,,,,,,,
Papër,Papër,AL,CET,41.15333,20.16833,1.0,,,,,,,,,,,,,,,,,,,,,,,
Peqin,Peqin,AL,CET,41.04709,19.75024,1.0,,,,,,,,,,,,,,,,,,,,,,,
Plazh,Plazh,AL,CET,41.31044,19.49128,1.0,,,,,,,,,,,,,,,,,,,,,,,
Porti i Durrësit,Porti i Durrësit,AL,CET,41.31392,19.4558,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rrëshen,Rrëshen,AL,CET,41.76764,19.87675,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rrogozhinë,Rrogozhinë,AL,CET,41.07642,19.66691,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rubik,Rubik,AL,CET,41.76835,19.78596,1.0,,,,,,,,,,,,,,,,,,,,,,,
Shkodër,Shkodër,AL,CET,42.06471,19.50902,1.0,,,,,,,,,,,,,,,,,,,,,,,
Shkozet,Shkozet,AL,CET,41.3162,19.4771,1.0,,,,,,,,,,,,,,,,,,,,,,,
Sukth,Sukth,AL,CET,41.37527,19.53598,1.0,,,,,,,,,,,,,,,,,,,,,,,
