route_id,agency_id,trip_id,trip_origin,origin_departure_time,trip_headsign,destination_arrival_time,trip_short_name,direction_id,version,countries,is_active,irregularities,service_id,classes,connections,catering,plugs,wheelchair_accessible,bikes_allowed,car_transport,duration,distance,emissions_co2e,co2_per_km,via,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,Merged Doc ID - ONTD_Chatbase_Export,Merged Doc URL - ONTD_Chatbase_Export,Link to merged Doc - ONTD_Chatbase_Export,Document Merge Status - ONTD_Chatbase_Export,_c53,_c54,_c55,_c56
24,ATC,ATC IR 11501,București Nord,2026-03-16 19:28:00,Arad,2026-03-16 08:15:00,IR 11501,0,,RO,Y,"Extends to Constanta from 2026/06/11 to 09/06 as IRN 11504, arrives in Constanta at 10:06",2026: Daily,"seat, couchette, sleeper",,0.0,1.0,2.0,2.0,2.0,12:47:00,604.0,14.0,23.18,Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord,Videle,Roșiori Nord,Caracal,Craiova,Caransebeș,Lugoj,Timişoara Nord,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
24,ATC,ATC IR 11500,Arad,2026-03-16 19:05:00,București Nord,2026-03-16 07:29:00,IR 11500,1,,RO,Y,"Extends to Constanta from 2026/06/11 to 09/07 as IRN 11502, leaves Constanta at 16:49",2026: Daily,"seat, couchette, sleeper",,0.0,1.0,2.0,2.0,2.0,12:24:00,604.0,14.0,23.18,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,Timişoara Nord,Lugoj,Caransebeș,Craiova,Caracal,Roșiori Nord,Videle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
133,BDŽ,BDŽ 2626,Varna,2026-03-16 21:40:00,Sofia,2026-03-16 05:45:00,2626,0,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,8:05:00,533.0,11.4,21.39,Beloslav - Poveljanovo - Sindel - Dobrina - Provadiya - Kaspichan - Shumen - Targovishte - Popovo - Strazhitsa - Gorna Oryahovitsa - Zverino - Svoge - Kurilo - Sofia Sever,Beloslav,Poveljanovo,Sindel,Dobrina,Provadiya,Kaspichan,Shumen,Targovishte,Popovo,Strazhitsa,Gorna Oryahovitsa,Zverino,#N/A,Svoge,Kurilo,Sofia Sever,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
133,BDŽ,BDŽ 2627,Sofia,2026-03-16 23:00:00,Varna,2026-03-16 06:52:00,2627,1,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,7:52:00,533.0,11.4,21.39,Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Pleven - Targovishte - Shumen - Kaspichan - Provadiya - Dobrina - Sindel - Poveljanovo - Beloslav,Sofia Sever,Rebrovo,Svoge,Cerovo,Bov,Lakatnik,Zverino,Mezdra,Roman,Cherven Bryag,Pleven,Targovishte,Shumen,Kaspichan,Provadiya,Dobrina,Sindel,Poveljanovo,Beloslav,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
142,BDŽ,BDŽ 2636,Dobrich,2026-03-16 20:35:00,Sofia,2026-03-16 05:45:00,2636,0,,BG,Y,"Train runs only to Poveljanovo but with 1 sleeper through coach to Sofia, not indicated in the official timetable",2026: Daily,sleeper,,0.0,1.0,2.0,2.0,2.0,9:10:00,572.0,,,Donchevo - Botevo - Oborishte - General Kiselovo - Valchi Dol - Suvorovo - Chernevo - Kipra - Devnya - Poveljanovo - Zverino - Svoge - Kurilo - Sofia Sever,Donchevo,Botevo,Oborishte,General Kiselovo,Valchi Dol,Suvorovo,Chernevo,Kipra,Devnya,Poveljanovo,#N/A,Zverino,Svoge,Kurilo,Sofia Sever,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
142,BDŽ,BDŽ 2637,Sofia,2026-03-16 23:00:00,Dobrich,2026-03-16 08:05:00,2637,1,,BG,Y,"Train runs only to Poveljanovo but with 1 sleeper through coach to Dobrich, not indicated in the official timetable",2026: Daily,sleeper,,0.0,1.0,2.0,2.0,2.0,9:05:00,572.0,,,Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Pleven - Poveljanovo - Devnya - Kipra - Chernevo - Suvorovo - Valchi Dol - General Kiselovo - Oborishte - Botevo - Donchevo,Sofia Sever,Rebrovo,Svoge,Cerovo,Bov,Lakatnik,Zverino,Mezdra,Roman,Cherven Bryag,Pleven,Poveljanovo,Devnya,Kipra,Chernevo,Suvorovo,Valchi Dol,General Kiselovo,Oborishte,Botevo,Donchevo,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
132,BDŽ,BDŽ 3636,Varna,2026-03-16 23:40:00,Sofia,2026-03-16 09:00:00,3636,0,,BG,Y,currently suspended,Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,9:20:00,513.0,11.0,21.44,Beloslav - Sindel - Dalgopol - Komunari - Karnobat - Straldzha - Jambol - Nova Zagora - Stara Zagora - Dimitrovgrad - Krumovo - Plovdiv - Todor Kableshkov - Stambolijski - Pazardzhik - Septemvri - Belovo - Ihtiman - Vakarel - Elin Pelin - Kazichene - Iskar,Beloslav,Sindel,Dalgopol,Komunari,Karnobat,Straldzha,Jambol,Nova Zagora,Stara Zagora,Dimitrovgrad,Krumovo,Plovdiv,Todor Kableshkov,Stambolijski,Pazardzhik,Septemvri,Belovo,Ihtiman,Vakarel,Elin Pelin,Kazichene,Iskar,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
132,BDŽ,BDŽ 3637,Sofia,2026-03-16 23:05:00,Varna,2026-03-16 07:16:00,3637,1,,BG,Y,currently suspended,Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,8:11:00,513.0,11.0,21.44,Poduiane - Iskar - Kazichene - Zlatica - Pirdop - Klisura - Karlovo - Straldzha - Karnobat - Asparuhovo - Komunari - Dalgopol - Sindel - Poveljanovo - Beloslav,Poduiane,#N/A,Iskar,Kazichene,Zlatica,Pirdop,Klisura,Karlovo,Straldzha,#N/A,Karnobat,Asparuhovo,Komunari,Dalgopol,Sindel,Poveljanovo,Beloslav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
139,BDŽ,BDŽ 3686,Burgas,2026-03-16 22:50:00,Sofia,2026-03-16 05:13:00,3686,0,,BG,Y,currently suspended,2024/06/29-2024/09/07: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,6:23:00,425.0,9.0,21.18,Sliven,Sliven,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
139,BDŽ,BDŽ 3687,Sofia,2026-03-16 23:40:00,Burgas,2026-03-16 05:55:00,3687,1,,BG,Y,currently suspended,2024/06/29-2024/09/07: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,6:15:00,425.0,9.0,21.18,Pirdop - Sliven,Pirdop,Sliven,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
