origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.9529683,9.6438996,06:52:00,08:46:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Aulendorf Bahnhof,104.30732362598556,1.6559830698861469
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Train Longue Distance Nuit,48.8416777,10.0961295,47.7689677,9.1630584,06:52:00,09:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Bahnhof Überlingen,137.80301235879767,2.187760624208272
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.6532824,9.4735701,06:52:00,09:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,139.95207723702694,2.2218791782150396
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.8156006,9.0531495,06:52:00,10:26:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,137.70287826396392,2.1861708953186914
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.735852,8.969157,06:52:00,10:47:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,148.56278798389337,2.358582822032291
"Aalen, Hauptbahnhof","Salem, Bahnhof",Train Longue Distance Nuit,48.8416777,10.0961295,47.7577,9.2969523,06:52:00,09:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof","Salem, Bahnhof",134.24714503378314,2.131307674556341
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7596204,8.8421802,06:52:00,11:00:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,151.9163407560318,2.4118238258427604
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7955392,9.0956039,06:52:00,10:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Sipplingen Bahnhof,137.85545165756537,2.1885931505155076
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7369033,9.24856,06:52:00,09:52:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,137.92262364863683,2.189659573045758
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,Train Longue Distance Nuit,48.8416777,10.0961295,47.7694386,9.1446878,06:52:00,10:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,138.44309451462885,2.197922568514248
