origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.9529683,9.6438996,06:52:00,08:46:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Aulendorf Bahnhof,104.30732362598556,1.6559830698861469,,
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Avion,48.746666,10.005,47.681435,9.139258,,,,airports,OurAirports,"Aalen, Hauptbahnhof",Bahnhof Überlingen,134.70045404619358,86.41508424436721,Bartholomä-Amalienhof Airfield,Konstanz Airfield
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Train Longue Distance Nuit,48.8416777,10.0961295,47.7689677,9.1630584,06:52:00,09:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Bahnhof Überlingen,137.80301235879767,2.187760624208272,,
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Avion,48.746666,10.005,47.671299,9.51149,,,,airports,OurAirports,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,125.04177683440689,80.21870271873803,Bartholomä-Amalienhof Airfield,Bodensee Airport Friedrichshafen
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.6532824,9.4735701,06:52:00,09:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,139.95207723702694,2.2218791782150396,,
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Avion,48.746666,10.005,47.802587,8.979378,,,,airports,OurAirports,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,129.54040521636932,83.10473122817474,Bartholomä-Amalienhof Airfield,Radolfzell-Stahlringen Airfield
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.8156006,9.0531495,06:52:00,10:26:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,137.70287826396392,2.1861708953186914,,
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Avion,48.746666,10.005,47.802587,8.979378,,,,airports,OurAirports,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,129.54040521636932,83.10473122817474,Bartholomä-Amalienhof Airfield,Radolfzell-Stahlringen Airfield
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.735852,8.969157,06:52:00,10:47:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,148.56278798389337,2.358582822032291,,
"Aalen, Hauptbahnhof","Salem, Bahnhof",Avion,48.746666,10.005,47.83291,9.30127,,,,airports,OurAirports,"Aalen, Hauptbahnhof","Salem, Bahnhof",114.16700137900665,73.24215134947005,Bartholomä-Amalienhof Airfield,Heiligenberg Glider Field
