origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.9529683,9.6438996,06:52:00,08:46:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Aulendorf Bahnhof,104.30732362598556
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Train Longue Distance Nuit,48.8416777,10.0961295,47.7689677,9.1630584,06:52:00,09:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Bahnhof Überlingen,137.80301235879767
"Aalen, Hauptbahnhof",Biberach (Riß),Train Longue Distance Nuit,48.8416777,10.0961295,48.1019531,9.7929571,06:52:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Biberach (Riß),85.23587140255768
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.6532824,9.4735701,06:52:00,09:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,139.95207723702694
"Aalen, Hauptbahnhof",Giengen (Brenz),Train Longue Distance Nuit,48.8416777,10.0961295,48.619741,10.2380274,06:52:00,07:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Giengen (Brenz),26.782977444334406
"Aalen, Hauptbahnhof",Heidenheim (Brenz),Train Longue Distance Nuit,48.8416777,10.0961295,48.6803766,10.1565142,06:52:00,07:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Heidenheim (Brenz),18.473935381336204
"Aalen, Hauptbahnhof",Langenau (Württ),Train Longue Distance Nuit,48.8416777,10.0961295,48.4932982,10.1258817,06:52:00,07:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Langenau (Württ),38.79959878882088
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.8156006,9.0531495,06:52:00,10:26:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,137.70287826396392
"Aalen, Hauptbahnhof","Oberkochen, Bahnhof",Train Longue Distance Nuit,48.8416777,10.0961295,48.7824026,10.10761,06:52:00,06:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof","Oberkochen, Bahnhof",6.6444854963565945
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.735852,8.969157,06:52:00,10:47:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,148.56278798389337
"Aalen, Hauptbahnhof","Salem, Bahnhof",Train Longue Distance Nuit,48.8416777,10.0961295,47.7577,9.2969523,06:52:00,09:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof","Salem, Bahnhof",134.24714503378314
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7596204,8.8421802,06:52:00,11:00:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,151.9163407560318
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7955392,9.0956039,06:52:00,10:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Sipplingen Bahnhof,137.85545165756537
"Aalen, Hauptbahnhof",Sontheim (Brenz),Train Longue Distance Nuit,48.8416777,10.0961295,48.5591633,10.2849464,06:52:00,07:36:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Sontheim (Brenz),34.334569347836265
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.7369033,9.24856,06:52:00,09:52:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,137.92262364863683
"Aalen, Hauptbahnhof",Ulm Hbf,Train Longue Distance Nuit,48.8416777,10.0961295,48.3993472,9.9823668,06:52:00,08:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Ulm Hbf,49.89065990665068
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,Train Longue Distance Nuit,48.8416777,10.0961295,47.7694386,9.1446878,06:52:00,10:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,138.44309451462885
