origin,destination,airport_origin_name,airport_dest_name,origin_city,destination_city,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Amboise,Gare de Pornichet,Amboise Dierre Airfield,La Baule-Escoublac Airport,Gare de Amboise,Gare de Pornichet,Avion,47.339771,0.945861,47.289398,-2.34639,248.23800373562744,100.0455096013167,,,airports,OurAirports
Gare de Ancenis,Gare de Saint-Pierre-des-Corps,Ancenis Airfield,Tours Val de Loire Airport,Gare de Ancenis,Gare de Saint-Pierre-des-Corps,Avion,47.4081,-1.1775,47.432201,0.727606,143.35475138436018,91.9671207155806,,,airports,OurAirports
Gare de Brest,Gare de Montauban-de-Bretagne,Brest Bretagne airport,Queneleuc Airfield,Gare de Brest,Gare de Montauban-de-Bretagne,Avion,48.447899,-4.41854,48.098333,-2.076389,177.63753712332235,113.96073490746774,,,airports,OurAirports
Gare de Chartres,Gare de Le Mans,Chartres-Métropole Airfield,Le Mans-Arnage Airport,Gare de Chartres,Gare de Le Mans,Avion,48.457502,1.519843,47.948604,0.201702,112.89169088504315,72.42399476229339,,,airports,OurAirports
Gare de Coutances,Gare de Pontchaillou,Lessay Airfield,Rennes-Saint-Jacques Airport,Gare de Coutances,Gare de Pontchaillou,Avion,49.202276,-1.507983,48.0695,-1.73479,127.05658843460066,81.51127530433276,,,airports,OurAirports
Gare de Douai,Gare de Morgny,Vitry-en-Artois Airfield,Rouen Vallée de Seine Airport,Gare de Douai,Gare de Morgny,Avion,50.337883,2.990714,49.384887,1.179142,167.59665206244057,107.51915358862121,,,airports,OurAirports
Gare de Frénouville - Cagny,Gare de Évreux Normandie,Rouvres Airfield,Évreux-Fauville (BA 105) Air Base,Gare de Frénouville - Cagny,Gare de Évreux Normandie,Avion,49.02,-0.198333,49.028702,1.21986,103.41022789965594,66.34130240283702,,,airports,OurAirports
Gare de Hennebont,Gare de Nantes,Lorient South Brittany (Bretagne Sud) Airport,Nantes Atlantique Airport,Gare de Hennebont,Gare de Nantes,Avion,47.760601,-3.44,47.153198,-1.61073,153.21527576279365,98.29299430590828,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Orléans,La Baule-Escoublac Airport,Mardié Airfield,Gare de La Baule les Pins,Gare de Orléans,Avion,47.289398,-2.34639,47.903611,2.067778,337.9140180492338,108.12201520054764,,,airports,OurAirports
Gare de La Suze,Gare de Savenay,Le Mans-Arnage Airport,Campbon La Berthelière Airfield,Gare de La Suze,Gare de Savenay,Avion,47.948604,0.201702,47.420833,-2.011944,175.7850065229802,112.77227129739754,,,airports,OurAirports
Gare de Langeais,Gare de Ancenis,Hommes Volants Ultralight Airfield,Ancenis Airfield,Gare de Langeais,Gare de Ancenis,Avion,47.418534,0.323495,47.4081,-1.1775,112.94829893483406,72.46031081947545,,,airports,OurAirports
Gare de Langeais,Gare de Pouzauges,Hommes Volants Ultralight Airfield,Breuil Barret Airfield,Gare de Langeais,Gare de Pouzauges,Avion,47.418534,0.323495,46.660556,-0.663611,112.68764650026215,72.29309310479492,,,airports,OurAirports
Gare de Laval,Gare de Pornichet,Laval-Entrammes Airport,La Baule-Escoublac Airport,Gare de Laval,Gare de Pornichet,Avion,48.032208,-0.743999,47.289398,-2.34639,145.67844094811258,93.45784939078281,,,airports,OurAirports
Gare de Maintenon,Gare de Champagné,Les Ailes d'Eure et Loir Airfield,Le Mans-Arnage Airport,Gare de Maintenon,Gare de Champagné,Avion,48.59244,1.53759,47.948604,0.201702,122.0673885892981,78.31052792752028,,,airports,OurAirports
Gare de Morannes,Gare de Saint-Nazaire,Solib'Ailes Airfield,Saint-Nazaire-Montoir Airport,Gare de Morannes,Gare de Saint-Nazaire,Avion,47.7775,-0.514167,47.31142,-2.152634,133.45143369848344,85.61379371172144,,,airports,OurAirports
Gare de Nantes,Gare de Quimper,Nantes Atlantique Airport,Quimper-Cornouaille Airport,Gare de Nantes,Gare de Quimper,Avion,47.153198,-1.61073,47.973031,-4.169655,212.52879991746386,85.65389574814454,,,airports,OurAirports
Gare de Orléans,Gare de Angers Saint-Laud,Mardié Airfield,Soulaire Airfield,Gare de Orléans,Gare de Angers Saint-Laud,Avion,47.903611,2.067778,47.565556,-0.549722,199.31820687103752,80.32972904692946,,,airports,OurAirports
Gare de Paris Saint-Lazare,Gare de Caen,Paris-Le Bourget International Airport,Caen Carpiquet airport,Gare de Paris Saint-Lazare,Gare de Caen,Avion,48.962276,2.436539,49.17678,-0.454883,211.96874819850595,85.42818228452069,,,airports,OurAirports
Gare de Plouaret Trégor,Gare de Quédillac,Lannion Airport,Queneleuc Airfield,Gare de Plouaret Trégor,Gare de Quédillac,Avion,48.754398,-3.47166,48.098333,-2.076389,126.1756363820004,80.94611354315123,,,airports,OurAirports
Gare de Port Boulet,Gare de Savenay,Aérodrome de Saumur - Saint-Florent,Campbon La Berthelière Airfield,Gare de Port Boulet,Gare de Savenay,Avion,47.256802,-0.115142,47.420833,-2.011944,144.0841985551669,92.43508676041264,,,airports,OurAirports
Gare de Quimperlé,Gare de Savenay,Mellac Ultralight Airfield,Campbon La Berthelière Airfield,Gare de Quimperlé,Gare de Savenay,Avion,47.912079,-3.565698,47.420833,-2.011944,128.53200806053414,82.45780894576437,,,airports,OurAirports
Gare de Saint-Lô,Gare de Rennes,Mosles Airfield,Rennes-Saint-Jacques Airport,Gare de Saint-Lô,Gare de Rennes,Avion,49.30083,-0.81183,48.0695,-1.73479,152.7620805551328,98.00225362261612,,,airports,OurAirports
