origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.9529683,9.6438996,06:52:00,08:46:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Train Longue Distance Nuit,48.8416777,10.0961295,47.7689677,9.1630584,06:52:00,09:59:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Bergenweiler,Train Longue Distance,48.8416955,10.0963631,48.5761942,10.272891,07:34:00,08:16:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Biberach (Riß),Train Longue Distance Nuit,48.8416777,10.0961295,48.1019531,9.7929571,06:52:00,08:28:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.6532824,9.4735701,06:52:00,09:16:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Giengen (Brenz),Train Longue Distance Nuit,48.8416777,10.0961295,48.619741,10.2380274,06:52:00,07:27:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",HDH-Mergelstetten,Train Longue Distance,48.8416955,10.0963631,48.6531688,10.1609609,08:34:00,09:02:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",HDH-Schnaitheim,Train Longue Distance,48.8416955,10.0963631,48.7084827,10.158769,07:34:00,07:53:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",HDH-Voithwerk,Train Longue Distance,48.8416955,10.0963631,48.6693671,10.1560022,08:34:00,09:01:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Heidenheim (Brenz),Train Longue Distance Nuit,48.8416777,10.0961295,48.6803766,10.1565142,06:52:00,07:16:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Herbrechtingen,Train Longue Distance,48.8416955,10.0963631,48.6256315,10.1702225,07:34:00,08:04:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Hermaringen,Train Longue Distance,48.8416955,10.0963631,48.5945205,10.2584371,07:34:00,08:13:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Itzelberg,Train Longue Distance,48.8416955,10.0963631,48.7306482,10.1366255,07:34:00,07:49:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Königsbronn,Train Longue Distance,48.8416955,10.0963631,48.7396834,10.1158834,07:34:00,07:46:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Langenau (Württ),Train Longue Distance Nuit,48.8416777,10.0961295,48.4932982,10.1258817,06:52:00,07:48:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,48.8416777,10.0961295,47.8156006,9.0531495,06:52:00,10:26:00,,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Niederstotzingen,Train Longue Distance,48.8417132,10.0965337,48.532354,10.2360601,07:34:00,08:26:00,,mobility_db,FR_BBS_Schapfl_mdb-770
