origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Gare de Abancourt,Gare de Douai,EuroNight,49.6856202,1.7742912,50.3716757,3.0899613,07:56:00,09:34:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Abancourt,Gare de Douai,121.04214810077254,0.9608325716239324,,
Gare de Abancourt,Gare de Lille Flandres,EuroNight,49.6856202,1.7742912,50.6365763,3.0698721,07:56:00,09:55:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Abancourt,Gare de Lille Flandres,140.34803448212614,1.1140826977191174,,
Gare de Achiet,Gare de Montérolier - Buchy,EuroNight,50.1319184,2.7801146,49.6031673,1.334721,07:52:00,09:31:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Achiet,Gare de Montérolier - Buchy,119.11196414056703,2.311248552183563,,
Gare de Achiet,Gare de Morgny,EuroNight,50.1319184,2.7801146,49.5228742,1.2473588,07:52:00,09:38:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Achiet,Gare de Morgny,129.12585780649314,2.505558144877193,,
Gare de Achiet,Gare de Rouen Rive Droite,EuroNight,50.1319184,2.7801146,49.4486637,1.0941026,07:52:00,09:53:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Achiet,Gare de Rouen Rive Droite,142.89633491237322,2.77276048263969,,
Gare de Achiet,Gare de Serqueux,EuroNight,50.1319184,2.7801146,49.6315502,1.5394027,07:52:00,09:19:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Achiet,Gare de Serqueux,104.87112772965041,2.034919362466137,,
Gare de Albert,Gare de Longuerue - Vieux-Manoir,EuroNight,50.0053968,2.6444827,49.5566792,1.2762275,11:49:00,13:19:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Albert,Gare de Longuerue - Vieux-Manoir,110.18241632096364,2.1379796062919785,,
Gare de Albert,Gare de Montérolier - Buchy,EuroNight,50.0053968,2.6444827,49.6031673,1.334721,08:03:00,09:31:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Albert,Gare de Montérolier - Buchy,104.09191775509501,2.019799572119864,,
Gare de Albert,Gare de Morgny,EuroNight,50.0053968,2.6444827,49.5228742,1.2473588,08:03:00,09:38:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Albert,Gare de Morgny,113.78884109993614,2.207958672703161,,
Gare de Albert,Gare de Rouen Rive Droite,EuroNight,50.0053968,2.6444827,49.4486637,1.0941026,08:03:00,09:53:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Albert,Gare de Rouen Rive Droite,127.47731657982723,2.4735698509149673,,
Gare de Alençon,Gare de Saint-Pierre-des-Corps,EuroNight,48.4338845,0.0985309,47.3861437,0.7235445,10:08:00,11:48:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Alençon,Gare de Saint-Pierre-des-Corps,125.47063305884618,0.995985885221121,,
Gare de Alençon,Gare de Tours,EuroNight,48.4338845,0.0985309,47.3898771,0.6928408,14:02:00,15:46:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Alençon,Gare de Tours,124.25069765639644,0.9863020379964749,,
Gare de Amboise,Gare de Ancenis,Train Longue Distance,47.4214655,0.9817614,47.369337,-1.1777593,07:35:00,09:28:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Amboise,Gare de Ancenis,162.64896729222335,1.291107502365669,,
