origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider
Gare de Abancourt,Gare de Achiet,EuroNight,49.6856202,1.7742912,50.1319184,2.7801146,07:56:00,09:08:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Albert,EuroNight,49.6856202,1.7742912,50.0053968,2.6444827,07:56:00,08:57:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Amiens,EuroNight,49.6856202,1.7742912,49.8905865,2.3082788,10:55:00,11:59:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Arras,EuroNight,49.6856202,1.7742912,50.2868105,2.78016,07:56:00,09:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Aumale,Train Longue Distance,49.6856202,1.7742912,49.7651151,1.7560691,08:26:00,08:39:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Beauvais,Train Longue Distance,49.6856202,1.7742912,49.4266693,2.0874253,07:35:00,08:22:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Blangy-sur-Bresle,Train Longue Distance,49.6856202,1.7742912,49.9323638,1.6255583,08:26:00,08:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Corbie,EuroNight,49.6856202,1.7742912,49.9116341,2.4999483,07:56:00,08:48:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Douai,EuroNight,49.6856202,1.7742912,50.3716757,3.0899613,07:56:00,09:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Eu,Train Longue Distance,49.6856202,1.7742912,50.0541394,1.4170873,08:26:00,09:13:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Feuquières - Broquiers,Train Longue Distance,49.6856202,1.7742912,49.6543386,1.8308824,07:35:00,07:43:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Grandvilliers,Train Longue Distance,49.6856202,1.7742912,49.6593931,1.9385342,07:35:00,07:50:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Le Tréport - Mers-les-Bains,Train Longue Distance,49.6856202,1.7742912,50.0627154,1.3760778,08:26:00,09:17:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Lille Flandres,EuroNight,49.6856202,1.7742912,50.6365763,3.0698721,07:56:00,09:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Longroy - Gamaches,Train Longue Distance,49.6856202,1.7742912,49.9824444,1.5518996,08:26:00,09:02:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Longuerue - Vieux-Manoir,EuroNight,49.6856202,1.7742912,49.5566792,1.2762275,12:49:00,13:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Marseille-en-Beauvaisis,Train Longue Distance,49.6856202,1.7742912,49.5710345,1.9547465,07:35:00,08:00:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Montérolier - Buchy,EuroNight,49.6856202,1.7742912,49.6031673,1.334721,09:04:00,09:31:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Morgny,EuroNight,49.6856202,1.7742912,49.5228742,1.2473588,09:04:00,09:38:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Poix-de-Picardie,EuroNight,49.6856202,1.7742912,49.7777843,1.9898979,10:55:00,11:20:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Rouen Rive Droite,EuroNight,49.6856202,1.7742912,49.4486637,1.0941026,09:04:00,09:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Abancourt,Gare de Serqueux,EuroNight,49.6856202,1.7742912,49.6315502,1.5394027,09:04:00,09:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Abancourt,EuroNight,50.1319184,2.7801146,49.6856202,1.7742912,07:52:00,09:05:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Albert,EuroNight,50.1319184,2.7801146,50.0053968,2.6444827,07:52:00,08:04:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Amiens,EuroNight,50.1319184,2.7801146,49.8905865,2.3082788,07:52:00,08:30:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Arras,EuroNight,50.1319184,2.7801146,50.2868105,2.78016,19:07:00,19:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Corbie,EuroNight,50.1319184,2.7801146,49.9116341,2.4999483,07:52:00,08:13:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Douai,EuroNight,50.1319184,2.7801146,50.3716757,3.0899613,19:07:00,19:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Lille Flandres,EuroNight,50.1319184,2.7801146,50.6365763,3.0698721,19:07:00,19:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Montérolier - Buchy,EuroNight,50.1319184,2.7801146,49.6031673,1.334721,07:52:00,09:31:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Morgny,EuroNight,50.1319184,2.7801146,49.5228742,1.2473588,07:52:00,09:38:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Poix-de-Picardie,EuroNight,50.1319184,2.7801146,49.7777843,1.9898979,07:52:00,08:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Rouen Rive Droite,EuroNight,50.1319184,2.7801146,49.4486637,1.0941026,07:52:00,09:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Achiet,Gare de Serqueux,EuroNight,50.1319184,2.7801146,49.6315502,1.5394027,07:52:00,09:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Abancourt,EuroNight,50.0053968,2.6444827,49.6856202,1.7742912,08:03:00,09:05:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Achiet,EuroNight,50.0053968,2.6444827,50.1319184,2.7801146,18:56:00,19:08:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Amiens,EuroNight,50.0053968,2.6444827,49.8905865,2.3082788,08:03:00,08:30:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Arras,EuroNight,50.0053968,2.6444827,50.2868105,2.78016,18:56:00,19:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Corbie,EuroNight,50.0053968,2.6444827,49.9116341,2.4999483,08:03:00,08:13:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Douai,EuroNight,50.0053968,2.6444827,50.3716757,3.0899613,18:56:00,19:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Lille Flandres,EuroNight,50.0053968,2.6444827,50.6365763,3.0698721,18:56:00,19:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Longuerue - Vieux-Manoir,EuroNight,50.0053968,2.6444827,49.5566792,1.2762275,11:49:00,13:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Montérolier - Buchy,EuroNight,50.0053968,2.6444827,49.6031673,1.334721,08:03:00,09:31:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Morgny,EuroNight,50.0053968,2.6444827,49.5228742,1.2473588,08:03:00,09:38:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Poix-de-Picardie,EuroNight,50.0053968,2.6444827,49.7777843,1.9898979,08:03:00,08:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Rouen Rive Droite,EuroNight,50.0053968,2.6444827,49.4486637,1.0941026,08:03:00,09:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Albert,Gare de Serqueux,EuroNight,50.0053968,2.6444827,49.6315502,1.5394027,08:03:00,09:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Argentan,EuroNight,48.4338845,0.0985309,48.7385458,-0.0252909,17:16:00,17:51:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Arnage,EuroNight,48.4338845,0.0985309,47.9285398,0.1898867,16:24:00,17:26:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Aubigné-Racan,EuroNight,48.4338845,0.0985309,47.687019,0.2658718,16:24:00,17:53:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Caen,EuroNight,48.4338845,0.0985309,49.1763537,-0.347613,17:16:00,18:31:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Château-du-Loir,EuroNight,48.4338845,0.0985309,47.6833356,0.4149592,16:24:00,18:06:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de La Guierche,EuroNight,48.4338845,0.0985309,48.1139412,0.1931078,07:21:00,08:00:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de La Hutte Coulombiers,EuroNight,48.4338845,0.0985309,48.3032566,0.1054466,07:21:00,07:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Laigné - Saint-Gervais,EuroNight,48.4338845,0.0985309,47.8740508,0.2171187,16:24:00,17:33:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Le Mans,EuroNight,48.4338845,0.0985309,47.9956159,0.1926141,21:30:00,22:08:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Mayet,EuroNight,48.4338845,0.0985309,47.7601219,0.2659895,16:24:00,17:46:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Montbizot,EuroNight,48.4338845,0.0985309,48.1513199,0.1908174,21:30:00,21:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Mézidon - Canon,EuroNight,48.4338845,0.0985309,49.070913,-0.0749139,17:16:00,18:17:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Neuville,EuroNight,48.4338845,0.0985309,48.0704854,0.1996015,07:21:00,08:05:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Saint-Pierre-des-Corps,EuroNight,48.4338845,0.0985309,47.3861437,0.7235445,10:08:00,11:48:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Saint-Pierre-sur-Dives,EuroNight,48.4338845,0.0985309,49.0231056,-0.0405856,17:16:00,18:11:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Surdon,EuroNight,48.4338845,0.0985309,48.6647706,0.1344098,17:16:00,17:42:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Sées,EuroNight,48.4338845,0.0985309,48.5999675,0.1664085,17:16:00,17:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Teillé,EuroNight,48.4338845,0.0985309,48.1813392,0.1914474,07:21:00,07:50:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Tours,EuroNight,48.4338845,0.0985309,47.3898771,0.6928408,14:02:00,15:46:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Alençon,Gare de Vaas,EuroNight,48.4338845,0.0985309,47.6707058,0.3164461,16:24:00,17:59:00,,mobility_db,FR_BreizhGo_mdb-1837
