origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Aulendorf Bahnhof,48.8416777,10.0961295,47.9529683,9.6438996,104.30732362598556,1.6559830698861469,06:52:00,08:46:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Avion,"Aalen, Hauptbahnhof",Bahnhof Überlingen,48.746666,10.005,47.681435,9.139258,134.70045404619358,86.41508424436721,,,airports,OurAirports
"Aalen, Hauptbahnhof",Bahnhof Überlingen,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Bahnhof Überlingen,48.8416777,10.0961295,47.7689677,9.1630584,137.80301235879767,2.187760624208272,06:52:00,09:59:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Avion,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,48.746666,10.005,47.671299,9.51149,125.04177683440689,80.21870271873803,,,airports,OurAirports
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,48.8416777,10.0961295,47.6532824,9.4735701,139.95207723702694,2.2218791782150396,06:52:00,09:16:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Avion,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,48.746666,10.005,47.802587,8.979378,129.54040521636932,83.10473122817474,,,airports,OurAirports
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,48.8416777,10.0961295,47.8156006,9.0531495,137.70287826396392,2.1861708953186914,06:52:00,10:26:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Avion,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,48.746666,10.005,47.802587,8.979378,129.54040521636932,83.10473122817474,,,airports,OurAirports
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,48.8416777,10.0961295,47.735852,8.969157,148.56278798389337,2.358582822032291,06:52:00,10:47:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof","Salem, Bahnhof",Avion,"Aalen, Hauptbahnhof","Salem, Bahnhof",48.746666,10.005,47.83291,9.30127,114.16700137900665,73.24215134947005,,,airports,OurAirports
"Aalen, Hauptbahnhof","Salem, Bahnhof",Train Longue Distance Nuit,"Aalen, Hauptbahnhof","Salem, Bahnhof",48.8416777,10.0961295,47.7577,9.2969523,134.24714503378314,2.131307674556341,06:52:00,09:45:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,Avion,"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,48.746666,10.005,47.7604,8.7683,142.8618068752355,91.65087945577606,,,airports,OurAirports
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,48.8416777,10.0961295,47.7596204,8.8421802,151.9163407560318,2.4118238258427604,06:52:00,11:00:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,Avion,"Aalen, Hauptbahnhof",Sipplingen Bahnhof,48.746666,10.005,47.802587,8.979378,129.54040521636932,83.10473122817474,,,airports,OurAirports
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Sipplingen Bahnhof,48.8416777,10.0961295,47.7955392,9.0956039,137.85545165756537,2.1885931505155076,06:52:00,10:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,Avion,"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,48.746666,10.005,47.681435,9.139258,134.70045404619358,86.41508424436721,,,airports,OurAirports
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,48.8416777,10.0961295,47.7369033,9.24856,137.92262364863683,2.189659573045758,06:52:00,09:52:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,Avion,"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,48.746666,10.005,47.681435,9.139258,134.70045404619358,86.41508424436721,,,airports,OurAirports
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,Train Longue Distance Nuit,"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,48.8416777,10.0961295,47.7694386,9.1446878,138.44309451462885,2.197922568514248,06:52:00,10:03:00,mobility_db,FR_BBS_Schapfl_mdb-770
Aberdeen,London Euston,Avion,Aberdeen,London Euston,57.2019,-2.19778,51.505299,0.055278,649.9481773722589,173.35209803456127,,,airports,OurAirports
Aberdeen,London Euston,InterCity,Aberdeen,London Euston,57.14469,-2.0964,51.52817,-0.13308,637.2963549703024,33.7257231050284,2026-04-28 21:43:00,2026-04-28 08:00:00,back_on_track,BackOnTrack
Aichstetten Bahnhof,München Hbf Gleis 15,Avion,Aichstetten Bahnhof,München Hbf Gleis 15,47.858891,10.014167,48.239166,11.559334,122.39075173394413,78.51797677083692,,,airports,OurAirports
Aichstetten Bahnhof,München Hbf Gleis 15,Train Longue Distance,Aichstetten Bahnhof,München Hbf Gleis 15,47.8877939,10.0746777,48.1401826,11.5575268,113.8121395826408,1.8068815280140051,18:42:00,20:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
Aichstetten Bahnhof,München Hbf Gleis 19,Avion,Aichstetten Bahnhof,München Hbf Gleis 19,47.858891,10.014167,48.239166,11.559334,122.39075173394413,78.51797677083692,,,airports,OurAirports
Aichstetten Bahnhof,München Hbf Gleis 19,Train Longue Distance,Aichstetten Bahnhof,München Hbf Gleis 19,47.8877939,10.0746777,48.1405003,11.5575896,113.82505190804191,1.8070865240920735,18:42:00,20:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
Aichstetten Bahnhof,München Hbf Gleis 24,Avion,Aichstetten Bahnhof,München Hbf Gleis 24,47.858891,10.014167,48.239166,11.559334,122.39075173394413,78.51797677083692,,,airports,OurAirports
Aichstetten Bahnhof,München Hbf Gleis 24,Train Longue Distance,Aichstetten Bahnhof,München Hbf Gleis 24,47.8877939,10.0746777,48.14086,11.5576615,113.8397403727203,1.8073197181573073,08:42:00,10:20:00,mobility_db,FR_bodo_Verkehrsverbund_mdb-769
Aichstetten Bahnhof,München Hbf Gleis 24,Train Longue Distance Nuit,Aichstetten Bahnhof,München Hbf Gleis 24,47.8877939,10.0746777,48.14086,11.5576615,113.8397403727203,1.8073197181573073,05:15:00,07:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
Aichstetten Bahnhof,Pasing Gleis 3,Avion,Aichstetten Bahnhof,Pasing Gleis 3,47.858891,10.014167,48.228675,11.422134,112.45392398155734,72.14315187937964,,,airports,OurAirports
Aichstetten Bahnhof,Pasing Gleis 3,Train Longue Distance,Aichstetten Bahnhof,Pasing Gleis 3,47.8877939,10.0746777,48.1496771,11.4616496,107.18823274128577,1.7017203830006529,08:42:00,10:10:00,mobility_db,FR_bodo_Verkehrsverbund_mdb-769
Aichstetten Bahnhof,Pasing Gleis 3,Train Longue Distance Nuit,Aichstetten Bahnhof,Pasing Gleis 3,47.8877939,10.0746777,48.1496771,11.4616496,107.18823274128577,1.7017203830006529,05:15:00,07:10:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,Avion,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,48.009998,10.098611,48.239166,11.559334,111.37322246828161,71.44984380574309,,,airports,OurAirports
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,Train Longue Distance,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,47.9435397,10.0801574,48.1401826,11.5575268,111.98634362574448,1.7778951914023193,18:47:00,20:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,Avion,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,48.009998,10.098611,48.239166,11.559334,111.37322246828161,71.44984380574309,,,airports,OurAirports
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,Train Longue Distance,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,47.9435397,10.0801574,48.1405003,11.5575896,111.99749206425416,1.778072184012099,18:46:00,20:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Avion,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,48.009998,10.098611,48.239166,11.559334,111.37322246828161,71.44984380574309,,,airports,OurAirports
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Train Longue Distance,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,47.9435397,10.0801574,48.14086,11.5576615,112.01018476370551,1.7782736933085888,08:46:00,10:20:00,mobility_db,FR_bodo_Verkehrsverbund_mdb-769
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Train Longue Distance Nuit,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,47.9435397,10.0801574,48.14086,11.5576615,112.01018476370551,1.7782736933085888,05:20:00,07:20:00,mobility_db,FR_BBS_Schapfl_mdb-770
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Avion,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,48.009998,10.098611,48.228675,11.422134,101.21015886337119,64.92988064884076,,,airports,OurAirports
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Train Longue Distance,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,47.9435397,10.0801574,48.1496771,11.4616496,105.2208708256253,1.6704865452276272,08:46:00,10:10:00,mobility_db,FR_bodo_Verkehrsverbund_mdb-769
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Train Longue Distance Nuit,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,47.9435397,10.0801574,48.1496771,11.4616496,105.2208708256253,1.6704865452276272,05:20:00,07:10:00,mobility_db,FR_BBS_Schapfl_mdb-770
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Avion,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,47.6333,7.9412,47.671299,9.51149,117.69488401512909,75.50541228176218,,,airports,OurAirports
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,47.5922386,8.1317835,47.6533671,9.473588,100.79148746825035,0.08889809194699681,06:18:00,08:28:00,mobility_db,FR_BBS_Schapfl_mdb-770
Albi Ville,Paris Austerlitz,Avion,Albi Ville,Paris Austerlitz,43.913898,2.11306,48.729499,2.358963,535.8024185158647,146.44238794263202,,,airports,OurAirports
Albi Ville,Paris Austerlitz,InterCity,Albi Ville,Paris Austerlitz,43.92445,2.13817,48.84185,2.36646,547.0695210058518,4.342637857744452,2026-04-28 20:50:00,2026-04-28 08:32:00,back_on_track,BackOnTrack
Allmendingen,Donaueschingen Bahnhof,Train Longue Distance Nuit,Allmendingen,Donaueschingen Bahnhof,48.3277261,9.7223495,47.947842,8.4989429,100.12758278176761,1.5896255042433427,06:26:00,08:35:00,mobility_db,FR_BBS_Schapfl_mdb-770
Altona,Augsburg Hbf,Avion,Altona,Augsburg Hbf,53.5352783203125,9.835556030273438,48.425278,10.931667,573.3451432380182,140.9229155649756,,,airports,OurAirports
Altona,Augsburg Hbf,EuroNight,Altona,Augsburg Hbf,53.5519791,9.9343519,48.3655187,10.8854791,580.5282387217205,33.281683925916234,07:57:00,13:52:00,mobility_db,FR_BBS_Schapfl_mdb-770
Altona,Freilassing,Avion,Altona,Freilassing,53.5352783203125,9.835556030273438,47.793301,13.0043,676.2396985919345,180.36448844140523,,,airports,OurAirports
Altona,Freilassing,EuroNight,Altona,Freilassing,53.5519791,9.9343519,47.8367638,12.9764786,670.4955942836441,38.43951242028132,19:55:00,30:41:00,mobility_db,FR_BBS_Schapfl_mdb-770
Altona,Ingolstadt Hbf,Avion,Altona,Ingolstadt Hbf,53.5352783203125,9.835556030273438,48.81028,11.42096,536.8592614713235,146.73123808725518,,,airports,OurAirports
