dep_name,arr_name,dep_city,arr_city,distance_km,is_long_distance
"Aalen, Hauptbahnhof",Aulendorf Bahnhof,"Aalen, Hauptbahnhof",Aulendorf Bahnhof,104.30732362598556,true
"Aalen, Hauptbahnhof",Bahnhof Überlingen,"Aalen, Hauptbahnhof",Bahnhof Überlingen,137.80301235879767,true
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,139.95207723702694,true
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,137.70287826396392,true
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,"Aalen, Hauptbahnhof",Radolfzell Bahnhof,148.56278798389337,true
"Aalen, Hauptbahnhof","Salem, Bahnhof","Aalen, Hauptbahnhof","Salem, Bahnhof",134.24714503378314,true
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,151.9163407560318,true
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,"Aalen, Hauptbahnhof",Sipplingen Bahnhof,137.85545165756537,true
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,137.92262364863683,true
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,138.44309451462885,true
Aberdeen,London Euston,Aberdeen,London Euston,637.2963549703024,true
Aichstetten Bahnhof,München Hbf Gleis 15,Aichstetten Bahnhof,München Hbf Gleis 15,113.8121395826408,true
Aichstetten Bahnhof,München Hbf Gleis 19,Aichstetten Bahnhof,München Hbf Gleis 19,113.82505190804191,true
Aichstetten Bahnhof,München Hbf Gleis 24,Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203,true
Aichstetten Bahnhof,Pasing Gleis 3,Aichstetten Bahnhof,Pasing Gleis 3,107.18823274128577,true
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 15,111.98634362574448,true
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 19,111.99749206425416,true
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370551,true
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.2208708256253,true
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,100.79148746825035,true
Albi Ville,Paris Austerlitz,Albi Ville,Paris Austerlitz,547.0695210058518,true
Allmendingen,Donaueschingen Bahnhof,Allmendingen,Donaueschingen Bahnhof,100.12758278176761,true
Altona,Augsburg Hbf,Altona,Augsburg Hbf,580.5282387217205,true
Altona,Freilassing,Altona,Freilassing,670.4955942836441,true
Altona,Ingolstadt Hbf,Altona,Ingolstadt Hbf,544.705120178531,true
Altona,Kufstein Bahnhof,Altona,Kufstein Bahnhof,682.0702359922998,true
Altona,München Hbf Gleis 10,Altona,München Hbf Gleis 10,612.3717062607185,true
Altona,München Hbf Gleis 14,Altona,München Hbf Gleis 14,612.427282339529,true
Altona,Nürnberg Hbf,Altona,Nürnberg Hbf,463.4356513743365,true
Altona,Ostbahnhof Gleis 6,Altona,Ostbahnhof Gleis 6,614.4433928225856,true
Altona,Ostbahnhof Gleis 8,Altona,Ostbahnhof Gleis 8,614.4582494975222,true
Altona,Pasing Gleis 9,Altona,Pasing Gleis 9,610.121063131595,true
Altona,Rosenheim,Altona,Rosenheim,652.3419836262987,true
Altstädten (Allgäu),Ulm Hbf,Altstädten (Allgäu),Ulm Hbf,103.70601495362367,true
Amsterdam Centraal,Innsbruck Hbf,Amsterdam Centraal,Innsbruck Hbf,734.988320977054,true
Amsterdam Centraal,Milano Centrale,Amsterdam Centraal,Milano Centrale,827.9841081104923,true
Amsterdam Centraal,Wien Hbf,Amsterdam Centraal,Wien Hbf,937.867979856593,true
Amsterdam Centraal,Zürich HB,Amsterdam Centraal,Zürich HB,614.0212783148834,true
"Amsterdam, Centraal",Dortmund Hbf,"Amsterdam, Centraal",Dortmund Hbf,199.76218554310623,true
"Amsterdam, Centraal",Freilassing,"Amsterdam, Centraal",Freilassing,765.2063951860704,true
"Amsterdam, Centraal",Ingolstadt Hbf,"Amsterdam, Centraal",Ingolstadt Hbf,613.1702332033904,true
"Amsterdam, Centraal",Kufstein Bahnhof,"Amsterdam, Centraal",Kufstein Bahnhof,743.7666856580714,true
"Amsterdam, Centraal",München Hbf Gleis 10,"Amsterdam, Centraal",München Hbf Gleis 10,667.2043772497559,true
"Amsterdam, Centraal",München Hbf Gleis 14,"Amsterdam, Centraal",München Hbf Gleis 14,667.3925253812719,true
"Amsterdam, Centraal",München Hbf Gleis 15,"Amsterdam, Centraal",München Hbf Gleis 15,667.3846356135747,true
"Amsterdam, Centraal",Münster (Westf) Hauptbahnhof,"Amsterdam, Centraal",Münster (Westf) Hauptbahnhof,192.3203341144779,true
"Amsterdam, Centraal",Nürnberg Hbf,"Amsterdam, Centraal",Nürnberg Hbf,542.0905528227883,true
"Amsterdam, Centraal",Ostbahnhof Gleis 6,"Amsterdam, Centraal",Ostbahnhof Gleis 6,670.8330305909628,true
"Amsterdam, Centraal",Ostbahnhof Gleis 8,"Amsterdam, Centraal",Ostbahnhof Gleis 8,670.8513781040405,true
"Amsterdam, Centraal",Passau Hbf,"Amsterdam, Centraal",Passau Hbf,737.5303927532433,true
"Amsterdam, Centraal",Rosenheim,"Amsterdam, Centraal",Rosenheim,719.4543331134329,true
Ankara,Kars,Ankara,Kars,873.3727363721098,true
Ankara,Kurtalan,Ankara,Kurtalan,797.2439001981827,true
Ankara,Malatya,Ankara,Malatya,503.0829081005218,true
Ankara,Tatvan,Ankara,Tatvan,827.4309412029706,true
Ankara,İstanbul Halkalı,Ankara,İstanbul Halkalı,365.30280516538903,true
Ankara,İzmir Basmane,Ankara,İzmir Basmane,519.1685123931088,true
Arad,București Nord,Arad,București Nord,418.867119159711,true
Augsburg Hbf,Altona,Augsburg Hbf,Altona,580.5273437977149,true
Augsburg Hbf,"Amsterdam, Centraal",Augsburg Hbf,"Amsterdam, Centraal",615.4922059876021,true
Augsburg Hbf,Esslingen (N) Gleis 5,Augsburg Hbf,Esslingen (N) Gleis 5,123.82525376619309,true
Augsburg Hbf,Hamburg Hbf,Augsburg Hbf,Hamburg Hbf,580.0462721131479,true
Augsburg Hbf,Heimenkirch,Augsburg Hbf,Heimenkirch,109.78452091268902,true
Augsburg Hbf,Hergatz,Augsburg Hbf,Hergatz,112.15772596037696,true
Augsburg Hbf,Immenstadt,Augsburg Hbf,Immenstadt,102.62676158132894,true
Augsburg Hbf,Karlsruhe Hauptbahnhof,Augsburg Hbf,Karlsruhe Hauptbahnhof,195.29929396704543,true
Augsburg Hbf,Kufstein Bahnhof,Augsburg Hbf,Kufstein Bahnhof,129.03117259674832,true
Augsburg Hbf,Lindau-Insel,Augsburg Hbf,Lindau-Insel,127.91678167384742,true
Augsburg Hbf,Lindau-Reutin,Augsburg Hbf,Lindau-Reutin,126.26370387017384,true
Augsburg Hbf,Münster (Westf) Hauptbahnhof,Augsburg Hbf,Münster (Westf) Hauptbahnhof,461.4677173874354,true
Augsburg Hbf,Nürnberg Hbf,Augsburg Hbf,Nürnberg Hbf,120.95290288539155,true
Augsburg Hbf,Oberstaufen,Augsburg Hbf,Oberstaufen,110.60952394583622,true
Augsburg Hbf,Paris Gare de l'Est,Augsburg Hbf,Paris Gare de l'Est,628.9020362900421,true
Augsburg Hbf,Rosenheim,Augsburg Hbf,Rosenheim,108.06192932081876,true
Augsburg Hbf,Röthenbach (Allgäu),Augsburg Hbf,Röthenbach (Allgäu),107.98811752856136,true
Augsburg Hbf,Strasbourg Gare Centrale,Augsburg Hbf,Strasbourg Gare Centrale,233.60961241176753,true
Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 1,Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 1,133.75043271549237,true
Augsburg Messe Bstg 2,Heimenkirch,Augsburg Messe Bstg 2,Heimenkirch,107.67132068759153,true
Augsburg Messe Bstg 2,Hergatz,Augsburg Messe Bstg 2,Hergatz,110.146954666516,true
Augsburg Messe Bstg 2,Immenstadt,Augsburg Messe Bstg 2,Immenstadt,100.11829519483126,true
Augsburg Messe Bstg 2,Lindau-Insel,Augsburg Messe Bstg 2,Lindau-Insel,125.90633313246497,true
Augsburg Messe Bstg 2,Lindau-Reutin,Augsburg Messe Bstg 2,Lindau-Reutin,124.24165795805366,true
Augsburg Messe Bstg 2,Oberstaufen,Augsburg Messe Bstg 2,Oberstaufen,108.28113205479231,true
Augsburg Messe Bstg 2,Röthenbach (Allgäu),Augsburg Messe Bstg 2,Röthenbach (Allgäu),105.81057932391393,true
Augsburg Morellstraße,Heimenkirch,Augsburg Morellstraße,Heimenkirch,109.34075075514787,true
Augsburg Morellstraße,Hergatz,Augsburg Morellstraße,Hergatz,111.77178603672775,true
Augsburg Morellstraße,Immenstadt,Augsburg Morellstraße,Immenstadt,101.93707839516114,true
Augsburg Morellstraße,Lindau-Insel,Augsburg Morellstraße,Lindau-Insel,127.53267463704034,true
Augsburg Morellstraße,Lindau-Reutin,Augsburg Morellstraße,Lindau-Reutin,125.87205149403333,true
Augsburg Morellstraße,Oberstaufen,Augsburg Morellstraße,Oberstaufen,110.03753381087853,true
