station_name,city,lat,lon,country_code,annual_station_traffic,city_population
"Aalen, Hauptbahnhof","Aalen, Hauptbahnhof",48.8416777,10.0961295,,,
Aberdeen,Aberdeen,57.14469,-2.0964,,,198590.0
Aichstetten Bahnhof,Aichstetten Bahnhof,47.8877939,10.0746777,,,
"Aitrach (Kr Ravensb), Bahnhof","Aitrach (Kr Ravensb), Bahnhof",47.9435397,10.0801574,,,
Albbruck Bahnhof,Albbruck Bahnhof,47.5922386,8.1317835,,,
Albi Ville,Albi Ville,43.92445,2.13817,,575993.0,51290.0
Allmendingen,Allmendingen,48.3277261,9.7223495,,14285.0,
Altona,Altona,53.5519791,9.9343519,,,250192.0
Altstädten (Allgäu),Altstädten (Allgäu),47.4883577,10.280886,,,
Amsterdam Centraal,Amsterdam Centraal,52.37921,4.90029,,,741636.0
"Amsterdam, Centraal","Amsterdam, Centraal",52.3789574,4.9006063,,,
Amstetten (Württ),Amstetten (Württ),48.5782387,9.8730059,,11803.0,15559.0
Ankara,Ankara,39.93498,32.84395,,,3517182.0
Arad,Arad,46.19134,21.32492,,526511.0,169065.0
Augsburg Hbf,Augsburg Hbf,48.3655307,10.885533,,,301105.0
Augsburg Messe,Augsburg Messe,48.3387802,10.8861708,,,301105.0
Augsburg Messe Bstg 2,Augsburg Messe Bstg 2,48.3387921,10.8861169,,,301105.0
Augsburg Morellstraße,Augsburg Morellstraße,48.3550375,10.893025,,,301105.0
Aulendorf Bahnhof,Aulendorf Bahnhof,47.9529382,9.6439535,,,
Aurillac,Aurillac,44.9212,2.43623,,204937.0,26214.0
Bad Schussenried,Bad Schussenried,47.9937673,9.668244,,106903.0,
Bad Säckingen Bahnhof,Bad Säckingen Bahnhof,47.5558643,7.9487338,,,16549.0
Badischer Bahnhof,Badischer Bahnhof,47.5677212,7.6082453,,,
Bahnhof Überlingen,Bahnhof Überlingen,47.7689677,9.1630584,,,
Bar,Bar,42.08724,19.10525,,75034.0,311.0
Bari Centrale,Bari Centrale,41.11807,16.87061,,,316491.0
Bergen,Bergen,60.39026,5.33354,,1857062.0,294029.0
Berlin Hbf,Berlin Hbf,52.52508,13.3694,,,3426354.0
Bermatingen-Ahausen Bahnhof,Bermatingen-Ahausen Bahnhof,47.7305231,9.3448325,,106903.0,
Beuggen Bahnhof,Beuggen Bahnhof,47.5819992,7.8110041,,28711.0,
Biberach (Riß),Biberach (Riß),48.1019531,9.7929571,,,
Biberach Süd,Biberach Süd,48.0869954,9.8032518,,,
Bielsko-Biała Gł.,Bielsko-Biała Gł.,49.83154,19.04941,,,
Bielsko-Biała Główna,Bielsko-Biała Główna,49.82238,19.05838,,,
Bistrița Nord,Bistrița Nord,47.13248,24.4839,,,78877.0
Blaubeuren,Blaubeuren,48.4038201,9.7919599,,28711.0,
Blaustein,Blaustein,48.4149353,9.9188829,,106903.0,
Bobingen,Bobingen,48.2666434,10.8379762,,,16682.0
Bodø,Bodø,67.28638,14.39118,,,34073.0
Bohumín,Bohumín,49.90073,18.35944,,,20315.0
Bolzano / Bozen,Bolzano / Bozen,46.49638,11.35879,,,107436.0
Bratislava Nové Mesto,Bratislava Nové Mesto,48.17193,17.14648,,,423737.0
Bratislava hl.st.,Bratislava hl.st.,48.15891,17.10647,,,423737.0
Brașov,Brașov,45.64379,25.58684,,,253200.0
Bregenz,Bregenz,47.503,9.73963,,,29806.0
Briançon,Briançon,44.88961,6.63263,,220693.0,11411.0
Bruxelles Midi / Brussel Zuid,Bruxelles Midi / Brussel Zuid,,,,106903.0,
București Nord,București Nord,44.44677,26.07441,,,
Budapest Déli,Budapest Déli,47.50043,19.02466,,,1741041.0
Budapest Keleti,Budapest Keleti,47.50059,19.08426,,,1741041.0
Budapest Nyugati,Budapest Nyugati,47.51133,19.05866,,,1741041.0
Budapest-Keleti,Budapest-Keleti,47.50044,19.08399,,,1741041.0
Burgas,Burgas,,,,,210646.0
Cerbère,Cerbère,42.44277,3.16553,,85261.0,1209.0
Chelm,Chelm,51.1412,23.49404,,,60231.0
Cherkasy,Cherkasy,,,,,
Chernihiv,Chernihiv,,,,,
Chernivtsi,Chernivtsi,,,,,
Chişinău,Chişinău,47.01287,28.86019,,,
Chop,Chop,48.43271,22.20555,,14231.0,
Cluj-Napoca,Cluj-Napoca,46.7842,23.58662,,,286598.0
Constanța,Constanța,44.16877,28.63189,,,317832.0
Dnipro Holovny,Dnipro Holovny,,,,,
Dobrich,Dobrich,,,,,69434.0
Donaueschingen Bahnhof,Donaueschingen Bahnhof,47.9478781,8.4989609,,,21604.0
Donnersbergerbrücke,Donnersbergerbrücke,48.1425324,11.5348982,,,
Dortmund Hbf,Dortmund Hbf,51.5177175,7.4587657,,,588462.0
Duved,Duved,63.38985,12.91755,,,
Düsseldorf Hbf,Düsseldorf Hbf,51.2212,6.79271,,106903.0,618685.0
Ebersbach (F) Gleis 2,Ebersbach (F) Gleis 2,48.716218,9.526939,,,
Edinburgh Waverley,Edinburgh Waverley,55.9544,-3.18441,,,514990.0
Edirne,Edirne,41.65543,26.5802,,,180002.0
Ehingen (Donau),Ehingen (Donau),48.2858588,9.7244695,,,27764.0
Enzisweiler,Enzisweiler,47.5641329,9.6651717,,,
Eriskirch Bahnhof,Eriskirch Bahnhof,47.6285453,9.5265886,,,
Erzingen (Baden) Bahnhof,Erzingen (Baden) Bahnhof,47.6601803,8.430635,,,
Esslingen (N) Gleis 3,Esslingen (N) Gleis 3,48.7386467,9.3006623,,,92390.0
Esslingen (N) Gleis 5,Esslingen (N) Gleis 5,48.7385696,9.3006174,,,92390.0
Finninger Straße,Finninger Straße,48.3908832,10.0260519,,,
Fischen,Fischen,47.4561086,10.2717771,,,
Fort William / An Gearasdan,Fort William / An Gearasdan,,,,,15757.0
Freilassing,Freilassing,47.8367638,12.9764786,,,15909.0
Friedrichshafen Hafenbahnhof,Friedrichshafen Hafenbahnhof,47.6515396,9.4824544,,,58403.0
Friedrichshafen Stadtbahnhof,Friedrichshafen Stadtbahnhof,47.6530827,9.4734982,,,58403.0
Gare de Abancourt,Gare de Abancourt,49.6856202,1.7742912,,90965.0,569.0
Gare de Achiet,Gare de Achiet,50.1319184,2.7801146,,,75580.0
Gare de Albert,Gare de Albert,50.0053968,2.6444827,,684803.0,9521.0
Gare de Alençon,Gare de Alençon,48.4338845,0.0985309,,478757.0,25490.0
Gare de Amboise,Gare de Amboise,47.4214655,0.9817614,,855042.0,12937.0
Gare de Amiens,Gare de Amiens,49.8905865,2.3082788,,7395165.0,136449.0
Gare de Amilly - Ouerray,Gare de Amilly - Ouerray,48.4382945,1.3893962,,56169.0,13582.0
Gare de Ancenis,Gare de Ancenis,47.369337,-1.1777593,,1179679.0,75580.0
