origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
"Aalen, Hauptbahnhof",Bahnhof Überlingen,137.80301235879767,84.22732362015894,1,0,0
"Aalen, Hauptbahnhof",Friedrichshafen Stadtbahnhof,139.95207723702694,77.996823540523,1,0,0
"Aalen, Hauptbahnhof",Ludwigshafen(Bodensee) Bahnhof,137.70287826396392,80.91856033285605,1,0,0
"Aalen, Hauptbahnhof",Radolfzell Bahnhof,148.56278798389337,80.74614840614245,1,0,0
"Aalen, Hauptbahnhof","Salem, Bahnhof",134.24714503378314,71.11084367491371,1,0,0
"Aalen, Hauptbahnhof",Singen (Htw) Bahnhof,151.9163407560318,89.2390556299333,1,0,0
"Aalen, Hauptbahnhof",Sipplingen Bahnhof,137.85545165756537,80.91613807765924,1,0,0
"Aalen, Hauptbahnhof",Uhldingen-Mühlhofen Bahnhof,137.92262364863683,84.22542467132145,1,0,0
"Aalen, Hauptbahnhof",Überlingen Bahnhof Therme,138.44309451462885,84.21716167585296,1,0,0
Aberdeen,London Euston,637.2963549703024,139.62637492953286,0,1,0
Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203,76.71065705267962,1,0,0
Aichstetten Bahnhof,München Hbf Gleis 24,113.8397403727203,76.71065705267962,1,0,0
Aichstetten Bahnhof,Pasing Gleis 3,107.1882327412858,70.441431496379,1,0,0
Aichstetten Bahnhof,Pasing Gleis 3,107.1882327412858,70.441431496379,1,0,0
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370552,69.6715701124345,1,0,0
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370552,69.6715701124345,1,0,0
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.22087082562533,63.25939410361314,1,0,0
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.22087082562533,63.25939410361314,1,0,0
Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,101.44281864633192,75.4159397157161,1,0,0
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,100.79148746825037,75.41651418981517,1,0,0
Albi Ville,Paris Austerlitz,547.0695210058518,141.92815307180524,1,1,0
Altona,Augsburg Hbf,580.5282387217205,107.64123163905936,1,1,0
Altona,Kufstein Bahnhof,682.0702359922998,143.13537603686973,0,1,0
Altona,München Hbf Gleis 10,612.3717062607185,112.64689965574428,0,1,0
Altona,München Hbf Gleis 12,612.4426841781553,112.64283049173764,0,1,0
Altona,München Hbf Gleis 14,612.427282339529,112.64371347914609,0,1,0
Altona,Ostbahnhof Gleis 6,614.4433928225856,112.52812986515244,0,1,0
Altona,Ostbahnhof Gleis 8,614.4582494975222,112.52727813197832,0,1,0
Altona,Pasing Gleis 9,610.121063131595,112.60247829184776,0,1,0
Altona,Rosenheim,652.3626648190935,139.69683794248306,0,1,0
Amsterdam Centraal,Innsbruck Hbf,734.988320977054,146.35353512587926,0,1,0
Amsterdam Centraal,Milano Centrale,827.9841081104923,181.26921206436657,0,1,1
Amsterdam Centraal,Wien Hbf,937.867979856593,193.67130618931924,0,1,1
Amsterdam Centraal,Zürich HB,614.0212783148834,119.71921386061568,0,1,0
Ankara,Kars,873.3727363721096,163.77559978235809,0,1,1
Ankara,Kurtalan,797.2439001981827,169.3186092726664,0,1,1
Ankara,Malatya,503.08290810052176,105.23697676087907,1,1,0
Ankara,Tatvan,827.4309412029705,173.8842716288887,0,1,1
Ankara,İstanbul Halkalı,365.302805165389,88.10450612896031,1,0,0
Ankara,İzmir Basmane,519.1685123931088,106.0771254742845,1,1,0
Arad,București Nord,418.867119159711,109.89871163462205,1,1,0
Augsburg Hbf,Altona,580.5273437977149,131.70646345484306,1,1,0
Augsburg Hbf,Hamburg Hbf,580.0462721131479,133.9685959133429,1,1,0
Augsburg Hbf,Heimenkirch,109.78452091268902,65.795026211233,1,0,0
Augsburg Hbf,Hergatz,112.15772596037696,79.99081208935065,1,0,0
Augsburg Hbf,Immenstadt,102.61306351490391,67.97815981228347,1,0,0
Augsburg Hbf,Karlsruhe Hauptbahnhof,195.29929396704543,77.37517774075513,1,0,0
Augsburg Hbf,Kufstein Bahnhof,129.03117259674832,81.78137891744021,1,0,0
Augsburg Hbf,Lindau-Insel,127.91678167384742,79.7406213208436,1,0,0
Augsburg Hbf,Lindau-Reutin,126.26370387017384,79.76686558405473,1,0,0
Augsburg Hbf,Nürnberg Hbf,120.92668008996851,74.9594444947852,1,0,0
Augsburg Hbf,Nürnberg Hbf,120.95120215977556,74.95905518240495,1,0,0
Augsburg Hbf,Oberstaufen,110.60952394583622,65.78192846307876,1,0,0
Augsburg Hbf,Paris Gare de l'Est,628.9020362900421,156.9922848216569,0,1,0
Augsburg Hbf,Rosenheim,108.06192932081876,72.89649019560127,1,0,0
Augsburg Hbf,Röthenbach (Allgäu),107.98811752856136,65.8235459113594,1,0,0
Augsburg Hbf,Strasbourg Gare Centrale,233.58252553019872,90.1687467446044,1,0,0
Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 10,133.646719568114,84.20664742275335,1,0,0
Augsburg Messe Bstg 2,Heimenkirch,107.67132068759152,65.82857537800665,1,0,0
Augsburg Messe Bstg 2,Hergatz,110.146954666516,80.022735094412,1,0,0
Augsburg Messe Bstg 2,Immenstadt,100.1046644783454,68.01798315538788,1,0,0
Augsburg Messe Bstg 2,Lindau-Insel,125.90633313246497,79.77253920188659,1,0,0
Augsburg Messe Bstg 2,Lindau-Reutin,124.24165795805366,79.79896758495555,1,0,0
Augsburg Messe Bstg 2,Oberstaufen,108.28113205479232,65.81889401274097,1,0,0
Augsburg Messe Bstg 2,Röthenbach (Allgäu),105.81057932391391,65.85811650789638,1,0,0
Augsburg Morellstraße,Heimenkirch,109.34075075514788,65.80207150625412,1,0,0
Augsburg Morellstraße,Hergatz,111.77178603672776,79.99693927157851,1,0,0
Augsburg Morellstraße,Immenstadt,101.92342631681974,67.98910849244025,1,0,0
Augsburg Morellstraße,Lindau-Insel,127.53267463704034,79.74671940415995,1,0,0
Augsburg Morellstraße,Lindau-Reutin,125.87205149403334,79.77308345717833,1,0,0
Augsburg Morellstraße,Oberstaufen,110.03753381087851,65.79100937846134,1,0,0
Augsburg Morellstraße,Röthenbach (Allgäu),107.50701995076057,65.83118381650458,1,0,0
Aulendorf Bahnhof,Bad Säckingen Bahnhof,134.1886378377548,87.18647768725042,1,0,0
Aulendorf Bahnhof,Badischer Bahnhof,158.0723811977853,104.83836198543818,1,0,0
Aulendorf Bahnhof,Lauchringen Bahnhof,105.08563853565626,64.51218937029441,1,0,0
Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,145.81659379885284,95.14820750344886,1,0,0
Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,108.3641604209313,64.46013955684379,1,0,0
Aulendorf Bahnhof,Waldshut Bahnhof,112.62528526698723,64.39248993878779,1,0,0
Aurillac,Paris Austerlitz,435.98858180664377,125.60759035320496,1,0,0
Bad Schussenried,Bad Säckingen Bahnhof,137.40171681101629,87.13546684547092,1,0,0
Bad Schussenried,Badischer Bahnhof,161.041837679897,104.79121889432818,1,0,0
Bad Schussenried,Rheinfelden (Baden) Bahnhof,148.91691417246983,95.09898681719731,1,0,0
Bad Schussenried,Tiengen (Hochrhein) Bahnhof,111.58405707204211,64.40902047761074,1,0,0
Bad Schussenried,Waldshut Bahnhof,115.84737542074684,64.34133603550671,1,0,0
Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,106.3779034002627,70.63782781258567,1,0,0
Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,115.47786749335746,75.909260829439,1,0,0
Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,114.8330132311778,75.90982959089824,1,0,0
Bad Säckingen Bahnhof,Markdorf Bahnhof,109.34646291011283,70.63520954309799,1,0,0
Bad Säckingen Bahnhof,"Salem, Bahnhof",103.44084341055547,68.81018504554264,1,0,0
Badischer Bahnhof,Bahnhof Überlingen,118.55481153186876,77.88123612374994,1,0,0
Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,131.33593947129498,90.05438918234458,1,0,0
